,candle_begin_time_BJ,candle_begin_time,open,high,low,close,volume,candle_now_time,is_over
0,2026-03-02 07:00:00+00:00,2026-03-01 23:00:00+00:00,75.0,75.33,71.04,72.53,35002,2026-06-21 16:37:08.763882399+00:00,1
1,2026-03-02 07:15:00+00:00,2026-03-01 23:15:00+00:00,72.54,73.0,72.07,72.53,9942,2026-06-21 16:37:08.763882399+00:00,1
2,2026-03-02 07:30:00+00:00,2026-03-01 23:30:00+00:00,72.53,72.91,72.27,72.38,8477,2026-06-21 16:37:08.763882399+00:00,1
3,2026-03-02 07:45:00+00:00,2026-03-01 23:45:00+00:00,72.36,72.48,71.85,71.97,6625,2026-06-21 16:37:08.763882399+00:00,1
4,2026-03-02 08:00:00+00:00,2026-03-02 00:00:00+00:00,71.99,72.13,71.81,71.96,3654,2026-06-21 16:37:08.763882399+00:00,1
5,2026-03-02 08:15:00+00:00,2026-03-02 00:15:00+00:00,71.95,71.99,71.56,71.72,4847,2026-06-21 16:37:08.763882399+00:00,1
6,2026-03-02 08:30:00+00:00,2026-03-02 00:30:00+00:00,71.72,72.05,71.6,71.88,3786,2026-06-21 16:37:08.763882399+00:00,1
7,2026-03-02 08:45:00+00:00,2026-03-02 00:45:00+00:00,71.87,72.11,71.56,71.79,4891,2026-06-21 16:37:08.763882399+00:00,1
8,2026-03-02 09:00:00+00:00,2026-03-02 01:00:00+00:00,71.79,71.83,70.48,70.96,9899,2026-06-21 16:37:08.763882399+00:00,1
9,2026-03-02 09:15:00+00:00,2026-03-02 01:15:00+00:00,70.96,70.96,69.2,69.54,9547,2026-06-21 16:37:08.763882399+00:00,1
10,2026-03-02 09:30:00+00:00,2026-03-02 01:30:00+00:00,69.53,70.3,69.45,69.67,10375,2026-06-21 16:37:08.763882399+00:00,1
11,2026-03-02 09:45:00+00:00,2026-03-02 01:45:00+00:00,69.67,70.07,69.32,69.73,7224,2026-06-21 16:37:08.763882399+00:00,1
12,2026-03-02 10:00:00+00:00,2026-03-02 02:00:00+00:00,69.72,69.94,69.44,69.75,3835,2026-06-21 16:37:08.763882399+00:00,1
13,2026-03-02 10:15:00+00:00,2026-03-02 02:15:00+00:00,69.74,70.3,69.71,69.86,3862,2026-06-21 16:37:08.763882399+00:00,1
14,2026-03-02 10:30:00+00:00,2026-03-02 02:30:00+00:00,69.85,70.07,69.6,70.05,3069,2026-06-21 16:37:08.763882399+00:00,1
15,2026-03-02 10:45:00+00:00,2026-03-02 02:45:00+00:00,70.03,70.24,69.7,70.0,3225,2026-06-21 16:37:08.763882399+00:00,1
16,2026-03-02 11:00:00+00:00,2026-03-02 03:00:00+00:00,69.99,70.39,69.92,70.29,2787,2026-06-21 16:37:08.763882399+00:00,1
17,2026-03-02 11:15:00+00:00,2026-03-02 03:15:00+00:00,70.3,70.49,70.27,70.38,2365,2026-06-21 16:37:08.763882399+00:00,1
18,2026-03-02 11:30:00+00:00,2026-03-02 03:30:00+00:00,70.4,71.11,70.37,71.1,4038,2026-06-21 16:37:08.763882399+00:00,1
19,2026-03-02 11:45:00+00:00,2026-03-02 03:45:00+00:00,71.11,71.11,70.62,70.71,2351,2026-06-21 16:37:08.763882399+00:00,1
20,2026-03-02 12:00:00+00:00,2026-03-02 04:00:00+00:00,70.7,70.76,70.47,70.55,1450,2026-06-21 16:37:08.763882399+00:00,1
21,2026-03-02 12:15:00+00:00,2026-03-02 04:15:00+00:00,70.54,71.23,70.53,70.88,3572,2026-06-21 16:37:08.763882399+00:00,1
22,2026-03-02 12:30:00+00:00,2026-03-02 04:30:00+00:00,70.89,71.01,70.63,70.95,1796,2026-06-21 16:37:08.763882399+00:00,1
23,2026-03-02 12:45:00+00:00,2026-03-02 04:45:00+00:00,70.96,71.35,70.96,71.19,2254,2026-06-21 16:37:08.763882399+00:00,1
24,2026-03-02 13:00:00+00:00,2026-03-02 05:00:00+00:00,71.19,71.29,70.92,71.26,2217,2026-06-21 16:37:08.763882399+00:00,1
25,2026-03-02 13:15:00+00:00,2026-03-02 05:15:00+00:00,71.25,71.44,71.09,71.26,1937,2026-06-21 16:37:08.763882399+00:00,1
26,2026-03-02 13:30:00+00:00,2026-03-02 05:30:00+00:00,71.25,71.32,70.95,71.28,2080,2026-06-21 16:37:08.763882399+00:00,1
27,2026-03-02 13:45:00+00:00,2026-03-02 05:45:00+00:00,71.27,71.58,71.27,71.58,2745,2026-06-21 16:37:08.763882399+00:00,1
28,2026-03-02 14:00:00+00:00,2026-03-02 06:00:00+00:00,71.57,71.98,71.56,71.72,4286,2026-06-21 16:37:08.763882399+00:00,1
29,2026-03-02 14:15:00+00:00,2026-03-02 06:15:00+00:00,71.7,72.04,71.67,71.88,3136,2026-06-21 16:37:08.763882399+00:00,1
30,2026-03-02 14:30:00+00:00,2026-03-02 06:30:00+00:00,71.86,72.34,71.72,72.24,4957,2026-06-21 16:37:08.763882399+00:00,1
31,2026-03-02 14:45:00+00:00,2026-03-02 06:45:00+00:00,72.24,72.28,71.61,71.98,3448,2026-06-21 16:37:08.763882399+00:00,1
32,2026-03-02 15:00:00+00:00,2026-03-02 07:00:00+00:00,71.99,73.15,71.96,72.95,14816,2026-06-21 16:37:08.763882399+00:00,1
