total+总收益率%,total+交易胜率%,total+盈亏比,total+最大回撤%,strategy_name
0.0,0.0,0.0,0.0,stoch_d_overbought^250^150^75^50&kdj_k_crossover_d_2^240^96^168^15&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,sma_fast_higher_slow^30^60&kc_price_crossover_low^16.0^6.0^3.3&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,kc_neutral^35.0^35.0^2.8999999999999995&kc_price_crossover_high^25.0^30.0^3.8999999999999995&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,smacd_increase^55^88&kc_price_crossover_low^18.0^7.0^3.6999999999999993&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,smi_d_neutral^11^3^3^5.0^-5.0^SMA&adx_crossover_threshold^210.0^15.0&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&emacd_histogram_start_increase^230^368^276&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,kdj_d_neutral^60^24^30^55^45&ema_fast_crossover_slow^180^504&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&smacd_histogram_start_increase_2^230^322^184&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,trix_higher_signal^35.0^28.0&bb_price_crossover_low^190.0^3.0999999999999996&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&sma_fast_crossover_slow_2^220^572&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&ma_atr_long_signal^8.0^8.0^1.9999999999999998&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&emacd_start_increase^150^420&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,rsi_fast_higher_slow^40^112&bb_price_crossover_low^190.0^3.0999999999999996&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&emacd_histogram_start_increase_2^170^442^102&aroon_diff_crossunder0^109
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&bb_price_crossover_low_2^170.0^1.9&aroon_diff_crossunder0^109
0.0,0.0,0.0,0.0,tsi_overbought^18^7^0.0^SMA&kc_price_crossover_low^18.0^7.0^3.6999999999999993&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,kdj_k_higher_d^240^144^72&adx_crossover_threshold^220.0^15.0&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,aroon_diff_higher0^40&bb_price_crossover_low_2^170.0^1.9&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,supertrend_long_period^60.0^3.8999999999999995&bb_price_crossover_low^120.0^3.8999999999999995&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,stoch_k_neutral^11^7^55^45&bb_price_crossover_low^120.0^3.8999999999999995&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,supertrend_long_period^230.0^1.7&bb_price_crossover_low_2^170.0^1.9&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,price_higher_sma^210&kdj_k_crossover_d_2^240^96^168^15&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,emacd_higher_signal^40^64^56&kc_price_crossover_low_2^20.0^8.0^1.5&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,smi_overbought^250^100^0.0^SMA&stoch_k_crossover_d_2^210^189^105^15&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,tsi_higher_signal^190^133^114^EMA&bb_price_crossover_low_2^170.0^1.9&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,roc_higher0^200&kdj_k_crossover_d_2^240^96^168^15&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,ema_fast_higher_slow^45^81&kc_price_crossover_low^18.0^7.0^3.6999999999999993&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,bb_neutral^18.0^1.9&ma_atr_long_signal^8.0^8.0^1.9999999999999998&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,smi_d_neutral^11^3^3^5.0^-5.0^SMA&bb_price_crossover_low_2^170.0^1.9&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,skew_positive^100^EMA&kc_price_crossover_low^16.0^6.0^3.3&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&emacd_start_increase^160^384&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,smi_d_neutral^11^3^3^5.0^-5.0^SMA&kc_price_crossover_low^16.0^6.0^3.3&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&emacd_start_increase^160^384&roc_crossunder0^89
0.0,0.0,0.0,0.0,adx_plus_higher_minus^12&adx_crossover_threshold^210.0^15.0&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,price_higher_sma^210&bb_price_crossover_low^120.0^3.8999999999999995&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,atr_fast_lower_slow^14^25&bb_price_crossover_high^220.0^3.0999999999999996&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,rvi_overbought^170^0.0^SMA&kc_price_crossover_low_2^20.0^8.0^1.5&aroon_diff_crossunder0^109
0.0,0.0,0.0,0.0,tsi_higher_signal^190^133^114^EMA&adx_crossover_threshold^220.0^15.0&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,rsi_fast_higher_slow^40^112&bb_price_crossover_low_2^170.0^1.9&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,kdj_k_overbought^50^30^50&bb_price_crossover_low_2^170.0^1.9&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,trix_higher0^30&adx_crossover_threshold^220.0^15.0&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,emacd_higher_signal^40^64^56&bb_price_crossover_low_2^170.0^1.9&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&supertrend_long_signal^70.0^3.6999999999999993&aroon_diff_crossunder0^109
0.0,0.0,0.0,0.0,aroon_diff_higher0^40&adx_crossover_threshold^220.0^15.0&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,smi_overbought^250^100^0.0^SMA&kc_price_crossover_low_2^20.0^8.0^1.5&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,tsi_overbought^25^18^0.0^SMA&bb_price_crossover_low_2^90.0^2.3&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,adx_lower_threshold^35.0^15.0&kc_price_crossover_low^16.0^6.0^3.3&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,mass_lower1^20^12&stoch_k_crossover_d_2^210^189^105^15&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,kdj_d_overbought^160^144^144^50&adx_crossover_threshold^220.0^15.0&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,stoch_d_overbought^170^136^153^50&bb_price_crossover_low_2^170.0^1.9&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,smi_d_neutral^11^3^3^5.0^-5.0^SMA&kc_price_crossover_low^16.0^6.0^3.3&roc_crossunder0^89
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&bb_price_crossover_low_2^170.0^1.9&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,smi_d_overbought^180^144^54^0.0^EMA&kdj_k_crossover_d_2^150^120^135^20&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,kdj_d_overbought^160^144^144^50&kdj_k_crossover_d_2^240^96^168^15&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,rsi_overbought^130^50&kdj_k_crossover_d_2^240^96^168^15&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&supertrend_long_signal^40.0^3.3&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,tsi_neutral^60^24^10.0^-10.0^SMA&kc_price_crossover_low_2^16.0^6.0^1.5&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,price_higher_sma^35&kc_price_crossover_low_2^20.0^8.0^1.5&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,rsi_neutral^8^80^20&ma_atr_long_signal^10.0^12.0^2.5999999999999996&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,supertrend_long_period^230.0^1.7&smacd_crossover_signal_3^220^308^154&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^6^SMA&smi_d_crossover0^220^132^66^EMA&roc_crossunder0^59
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&supertrend_long_signal^40.0^3.3&bb_price_crossunder_high^34^2
0.0,0.0,0.0,0.0,ma_atr_long_period^230.0^276.0^1.2&kdj_k_crossover_d_2^240^96^168^15&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,trix_higher0^35&adx_crossover_threshold^220.0^15.0&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&stoch_k_crossover_d_2^210^189^105^15&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&sma_fast_crossover_slow^200^440&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,trix_increase^40&kc_price_crossover_low^16.0^6.0^3.3&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,skew_negative^18^EMA&smacd_crossover_signal_3^220^308^154&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&rsi_fast_crossover_slow^60^168&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,rsi_fast_higher_slow^170^238&adx_crossover_threshold^210.0^15.0&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,aroon_diff_higher0^40&bb_price_crossover_low^190.0^3.0999999999999996&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,stoch_k_neutral^11^7^55^45&bb_price_crossover_high^230.0^3.0999999999999996&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,adx_lower_threshold^35.0^15.0&stoch_k_crossover_d_2^210^189^105^15&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,trix_increase^140&bb_price_crossover_low_2^170.0^1.9&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,mass_lower1^20^12&adx_crossover_threshold^220.0^15.0&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,sma_fast_higher_slow^230^598&adx_crossover_threshold^210.0^15.0&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rvi_overbought^170^0.0^SMA&kdj_k_crossover_d_2^240^96^168^15&roc_crossunder0^89
0.0,0.0,0.0,0.0,smi_overbought^230^115^0.0^SMA&adx_crossover_threshold^210.0^15.0&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,kdj_d_overbought^26^21^18^50&bb_price_crossover_low_2^90.0^2.3&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rvi_overbought^170^0.0^SMA&adx_crossover_threshold^220.0^15.0&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,stoch_d_overbought^250^150^75^50&stoch_k_crossover_d_2^210^189^105^15&aroon_diff_crossunder0^109
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&tsi_crossover_signal^220^198^176^SMA&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,atr_fast_lower_slow^18^29&ma_atr_long_signal^10.0^12.0^2.5999999999999996&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,ma_atr_long_period^230.0^276.0^1.2&adx_crossover_threshold^220.0^15.0&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,rsi_overbought^130^50&kdj_k_crossover_d_2^240^96^168^15&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,rsi_fast_higher_slow^170^238&stoch_k_crossover_d_2^210^189^105^15&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,atr_fast_higher_slow^60^168&stoch_k_crossover_d_2^210^189^105^15&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&sma_fast_crossover_slow^200^440&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,adx_higher_threshold^50.0^20.0&sma_fast_crossover_slow_2^200^560&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&smi_k_crossover_d_2^120^48^36^15&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&smi_k_crossover_d^190^57^95&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,ema_fast_higher_slow^45^81&adx_crossover_threshold^220.0^15.0&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,smi_k_higher_d^17^10^15&kc_price_crossover_low_2^20.0^8.0^1.5&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rsi_overbought^130^50&adx_crossover_threshold^210.0^15.0&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&kc_price_crossover_low^16.0^6.0^3.3&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&tsi_crossover0^220^198^SMA&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,trix_increase^140&adx_crossover_threshold^220.0^15.0&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,price_higher_sma^35&kc_price_crossover_low_2^20.0^8.0^1.5&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^6^SMA&trix_crossover_signal^230^322&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,adx_plus_higher_minus^12&adx_crossover_threshold^210.0^15.0&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,stoch_d_overbought^250^150^75^50&adx_crossover_threshold^220.0^15.0&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,kdj_d_neutral^60^24^30^55^45&bb_price_crossover_low_2^170.0^1.9&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,sma_fast_higher_slow^30^60&adx_crossover_threshold^220.0^15.0&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,kdj_d_overbought^160^144^144^50&adx_crossover_threshold^210.0^15.0&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,ma_atr_long_period^230.0^276.0^1.2&kc_price_crossover_low^18.0^7.0^3.6999999999999993&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,supertrend_long_period^230.0^1.7&kc_price_crossover_low_2^20.0^8.0^1.5&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,stoch_d_overbought^170^136^153^50&stoch_k_crossover_d_2^220^88^154^15&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,skew_positive^6^EMA&adx_crossover_threshold^210.0^15.0&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,trix_higher_signal^30.0^36.0&bb_price_crossover_low^190.0^3.0999999999999996&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,aroon_diff_higher0^40&bb_price_crossover_low^120.0^3.8999999999999995&roc_crossunder0^59
0.0,0.0,0.0,0.0,smi_overbought^230^115^0.0^SMA&adx_crossover_threshold^220.0^15.0&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,smi_overbought^230^115^0.0^SMA&adx_crossover_threshold^220.0^15.0&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&rvi_crossover0^120^SMA&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&emacd_crossover_signal_3^160^448^144&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,smacd_increase^55^88&kc_price_crossover_low^18.0^7.0^3.6999999999999993&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,supertrend_long_period^230.0^1.7&kc_price_crossover_low^16.0^6.0^3.3&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,atr_fast_lower_slow^18^29&bb_price_crossover_low^120.0^3.8999999999999995&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&smacd_histogram_start_increase^190^532^114&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,supertrend_long_period^60.0^3.8999999999999995&kc_price_crossover_low_2^20.0^8.0^1.5&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rvi_higher_signal^140^70&bb_price_crossover_low^120.0^3.8999999999999995&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,roc_higher0^200&kdj_k_crossover_d_2^150^120^135^20&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,rsi_overbought^140^50&stoch_k_crossover_d_2^210^189^105^15&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,smi_d_overbought^180^126^54^0.0^SMA&kdj_k_crossover_d_2^240^96^168^15&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,kdj_k_overbought^50^30^50&kc_price_crossover_low^16.0^6.0^3.3&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,rsi_fast_higher_slow^170^238&kdj_k_crossover_d_2^240^96^168^15&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,smi_d_overbought^180^144^54^0.0^EMA&kdj_k_crossover_d_2^240^96^168^15&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,kdj_k_overbought^120^60^50&stoch_k_crossover_d_2^210^189^105^15&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&aroon_diff_crossover0^100&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&supertrend_long_signal^70.0^3.6999999999999993&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,emacd_higher_signal^40^64^56&kc_price_crossover_low_2^20.0^8.0^1.5&bb_price_crossunder_high^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^6^SMA&trix_crossover_signal^230^322&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,rsi_fast_higher_slow^40^112&bb_price_crossover_low_2^170.0^1.9&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,roc_higher0^110&bb_price_crossover_low_2^170.0^1.9&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&stoch_k_crossover_d_2^210^189^105^15&roc_crossunder0^59
0.0,0.0,0.0,0.0,rvi_signal_neutral^250^200^5.0^-5.0^SMA&adx_crossover_threshold^220.0^15.0&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,smi_overbought^230^115^0.0^SMA&bb_price_crossover_low_2^170.0^1.9&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,skew_positive^100^EMA&bb_price_crossover_low^190.0^3.0999999999999996&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&smacd_start_increase^110^308&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,stoch_d_overbought^250^150^75^50&kdj_k_crossover_d_2^240^96^168^15&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,adx_lower_threshold^35.0^15.0&adx_crossover_threshold^210.0^15.0&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,ema_fast_higher_slow^45^81&adx_crossover_threshold^220.0^15.0&trailing_stop^34^3.5
