开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-16 08:15:00,2026-06-18,15.024,52.189,6.761,2.077,0.856,7.719,25.13,1.315,0.535,29.0,48.276,1.909,51.578,2.9,tsi_higher_signal^60^36^30^SMA&emacd_crossover_signal^70^154^56&trailing_stop^34^2.5
2026-02-16 08:15:00,2026-06-18,15.032,52.221,6.108,2.358,0.973,8.55,22.147,1.159,0.46,27.0,48.148,2.047,52.03,2.7,kdj_d_neutral^60^24^30^55^45&adx_plus_crossover_minus^80&trailing_stop^34^2.5
2026-02-16 08:15:00,2026-06-18,15.12,52.571,4.654,3.799,1.025,11.295,13.839,0.724,0.46,11.0,63.636,2.459,51.662,1.1,skew_positive^6^EMA&kdj_k_crossover_d^230^115^69&trailing_stop^34^2.5
2026-02-16 08:15:00,2026-06-18,15.139,52.647,6.48,2.888,1.04,8.125,18.227,0.954,0.672,14.0,57.143,2.085,53.333,1.4,trix_increase^140&kdj_k_crossover50^60^54&trailing_stop^34^3.0
2026-02-16 08:15:00,2026-06-18,15.205,52.907,6.973,2.761,1.048,7.587,19.159,1.003,0.489,20.0,55.0,1.785,51.25,2.0,trix_higher0^35&smi_k_crossover_d^190^57^95&trailing_stop^34^2.5
2026-02-16 08:15:00,2026-06-18,15.233,53.018,8.343,2.311,0.832,6.355,22.937,1.201,0.533,20.0,55.0,1.706,53.228,2.0,sma_fast_higher_slow^230^598&kdj_k_crossover50^60^54&trailing_stop^34^2.5
2026-02-16 08:15:00,2026-06-18,15.271,53.171,5.75,2.796,1.01,9.247,19.019,0.996,0.493,18.0,55.556,1.866,52.414,1.8,smacd_histogram_increase^55^99^38&smi_k_crossover_d^190^57^95&trailing_stop^34^2.5
2026-02-16 08:15:00,2026-06-18,15.285,53.226,5.719,3.274,1.056,9.306,16.26,0.851,0.591,12.0,66.667,2.33,53.664,1.2,mass_lower1^55^44&kdj_k_crossover_d^230^115^69&trailing_stop^34^3.0
2026-02-16 08:15:00,2026-06-18,15.289,53.242,6.067,2.819,1.098,8.776,18.886,0.989,0.515,10.0,60.0,2.595,53.412,1.0,rsi_fast_higher_slow^170^238&smacd_crossover_signal_2^210^294^189&trailing_stop^34^2.5
2026-02-16 08:15:00,2026-06-18,15.315,53.346,6.771,2.199,0.826,7.878,24.26,1.27,0.613,22.0,50.0,2.155,52.721,2.2,stoch_d_overbought^250^150^75^50&stoch_k_crossover50^80^24&trailing_stop^34^3.0
