开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-16 08:15:00,2026-06-18,39.886,173.755,8.489,3.819,2.611,20.468,45.496,2.381,0.705,27.0,51.852,2.599,51.849,2.7,rvi_signal_neutral^50^20^25.0^-25.0^EMA&kdj_k_crossover_d^230^115^69&trailing_stop^34^3.5
2026-02-16 08:15:00,2026-06-18,39.932,174.025,7.917,5.361,2.762,21.982,32.463,1.699,0.565,36.0,52.778,2.531,53.499,3.6,kdj_k_overbought^120^60^50&emacd_start_increase^160^384&trailing_stop^34^2.5
2026-02-16 08:15:00,2026-06-18,40.001,174.427,4.787,6.425,3.029,36.439,27.147,1.421,0.631,30.0,66.667,1.95,54.082,3.0,smacd_increase^55^88&aroon_diff_crossover0^90&trailing_stop^34^2.5
2026-02-16 08:15:00,2026-06-18,40.051,174.721,8.632,4.036,2.087,20.241,43.291,2.266,0.794,14.0,64.286,3.797,53.232,1.4,kdj_d_overbought^160^144^144^50&smi_k_crossover_d_2^140^42^70^15&trailing_stop^34^3.0
2026-02-16 08:15:00,2026-06-18,40.067,174.818,8.774,3.761,2.61,19.926,46.487,2.433,0.736,28.0,50.0,2.843,52.042,2.8,sma_fast_higher_slow^230^598&smacd_start_increase^110^308&trailing_stop^34^3.5
2026-02-16 08:15:00,2026-06-18,40.174,175.448,7.864,4.124,2.156,22.31,42.546,2.227,0.485,22.0,54.545,3.447,52.798,2.2,rvi_overbought^180^0.0^SMA&stoch_k_crossover_d^120^96^36&trailing_stop^34^2.5
2026-02-16 08:15:00,2026-06-18,40.205,175.632,8.731,5.471,3.244,20.115,32.104,1.68,0.494,43.0,58.14,1.927,51.729,4.3,price_higher_sma^210&supertrend_long_signal^70.0^3.6999999999999993&trailing_stop^34^2.5
2026-02-16 08:15:00,2026-06-18,40.207,175.644,7.79,6.12,2.755,22.547,28.7,1.502,0.518,32.0,56.25,2.114,53.647,3.2,rvi_overbought^170^0.0^SMA&smacd_histogram_start_increase^190^532^114&trailing_stop^34^2.5
2026-02-16 08:15:00,2026-06-18,40.215,175.691,4.804,6.674,3.029,36.572,26.326,1.378,0.628,30.0,66.667,2.08,53.49,3.0,smi_overbought^230^115^0.0^SMA&price_crossover_sma_2^110&trailing_stop^34^2.5
2026-02-16 08:15:00,2026-06-18,40.227,175.761,4.115,5.712,3.155,42.715,30.773,1.611,0.512,35.0,54.286,2.401,51.28,3.5,roc_higher0^200&smacd_histogram_start_increase_2^230^322^184&trailing_stop^34^2.5
2026-02-16 08:15:00,2026-06-18,40.249,175.89,8.906,4.933,3.286,19.75,35.658,1.866,0.775,46.0,54.348,1.854,52.146,4.6,stoch_k_neutral^240^216^80^20&price_crossover_sma_2^110&trailing_stop^34^3.0
2026-02-16 08:15:00,2026-06-18,40.273,176.03,9.095,3.715,2.514,19.355,47.378,2.48,0.66,32.0,53.125,2.168,53.005,3.2,stoch_k_overbought^29^26^50&emacd_start_increase^150^420&trailing_stop^34^3.0
