total+总收益率%,total+交易胜率%,total+盈亏比,total+最大回撤%,strategy_name
0.0,0.0,0.0,0.0,rsi_neutral^17^55^45&bb_price_crossover_low^18.0^3.8999999999999995&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,kdj_k_neutral^90^54^55^45&adx_crossover_threshold^45.0^35.0&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,rsi_neutral^17^55^45&bb_price_crossover_low^170.0^3.3&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,stoch_d_neutral^220^176^198^55^45&bb_price_crossover_low_2^60.0^2.0999999999999996&roc_crossunder0^59
0.0,0.0,0.0,0.0,rvi_neutral^29^5.0^-5.0^EMA&kc_price_crossover_low^8.0^3.0^1.9&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,smi_d_neutral^60^24^42^5.0^-5.0^EMA&kdj_k_crossover_d_2^190^171^95^15&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,kdj_k_higher_d^60^48^42&kc_price_crossover_low^18.0^7.0^3.6999999999999993&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,stoch_d_neutral^220^176^198^55^45&bb_price_crossover_high_2^20.0^3.8999999999999995&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,kdj_k_neutral^90^54^55^45&kdj_k_crossover_d_2^160^144^144^15&bb_price_crossunder_high^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^12^EMA&sma_fast_crossover_slow_2^110^220&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,adx_higher_threshold^130.0^25.0&kdj_k_crossover_d_2^160^144^144^15&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,tsi_higher_signal^8^5^4^SMA&adx_crossover_threshold^130.0^25.0&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,stoch_k_neutral^50^15^60^40&kc_price_crossover_high^18.0^7.0^3.8999999999999995&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,rvi_signal_overbought^60^30^0.0^SMA&bb_price_crossover_low_2^60.0^2.0999999999999996&roc_crossunder0^59
0.0,0.0,0.0,0.0,adx_higher_threshold^55.0^35.0&smacd_histogram_start_increase_2^230^598^230&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,kdj_k_overbought^26^10^50&bb_price_crossover_low_2^55.0^1.9&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,smi_d_neutral^60^24^42^5.0^-5.0^EMA&kc_price_crossover_low_2^230.0^276.0^3.8999999999999995&roc_crossunder0^59
0.0,0.0,0.0,0.0,rvi_neutral^29^5.0^-5.0^EMA&smacd_crossover_signal_3^110^308^121&trailing_stop^34^3.5
