total+总收益率%,total+交易胜率%,total+盈亏比,total+最大回撤%,strategy_name
0.0,0.0,0.0,0.0,stoch_k_overbought^29^9^50&kc_price_crossover_low_2^230.0^276.0^3.8999999999999995&roc_crossunder0^59
0.0,0.0,0.0,0.0,tsi_overbought^40^12^0.0^EMA&bb_price_crossover_low_2^210.0^2.0999999999999996&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,aroon_diff_higher0^50&bb_price_crossover_low_2^210.0^2.0999999999999996&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,ma_atr_long_period^8.0^8.0^1.2&kc_price_crossover_low^12.0^5.0^3.0999999999999996&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rvi_signal_overbought^26^13^0.0^EMA&kc_price_crossover_low_2^14.0^6.0^1.9&aroon_diff_crossunder0^59
0.0,0.0,0.0,0.0,adx_plus_higher_minus^10&kc_price_crossover_low_2^230.0^276.0^3.8999999999999995&aroon_diff_crossunder0^59
0.0,0.0,0.0,0.0,convexity_lower1^8^SMA&bb_price_crossover_low^20.0^3.8999999999999995&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,stoch_k_neutral^17^7^75^25&kc_price_crossover_low^8.0^3.0^2.0999999999999996&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^8^SMA&sma_fast_crossover_slow^140^364&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,smacd_higher_signal^25^65^15&kc_price_crossover_low^8.0^3.0^2.0999999999999996&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,kc_neutral^60.0^24.0^1.9&bb_price_crossover_low_2^200.0^2.3&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,mass_higher1^150^60&kc_price_crossover_low_2^230.0^276.0^3.8999999999999995&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,rvi_overbought^29^0.0^SMA&bb_price_crossover_low^14.0^3.4999999999999996&aroon_diff_crossunder0^109
0.0,0.0,0.0,0.0,stoch_k_neutral^150^45^55^45&smi_k_crossover0^160^128^EMA&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,smi_k_higher_d^40^12^28&kc_price_crossover_low^8.0^3.0^2.0999999999999996&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,emacd_higher_signal^25^35^27&bb_price_crossover_low_2^200.0^2.3&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^8^SMA&sma_fast_crossover_slow^140^364&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,stoch_d_overbought^8^3^4^50&kc_price_crossover_low^12.0^5.0^3.0999999999999996&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,emacd_histogram_increase^45^108^49&kc_price_crossover_low^8.0^3.0^2.0999999999999996&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,emacd_histogram_increase^45^108^49&kc_price_crossover_low^8.0^3.0^2.0999999999999996&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,price_higher_ema^35&bb_price_crossover_low^20.0^3.8999999999999995&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,kdj_k_overbought^30^12^50&kc_price_crossover_low_2^230.0^276.0^3.8999999999999995&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rvi_higher_signal^55^50&bb_price_crossover_low^14.0^3.4999999999999996&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rsi_neutral^11^60^40&kc_price_crossover_low_2^230.0^276.0^3.8999999999999995&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,mass_higher1^150^60&kdj_k_crossover_d_2^250^175^125^15&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,rvi_signal_overbought^30^24^0.0^EMA&kc_price_crossover_low_2^14.0^6.0^1.9&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,stoch_k_neutral^17^7^75^25&kc_price_crossover_low^12.0^5.0^3.0999999999999996&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,stoch_k_neutral^150^45^55^45&kc_price_crossover_low^8.0^3.0^2.0999999999999996&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,smi_k_higher_d^40^12^28&kc_price_crossover_low^12.0^5.0^3.0999999999999996&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,supertrend_long_period^10.0^2.6999999999999997&bb_price_crossover_low_2^200.0^2.3&roc_crossunder0^59
0.0,0.0,0.0,0.0,skew_negative^190^EMA&stoch_k_crossover_d_2^250^200^225^15&bb_price_crossunder_high^34^2
0.0,0.0,0.0,0.0,trix_higher_signal^20.0^20.0&kc_price_crossover_low_2^230.0^276.0^3.8999999999999995&roc_crossunder0^89
0.0,0.0,0.0,0.0,rvi_higher_signal^55^50&bb_price_crossover_low^14.0^3.4999999999999996&aroon_diff_crossunder0^59
0.0,0.0,0.0,0.0,mass_lower1^20^16&bb_price_crossover_low_2^200.0^2.3&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,rsi_neutral^23^75^25&kc_price_crossover_low_2^230.0^276.0^3.8999999999999995&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rsi_overbought^23^50&bb_price_crossover_low_2^210.0^2.0999999999999996&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,emacd_histogram_increase^45^108^49&adx_crossover_threshold^170.0^15.0&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,atr_fast_higher_slow^110^198&bb_price_crossover_low_2^200.0^2.3&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,smacd_increase^30^78&kc_price_crossover_low^8.0^3.0^2.0999999999999996&emacd_histogram_start_decrease^233^466^233
