开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-16 06:45:00,2026-06-18,15.003,52.071,2.732,4.79,3.12,19.06,10.87,0.569,1.138,18.0,83.333,1.719,49.888,1.8,mass_higher1^180^54&smi_k_crossover_d_2^80^56^24^25&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,15.009,52.096,8.13,2.859,2.537,6.408,18.223,0.954,0.805,57.0,49.123,1.881,49.233,5.7,rvi_higher_signal^70^63&rvi_signal_crossover0^30^24^EMA&trailing_stop^34^3.5
2026-02-16 06:45:00,2026-06-18,15.011,52.102,2.855,4.037,2.948,18.247,12.906,0.676,0.746,41.0,48.78,2.746,50.15,4.1,kdj_d_neutral^60^30^18^75^25&smi_k_crossover_d_2^60^48^42^15&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,15.012,52.109,4.193,3.503,2.649,12.429,14.876,0.779,0.837,34.0,52.941,2.345,49.731,3.4,kdj_k_higher_d^60^54^54&emacd_crossover_signal^80^176^48&trailing_stop^34^3.5
2026-02-16 06:45:00,2026-06-18,15.017,52.128,2.49,3.803,2.519,20.939,13.709,0.718,0.895,21.0,57.143,2.927,49.023,2.1,tsi_neutral^12^4^15.0^-15.0^EMA&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.5
2026-02-16 06:45:00,2026-06-18,15.022,52.148,3.769,3.688,2.186,13.835,14.141,0.74,0.896,23.0,52.174,3.027,50.334,2.3,rvi_overbought^40^0.0^EMA&smacd_start_increase^190^532&trailing_stop^34^3.5
2026-02-16 06:45:00,2026-06-18,15.034,52.195,3.971,3.526,2.596,13.144,14.805,0.775,0.859,31.0,51.613,2.879,50.316,3.1,skew_positive^70^EMA&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.5
2026-02-16 06:45:00,2026-06-18,15.038,52.212,3.205,3.758,2.998,16.292,13.892,0.727,0.868,40.0,50.0,2.597,49.427,4.0,emacd_increase^55^88&smi_k_crossover_d_2^60^48^42^15&trailing_stop^34^3.5
2026-02-16 06:45:00,2026-06-18,15.041,52.224,3.666,3.547,2.625,14.247,14.722,0.771,0.733,35.0,51.429,2.647,49.553,3.5,smacd_histogram_increase^45^99^36&emacd_crossover_signal^70^182^42&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,15.051,52.264,3.315,3.677,2.596,15.765,14.213,0.744,0.715,30.0,53.333,2.356,49.215,3.0,stoch_d_neutral^26^23^18^55^45&emacd_start_increase^120^288&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,15.056,52.281,8.228,2.789,2.865,6.354,18.743,0.981,71.868,1.0,100.0,100.0,49.564,0.1,rsi_neutral^23^75^25&bb_price_crossover_low_2^210.0^2.0999999999999996&roc_crossunder0^89
2026-02-16 06:45:00,2026-06-18,15.056,52.281,8.228,2.789,2.865,6.354,18.743,0.981,71.868,1.0,100.0,100.0,49.564,0.1,skew_negative^180^EMA&bb_price_crossover_low_2^210.0^2.0999999999999996&aroon_diff_crossunder0^109
2026-02-16 06:45:00,2026-06-18,15.056,52.281,8.228,2.789,2.865,6.354,18.743,0.981,71.868,1.0,100.0,100.0,49.564,0.1,emacd_histogram_increase^45^108^49&bb_price_crossover_low_2^210.0^2.0999999999999996&aroon_diff_crossunder0^109
