开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-16 06:45:00,2026-06-18,17.412,61.825,2.725,4.521,2.946,22.69,13.674,0.716,0.81,23.0,60.87,2.781,49.343,2.3,tsi_neutral^12^4^15.0^-15.0^EMA&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,17.413,61.829,2.855,5.166,3.821,21.654,11.969,0.626,0.769,37.0,54.054,2.997,50.753,3.7,adx_lower_threshold^200.0^10.0&smi_k_crossover_d_2^60^48^42^15&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,17.433,61.912,3.776,3.794,2.92,16.396,16.318,0.854,0.885,36.0,52.778,2.603,49.64,3.6,rsi_neutral^11^60^40&kdj_k_crossover50^29^23&trailing_stop^34^3.5
2026-02-16 06:45:00,2026-06-18,17.443,61.953,3.948,3.787,3.153,15.694,16.361,0.856,0.717,49.0,48.98,2.327,49.739,4.9,smi_d_neutral^100^90^90^30.0^-30.0^EMA&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,17.46,62.024,4.156,4.469,2.74,14.925,13.878,0.726,0.88,22.0,77.273,1.656,49.921,2.2,kc_neutral^60.0^24.0^1.9&emacd_crossover_signal^80^176^48&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,17.469,62.064,1.992,5.492,3.782,31.158,11.301,0.592,1.097,21.0,66.667,4.317,49.402,2.1,mass_higher1^150^60&kdj_k_crossover_d^80^72^72&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,17.479,62.102,3.829,3.863,3.251,16.218,16.078,0.842,0.995,34.0,52.941,2.587,49.05,3.4,adx_higher_threshold^80.0^10.0&emacd_histogram_start_increase^210^462^294&trailing_stop^34^3.5
2026-02-16 06:45:00,2026-06-18,17.48,62.106,4.042,4.252,2.716,15.365,14.606,0.765,0.862,27.0,55.556,2.793,50.296,2.7,stoch_k_overbought^29^9^50&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,17.491,62.152,2.721,4.703,3.554,22.843,13.214,0.692,0.786,40.0,50.0,3.5,49.927,4.0,emacd_increase^55^88&smi_k_crossover_d_2^60^48^42^15&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,17.505,62.209,3.947,4.204,2.867,15.761,14.797,0.775,0.937,27.0,59.259,2.457,49.425,2.7,roc_higher0^25&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.5
