total+总收益率%,total+交易胜率%,total+盈亏比,total+最大回撤%,strategy_name
0.0,0.0,0.0,0.0,supertrend_long_period^30.0^2.3&adx_crossover_threshold^180.0^20.0&aroon_diff_crossunder0^109
0.0,0.0,0.0,0.0,aroon_diff_higher0^35&stoch_k_crossover_d_2^250^225^175^15&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,kc_neutral^110.0^66.0^1.5&stoch_k_crossover_d_2^250^225^175^15&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,adx_higher_threshold^50.0^30.0&emacd_crossover_signal^230^598^207&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,rsi_fast_higher_slow^20^36&adx_crossunder_threshold^50.0^5.0&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,adx_plus_higher_minus^6&adx_crossunder_threshold^50.0^5.0&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,ema_fast_higher_slow^90^198&stoch_k_crossover_d_2^250^225^175^15&aroon_diff_crossunder0^109
0.0,0.0,0.0,0.0,adx_higher_threshold^140.0^20.0&bb_price_crossover_high_2^25.0^3.8999999999999995&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&bb_price_crossover_low_2^80.0^2.5&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&sma_fast_crossover_slow_2^220^308&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,ma_atr_long_period^14.0^17.0^2.3999999999999995&bb_price_crossover_low_2^80.0^2.5&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,emacd_increase^50^80&kc_price_crossover_low^18.0^7.0^3.8999999999999995&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,rvi_neutral^20^5.0^-5.0^EMA&bb_price_crossover_low^16.0^3.6999999999999993&roc_crossunder0^89
0.0,0.0,0.0,0.0,aroon_diff_higher0^18&adx_crossover_threshold^180.0^20.0&aroon_diff_crossunder0^109
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&bb_price_crossover_low^20.0^3.8999999999999995&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,stoch_d_neutral^23^9^7^55^45&bb_price_crossover_low_2^200.0^2.5&roc_crossunder0^59
0.0,0.0,0.0,0.0,trix_higher0^8&adx_crossunder_threshold^40.0^5.0&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,adx_higher_threshold^50.0^30.0&roc_crossover0^170&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,price_higher_ema^20&adx_crossover_threshold^180.0^20.0&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,kc_neutral^110.0^66.0^1.5&stoch_k_crossover_d_2^250^225^175^15&roc_crossunder0^89
0.0,0.0,0.0,0.0,tsi_neutral^50^45^5.0^-5.0^EMA&bb_price_crossover_low_2^200.0^2.5&trailing_stop^34^3.0
