开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-16 06:30:00,2026-06-18,15.011,52.1,4.629,2.777,1.247,11.256,18.763,0.982,0.669,20.0,50.0,2.065,51.771,2.0,smi_k_higher_d^210^189^189&sma_fast_crossover_slow_3^170^272&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,15.013,52.104,3.308,3.966,1.577,15.752,13.138,0.688,1.2,5.0,80.0,12.694,52.806,0.5,smi_k_higher_d^23^16^7&stoch_k_crossover50^220^176&trailing_stop^34^3.5
2026-02-16 06:30:00,2026-06-18,15.015,52.115,6.058,2.559,1.266,8.602,20.365,1.066,0.821,19.0,52.632,1.814,51.373,1.9,atr_fast_lower_slow^55^88&sma_fast_crossover_slow_3^170^272&trailing_stop^34^3.5
2026-02-16 06:30:00,2026-06-18,15.03,52.174,2.552,4.033,1.345,20.448,12.936,0.677,0.701,6.0,66.667,5.401,54.545,0.6,rvi_signal_neutral^50^35^5.0^-5.0^SMA&smi_k_crossover_d_2^250^150^225^30&trailing_stop^34^2.5
2026-02-16 06:30:00,2026-06-18,15.031,52.177,3.671,2.688,0.72,14.215,19.41,1.016,0.903,3.0,100.0,100.0,55.932,0.3,smi_k_higher_d^210^189^189&tsi_crossover_signal^220^154^132^SMA&trailing_stop^34^2.5
2026-02-16 06:30:00,2026-06-18,15.034,52.191,4.002,4.271,1.576,13.04,12.22,0.64,1.068,5.0,80.0,2.709,53.582,0.5,price_higher_ema^18&kdj_k_crossover50^230^207&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,15.034,52.191,4.002,4.271,1.576,13.04,12.22,0.64,1.068,5.0,80.0,2.709,53.582,0.5,rvi_overbought^14^0.0^EMA&kdj_k_crossover50^230^207&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,15.034,52.191,4.002,4.271,1.576,13.04,12.22,0.64,1.068,5.0,80.0,2.709,53.582,0.5,rsi_overbought^8^50&kdj_k_crossover50^230^207&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,15.034,52.191,4.002,4.271,1.576,13.04,12.22,0.64,1.068,5.0,80.0,2.709,53.582,0.5,price_higher_sma^18&kdj_k_crossover50^230^207&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,15.038,52.204,2.682,4.3,1.676,19.465,12.14,0.635,0.757,9.0,77.778,3.854,55.056,0.9,rvi_signal_neutral^40^32^5.0^-5.0^SMA&smacd_crossover_signal^220^308^154&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,15.054,52.269,3.724,3.998,1.492,14.037,13.075,0.684,0.99,6.0,83.333,3.053,51.804,0.6,smacd_increase^6^10&rvi_signal_crossover0^150^135^SMA&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,15.057,52.281,4.501,4.123,1.623,11.615,12.681,0.664,0.914,7.0,71.429,1.713,53.11,0.7,stoch_d_overbought^60^54^54^50&kdj_k_crossover50^240^216&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,15.057,52.282,4.551,2.415,0.787,11.488,21.647,1.133,0.863,5.0,60.0,6.178,55.319,0.5,mass_higher1^8^7&tsi_crossover_signal^220^154^132^SMA&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,15.06,52.293,2.49,4.992,1.685,21.002,10.476,0.548,1.336,3.0,100.0,100.0,54.58,0.3,atr_fast_higher_slow^170^442&smi_k_crossover0^190^95^SMA&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,15.072,52.341,3.627,4.085,1.658,14.429,12.812,0.671,0.929,7.0,71.429,2.516,54.824,0.7,ma_atr_long_period^14.0^17.0^2.3999999999999995&sma_fast_crossover_slow^150^300&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,15.084,52.387,2.948,4.383,1.594,17.768,11.951,0.626,0.824,6.0,83.333,28.514,54.489,0.6,ma_atr_long_period^180.0^216.0^2.8&kdj_d_crossover50^240^96^72&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,15.095,52.43,3.42,4.075,1.713,15.331,12.866,0.673,1.23,5.0,100.0,100.0,52.239,0.5,tsi_higher_signal^230^207^161^SMA&smi_k_crossover0^210^105^EMA&trailing_stop^34^3.5
