开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-16 06:30:00,2026-06-18,20.258,73.868,2.974,5.238,1.903,24.841,14.103,0.738,0.721,10.0,60.0,7.495,54.352,1.0,stoch_k_overbought^190^114^50&smacd_crossover_signal^220^308^154&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,20.856,76.475,3.167,5.217,2.229,24.15,14.659,0.767,0.583,12.0,58.333,4.093,54.923,1.2,rvi_signal_overbought^180^54^0.0^SMA&kdj_k_crossover_d^150^135^45&trailing_stop^34^2.5
2026-02-16 06:30:00,2026-06-18,20.978,77.009,3.046,5.165,2.307,25.28,14.909,0.78,0.891,10.0,70.0,6.095,51.89,1.0,emacd_higher_signal^190^304^266&smi_k_crossover_d_2^210^189^189^45&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,21.164,77.825,4.109,4.449,1.754,18.941,17.491,0.916,0.522,21.0,52.381,2.852,52.301,2.1,skew_positive^12^EMA&sma_fast_crossover_slow_3^170^272&trailing_stop^34^2.5
2026-02-16 06:30:00,2026-06-18,21.26,78.248,2.586,5.066,2.25,30.263,15.446,0.808,0.901,10.0,70.0,3.651,52.462,1.0,emacd_higher_signal^190^304^266&smi_k_crossover_d_2^250^150^225^30&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,21.265,78.268,3.442,5.234,2.231,22.74,14.954,0.783,0.621,12.0,66.667,3.657,52.772,1.2,stoch_d_overbought^60^54^54^50&stoch_k_crossover_d^110^55^55&trailing_stop^34^2.5
2026-02-16 06:30:00,2026-06-18,21.412,78.918,2.685,5.442,2.212,29.397,14.501,0.759,0.696,10.0,60.0,5.342,54.725,1.0,trix_increase^230&smi_k_crossover_d_2^250^150^225^30&trailing_stop^34^2.5
2026-02-16 06:30:00,2026-06-18,21.603,79.765,2.951,6.182,2.292,27.028,12.902,0.675,0.65,10.0,60.0,8.602,56.0,1.0,bb_neutral^30.0^3.6999999999999993&smacd_crossover_signal_2^220^308^154&trailing_stop^34^2.5
2026-02-16 06:30:00,2026-06-18,21.722,80.291,4.296,5.355,2.507,18.688,14.995,0.785,0.728,12.0,66.667,3.21,53.59,1.2,smi_d_neutral^240^72^168^15.0^-15.0^EMA&sma_fast_crossover_slow_3^160^288&trailing_stop^34^2.5
2026-02-16 06:30:00,2026-06-18,21.941,81.266,3.963,4.55,2.617,20.506,17.86,0.935,0.57,22.0,59.091,3.089,51.22,2.2,atr_fast_lower_slow^55^88&smacd_start_increase^230^552&trailing_stop^34^2.5
2026-02-16 06:30:00,2026-06-18,21.958,81.343,2.943,5.91,2.021,27.641,13.765,0.72,0.65,10.0,60.0,10.693,55.529,1.0,stoch_k_overbought^190^114^50&smacd_crossover_signal^220^308^154&trailing_stop^34^2.5
2026-02-16 06:30:00,2026-06-18,22.021,81.623,3.421,5.5,2.485,23.856,14.839,0.777,0.826,10.0,60.0,4.792,52.222,1.0,bb_neutral^8.0^1.5&smi_k_crossover0^190^95^SMA&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,22.402,83.329,3.844,5.103,2.501,21.677,16.33,0.855,0.99,10.0,70.0,2.937,52.396,1.0,bb_neutral^30.0^3.6999999999999993&stoch_d_crossover50^210^84^105&trailing_stop^34^3.5
2026-02-16 06:30:00,2026-06-18,22.539,83.944,4.233,5.129,2.533,19.83,16.366,0.857,0.954,11.0,72.727,3.885,52.041,1.1,stoch_k_overbought^200^80^50&rvi_signal_crossover0^150^135^SMA&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,22.623,84.325,3.715,5.51,2.177,22.701,15.304,0.801,0.595,14.0,57.143,5.629,54.228,1.4,kdj_d_overbought^130^117^39^50&smacd_crossover_signal^220^308^154&trailing_stop^34^2.5
2026-02-16 06:30:00,2026-06-18,22.733,84.82,2.801,6.332,2.626,30.284,13.394,0.701,0.629,10.0,70.0,4.298,52.798,1.0,bb_neutral^8.0^1.5&smi_k_crossover0^190^95^SMA&trailing_stop^34^2.5
2026-02-16 06:30:00,2026-06-18,22.756,84.925,4.604,4.665,2.481,18.444,18.205,0.953,0.801,16.0,62.5,1.85,52.506,1.6,adx_lower_threshold^90.0^10.0&smacd_start_increase^230^552&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,22.949,85.798,4.438,4.096,2.009,19.334,20.948,1.096,0.707,22.0,50.0,2.533,51.476,2.2,kdj_k_higher_d^8^7^2&sma_fast_crossover_slow_3^170^272&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,23.108,86.516,3.994,4.975,2.785,21.66,17.392,0.91,1.064,13.0,69.231,2.306,51.659,1.3,rvi_neutral^20^5.0^-5.0^EMA&sma_fast_crossover_slow_3^160^288&trailing_stop^34^3.5
2026-02-16 06:30:00,2026-06-18,23.195,86.913,3.412,5.706,2.72,25.471,15.232,0.797,0.992,10.0,70.0,4.466,54.012,1.0,bb_neutral^30.0^3.6999999999999993&smacd_crossover_signal_2^220^308^154&trailing_stop^34^3.5
2026-02-16 06:30:00,2026-06-18,23.197,86.923,4.088,4.23,2.143,21.261,20.547,1.075,0.914,18.0,55.556,2.32,52.93,1.8,rvi_signal_neutral^40^32^5.0^-5.0^SMA&sma_fast_crossover_slow_3^170^272&trailing_stop^34^3.5
2026-02-16 06:30:00,2026-06-18,23.217,87.013,4.706,4.671,2.603,18.491,18.629,0.975,0.578,25.0,52.0,3.121,52.542,2.5,mass_lower1^180^72&smacd_start_increase^230^552&trailing_stop^34^2.5
2026-02-16 06:30:00,2026-06-18,23.363,87.678,4.742,5.846,2.384,18.489,14.998,0.785,0.719,10.0,70.0,2.847,53.191,1.0,rsi_neutral^250^55^45&stoch_k_crossover50^210^168&trailing_stop^34^2.5
2026-02-16 06:30:00,2026-06-18,23.413,87.905,3.582,5.828,2.699,24.544,15.084,0.79,0.858,11.0,63.636,4.414,53.971,1.1,stoch_k_neutral^17^5^60^40&sma_fast_crossover_slow_3^170^272&trailing_stop^34^3.0
2026-02-16 06:30:00,2026-06-18,23.439,88.026,2.928,5.595,2.576,30.068,15.732,0.823,0.724,12.0,66.667,3.466,55.458,1.2,rvi_signal_overbought^180^54^0.0^SMA&kdj_k_crossover_d^150^135^45&trailing_stop^34^3.0
