total+总收益率%,total+交易胜率%,total+盈亏比,total+最大回撤%,strategy_name
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&tsi_crossover0^190^171^EMA&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&roc_crossover0^150&bb_price_crossunder_high^34^2
0.0,0.0,0.0,0.0,smacd_increase^80^224&bb_price_crossover_low_2^35.0^1.9&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,price_higher_sma^230&kc_price_crossover_low^18.0^11.0^3.8999999999999995&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&mass_crossover1^200^140&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,adx_higher_threshold^55.0^20.0&kdj_k_crossover_d_2^160^128^144^20&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,stoch_k_neutral^120^72^60^40&kc_price_crossover_low_2^45.0^18.0^1.9&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,tsi_neutral^100^40^5.0^-5.0^EMA&kc_price_crossover_high^8.0^10.0^2.6999999999999997&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,smacd_increase^80^224&smi_d_crossover0^240^216^216^SMA&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,kdj_k_neutral^70^49^55^45&kc_price_crossover_low_2^18.0^22.0^1.5&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,smi_d_neutral^40^32^28^5.0^-5.0^SMA&sma_fast_crossover_slow^210^546&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,supertrend_long_period^14.0^3.6999999999999993&bb_price_crossover_low_2^35.0^1.9&roc_crossunder0^59
0.0,0.0,0.0,0.0,adx_lower_threshold^25.0^10.0&ma_atr_long_signal^230.0^230.0^2.3999999999999995&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,stoch_d_neutral^200^120^140^65^35&stoch_k_crossover_d_2^170^153^119^15&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,stoch_d_overbought^250^150^225^50&smi_k_crossover0^240^216^EMA&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,smi_d_neutral^40^32^28^5.0^-5.0^SMA&kc_price_crossover_low_2^18.0^22.0^1.5&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,tsi_neutral^100^40^5.0^-5.0^EMA&kc_price_crossover_low^16.0^16.0^3.8999999999999995&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,stoch_k_higher_d^17^12^15&bb_price_crossover_low_2^35.0^1.9&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,atr_fast_lower_slow^6^8&kc_price_crossover_low_2^18.0^22.0^1.5&bb_price_crossunder_high^34^2.5
0.0,0.0,0.0,0.0,tsi_neutral^100^40^5.0^-5.0^EMA&kdj_d_crossover50^250^225^225&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&emacd_crossover_signal_3^120^192^96&roc_crossunder0^59
0.0,0.0,0.0,0.0,rsi_neutral^40^55^45&ma_atr_long_signal^230.0^230.0^2.3999999999999995&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rvi_overbought^240^0.0^EMA&kc_price_crossover_low_2^18.0^22.0^1.5&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,smi_d_neutral^210^63^189^10.0^-10.0^EMA&bb_price_crossover_low_2^35.0^1.9&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,tsi_higher_signal^12^11^4^SMA&sma_fast_crossover_slow_2^140^252&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&smacd_histogram_start_increase^230^506^299&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,kdj_k_overbought^80^40^50&kc_price_crossover_low_2^45.0^18.0^1.9&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rvi_neutral^120^5.0^-5.0^EMA&bb_price_crossover_low^210.0^3.8999999999999995&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,smi_d_overbought^230^161^207^0.0^SMA&bb_price_crossover_low_2^35.0^1.9&aroon_diff_crossunder0^109
0.0,0.0,0.0,0.0,adx_lower_threshold^25.0^10.0&second_wave_trend_1^10&aroon_diff_crossunder0^109
0.0,0.0,0.0,0.0,convexity_lower1^6^EMA&adx_crossunder_threshold^230.0^10.0&aroon_diff_crossunder0^109
0.0,0.0,0.0,0.0,price_higher_sma^220&adx_crossunder_threshold^220.0^10.0&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,kc_neutral^130.0^130.0^1.7&sma_fast_crossover_slow^210^546&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&adx_crossunder_threshold^230.0^10.0&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,trix_increase^14&kc_price_crossover_low^16.0^16.0^3.8999999999999995&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,kdj_k_neutral^17^8^60^40&bb_price_crossover_high_2^18.0^3.8999999999999995&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,emacd_higher_signal^60^84^66&bb_price_crossover_low_2^90.0^2.0999999999999996&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,trix_increase^90&kc_price_crossover_low_2^18.0^22.0^1.5&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,rvi_higher_signal^45^14&kc_price_crossover_low_2^45.0^18.0^1.9&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,kdj_k_neutral^17^8^60^40&smi_d_crossover0^240^216^216^SMA&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,stoch_k_neutral^120^72^60^40&bb_price_crossover_low_2^35.0^1.9&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,aroon_diff_higher0^45&bb_price_crossover_low_2^90.0^2.0999999999999996&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,smi_k_higher_d^20^14^6&bb_price_crossover_low_2^90.0^2.0999999999999996&roc_crossunder0^59
0.0,0.0,0.0,0.0,kc_neutral^130.0^130.0^1.7&ma_atr_long_signal^230.0^230.0^2.3999999999999995&roc_crossunder0^59
0.0,0.0,0.0,0.0,rsi_fast_higher_slow^8^21&bb_price_crossover_low^210.0^3.8999999999999995&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,price_higher_ema^220&bb_price_crossover_low_2^35.0^1.9&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&bb_price_crossover_low^210.0^3.8999999999999995&bb_price_crossunder_high^34^2
0.0,0.0,0.0,0.0,aroon_diff_higher0^160&bb_price_crossover_low_2^35.0^1.9&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&smacd_start_increase^100^260&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rvi_overbought^240^0.0^EMA&bb_price_crossover_low_2^35.0^1.9&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rsi_neutral^8^60^40&smi_d_crossover0^250^225^225^SMA&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&sma_fast_crossover_slow_2^120^216&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,smi_d_overbought^70^28^35^0.0^EMA&bb_price_crossover_low_2^35.0^1.9&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,kdj_d_overbought^60^36^54^50&kc_price_crossover_low_2^45.0^18.0^1.9&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,trix_higher_signal^70.0^70.0&bb_price_crossover_low^210.0^3.8999999999999995&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,rsi_neutral^8^60^40&kc_price_crossover_low^16.0^16.0^3.8999999999999995&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,kdj_k_neutral^70^49^55^45&emacd_crossover_signal_3^120^192^96&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&sma_fast_crossover_slow_2^140^252&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,kc_neutral^55.0^66.0^2.6999999999999997&kc_price_crossover_high_2^8.0^10.0^2.6999999999999997&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,kc_neutral^130.0^130.0^1.7&emacd_crossover_signal_3^90^198^126&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,mass_lower1^16^5&kc_price_crossover_low_2^18.0^22.0^1.5&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,smi_neutral^26^10^20.0^-20.0^SMA&kc_price_crossover_low^18.0^11.0^3.8999999999999995&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^6^EMA&adx_crossunder_threshold^230.0^10.0&roc_crossunder0^59
0.0,0.0,0.0,0.0,ema_fast_higher_slow^6^10&kc_price_crossover_low^16.0^16.0^3.8999999999999995&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,kdj_k_neutral^70^49^55^45&smi_k_crossover0^240^216^EMA&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rvi_signal_overbought^150^135^0.0^EMA&kc_price_crossover_low_2^45.0^18.0^1.9&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,stoch_k_neutral^120^72^60^40&adx_crossunder_threshold^220.0^10.0&roc_crossunder0^59
0.0,0.0,0.0,0.0,convexity_lower1^16^EMA&bb_price_crossover_high^18.0^3.8999999999999995&roc_crossunder0^89
