datetime,open,high,low,close,volume,smi_d_neutral^210^63^189^10.0^-10.0^EMA&trix_crossover_signal^70^63&trailing_stop^34^2.5,stoch_k_neutral^250^225^60^40&roc_crossover0^140&trailing_stop^34^2.5,kdj_k_neutral^17^8^60^40&second_wave_trend_1^8&trailing_stop^34^2.5,smi_neutral^240^120^10.0^-10.0^SMA&second_wave_trend_1^10&trailing_stop^34^2.5,kdj_k_neutral^17^8^60^40&second_wave_trend_1^8&trailing_stop^34^3.0,stoch_d_overbought^250^150^225^50&smacd_histogram_start_increase^230^506^299&trailing_stop^34^3.0,smi_overbought^230^184^0.0^SMA&smacd_histogram_start_increase^230^506^299&trailing_stop^34^3.5,stoch_k_neutral^250^225^60^40&smacd_start_increase^90^252&trailing_stop^34^3.0,stoch_k_neutral^250^225^60^40&smacd_start_increase^90^252&trailing_stop^34^3.5,smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^40^64^48&trailing_stop^34^3.5,smi_d_overbought^230^161^207^0.0^SMA&smacd_start_increase^90^252&trailing_stop^34^3.0,kdj_d_neutral^200^180^180^60^40&emacd_histogram_start_increase^40^64^48&trailing_stop^34^3.0,stoch_d_overbought^250^150^225^50&emacd_histogram_start_increase^35^98^35&trailing_stop^34^3.0,smi_overbought^230^184^0.0^SMA&emacd_histogram_start_increase^40^64^48&trailing_stop^34^3.0,stoch_d_overbought^250^150^225^50&emacd_histogram_start_increase^40^64^48&trailing_stop^34^3.0,smi_overbought^230^184^0.0^SMA&emacd_histogram_start_increase^40^64^48&trailing_stop^34^3.5,stoch_d_overbought^250^150^225^50&emacd_histogram_start_increase^40^64^48&trailing_stop^34^3.5
2026-02-18 02:15:00,4.2775,4.2775,4.275,4.2775,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 02:30:00,4.275,4.2775,4.275,4.275,49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 02:45:00,4.2775,4.2775,4.275,4.275,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 03:00:00,4.275,4.275,4.275,4.275,139,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 03:15:00,4.275,4.275,4.275,4.275,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 03:30:00,4.2725,4.275,4.2725,4.2725,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 03:45:00,4.2725,4.275,4.2725,4.2725,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 04:00:00,4.2725,4.275,4.2725,4.2725,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 04:15:00,4.275,4.275,4.2725,4.2725,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 04:30:00,4.2725,4.275,4.2725,4.275,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
