total+总收益率%,total+交易胜率%,total+盈亏比,total+最大回撤%,strategy_name
0.0,0.0,0.0,0.0,emacd_increase^200^280&adx_crossunder_threshold^25.0^45.0&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,supertrend_long_period^190.0^3.0999999999999996&kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,stoch_k_higher_d^11^4^3&bb_price_crossover_low_2^70.0^2.5&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,atr_fast_higher_slow^20^52&adx_crossover_threshold^70.0^25.0&bb_price_crossunder_high^34^2.5
0.0,0.0,0.0,0.0,adx_plus_higher_minus^30&kc_price_crossover_low_2^16.0^6.0^1.5&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,sma_fast_higher_slow^60^96&adx_crossunder_threshold^25.0^45.0&roc_crossunder0^89
0.0,0.0,0.0,0.0,convexity_lower1^12^EMA&smi_d_crossover0^210^189^189^SMA&aroon_diff_crossunder0^59
0.0,0.0,0.0,0.0,tsi_overbought^120^108^0.0^EMA&adx_crossover_threshold^70.0^25.0&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,smi_k_higher_d^150^75^135&adx_crossover_threshold^55.0^30.0&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,price_higher_ema^6&kc_price_crossover_low_2^16.0^6.0^1.5&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,tsi_higher_signal^10^7^9^SMA&bb_price_crossover_low_2^140.0^1.7&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rvi_neutral^17^20.0^-20.0^SMA&kc_price_crossover_low_2^16.0^6.0^1.5&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rsi_fast_higher_slow^90^126&kc_price_crossover_low_2^16.0^6.0^1.5&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,trix_increase^90&adx_crossunder_threshold^25.0^45.0&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,tsi_overbought^120^108^0.0^EMA&stoch_k_crossover_d_2^250^100^175^15&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,smi_overbought^60^30^0.0^EMA&kc_price_crossover_low_2^16.0^6.0^1.5&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,adx_plus_higher_minus^30&bb_price_crossover_low^35.0^3.4999999999999996&aroon_diff_crossunder0^59
0.0,0.0,0.0,0.0,convexity_lower1^12^EMA&emacd_histogram_start_increase_2^140^252^84&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rvi_overbought^70^0.0^SMA&adx_crossover_threshold^55.0^30.0&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^12^EMA&rvi_crossover_signal^110^77&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,supertrend_long_period^190.0^3.0999999999999996&adx_crossunder_threshold^25.0^45.0&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rsi_fast_higher_slow^6^8&adx_crossover_threshold^55.0^30.0&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,atr_fast_lower_slow^220^308&kc_price_crossover_low_2^20.0^8.0^1.5&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^12^EMA&bb_price_crossover_high_2^160.0^1.9&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,smi_k_higher_d^240^72^120&adx_crossover_threshold^55.0^30.0&aroon_diff_crossunder0^109
0.0,0.0,0.0,0.0,convexity_lower1^12^EMA&bb_price_crossover_high_2^230.0^2.0999999999999996&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,ema_fast_higher_slow^70^154&adx_crossunder_threshold^25.0^45.0&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,rsi_fast_higher_slow^90^126&adx_crossunder_threshold^25.0^45.0&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,trix_higher_signal^55.0^22.0&bb_price_crossover_low_2^70.0^2.5&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,price_higher_sma^6&bb_price_crossover_low^25.0^3.8999999999999995&aroon_diff_crossunder0^59
0.0,0.0,0.0,0.0,rvi_overbought^70^0.0^SMA&kc_price_crossover_low_2^16.0^6.0^1.5&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^12^EMA&adx_plus_crossover_minus^20&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,trix_higher0^80&kdj_k_crossover_d_2^240^168^216^25&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,roc_higher0^80&bb_price_crossover_low_2^140.0^1.7&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,trix_higher0^80&kdj_k_crossover_d_2^200^120^100^20&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,supertrend_long_period^110.0^2.6999999999999997&bb_price_crossover_low_2^140.0^1.7&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,stoch_d_overbought^70^28^63^50&kc_price_crossover_low_2^16.0^6.0^1.5&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,kdj_k_higher_d^8^4^2&adx_crossover_threshold^55.0^30.0&aroon_diff_crossunder0^109
0.0,0.0,0.0,0.0,convexity_lower1^12^EMA&kc_price_crossover_low^14.0^17.0^2.5&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,kdj_k_overbought^70^56^50&kc_price_crossover_low_2^16.0^6.0^1.5&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,rsi_neutral^14^65^35&adx_crossover_threshold^55.0^30.0&bb_price_crossunder_high^34^2.5
0.0,0.0,0.0,0.0,rsi_overbought^60^50&bb_price_crossover_low_2^140.0^1.7&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,smi_k_higher_d^150^75^135&adx_crossover_threshold^70.0^25.0&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^12^EMA&trix_crossover_signal^160^128&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,rvi_higher_signal^12^11&adx_crossover_threshold^55.0^30.0&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,supertrend_long_period^190.0^3.0999999999999996&adx_crossunder_threshold^25.0^45.0&aroon_diff_crossunder0^109
0.0,0.0,0.0,0.0,smacd_increase^130^182&kc_price_crossover_low_2^16.0^6.0^1.5&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,emacd_increase^200^280&bb_price_crossover_low_2^70.0^2.5&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,smacd_histogram_increase^110^154^154&adx_crossover_threshold^70.0^25.0&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,trix_higher0^220&kdj_k_crossover_d_2^240^168^216^25&bb_price_crossunder_high^34^2.5
0.0,0.0,0.0,0.0,smacd_higher_signal^110^154^110&adx_crossunder_threshold^25.0^45.0&bb_price_crossunder_high^34^2
0.0,0.0,0.0,0.0,supertrend_long_period^190.0^3.0999999999999996&adx_crossover_threshold^55.0^30.0&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^12^EMA&trix_crossover0^220&roc_crossunder0^89
0.0,0.0,0.0,0.0,adx_plus_higher_minus^200&kdj_k_crossover_d_2^240^168^216^25&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,trix_increase^16&kc_price_crossover_low_2^16.0^6.0^1.5&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,adx_plus_higher_minus^200&adx_crossover_threshold^55.0^30.0&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,smacd_histogram_increase^110^154^154&adx_crossover_threshold^70.0^25.0&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^6^SMA&kdj_k_crossover_d_2^200^120^100^20&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,kdj_k_higher_d^250^100^225&stoch_k_crossover_d_2^250^100^175^15&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,skew_positive^210^EMA&kc_price_crossover_low_2^16.0^6.0^1.5&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,kdj_k_overbought^70^56^50&adx_crossunder_threshold^25.0^45.0&roc_crossunder0^59
0.0,0.0,0.0,0.0,convexity_lower1^12^EMA&bb_price_crossover_low^35.0^3.4999999999999996&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,kdj_k_neutral^17^10^75^25&kc_price_crossover_low_2^16.0^6.0^1.5&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rsi_fast_higher_slow^90^126&adx_crossover_threshold^70.0^25.0&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^12^EMA&kdj_k_crossover_d^250^175^175&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^12^EMA&bb_price_crossover_low_2^140.0^1.7&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,kdj_k_neutral^17^10^75^25&kc_price_crossover_low_2^16.0^6.0^1.5&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,roc_higher0^80&kc_price_crossover_low_2^16.0^6.0^1.5&trailing_stop^34^3.5
