开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-18 03:15:00,2026-06-18,15.031,53.175,10.616,1.861,2.176,5.009,28.568,1.495,108.794,1.0,100.0,100.0,48.77,0.1,smi_k_higher_d^150^75^135&smacd_start_increase^220^352&bb_price_crossunder_high^34^2.5
2026-02-18 03:15:00,2026-06-18,15.031,53.175,10.616,1.861,2.176,5.009,28.568,1.495,108.794,1.0,100.0,100.0,48.77,0.1,smi_k_higher_d^150^75^135&smacd_start_increase^220^352&emacd_histogram_start_decrease^233^466^233
2026-02-18 03:15:00,2026-06-18,15.031,53.175,10.616,1.861,2.176,5.009,28.568,1.495,108.794,1.0,100.0,100.0,48.77,0.1,smi_k_higher_d^150^75^135&smacd_start_increase^220^352&bb_price_crossunder_high^34^2
2026-02-18 03:15:00,2026-06-18,15.038,53.205,4.074,3.719,2.69,13.058,14.305,0.749,1.042,36.0,52.778,2.047,49.946,3.6,skew_negative^25^EMA&kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,price_higher_ema^120&emacd_crossover_signal_2^210^294^189&aroon_diff_crossunder0^89
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,smi_d_neutral^100^60^30^20.0^-20.0^SMA&emacd_crossover_signal_2^210^294^189&bb_price_crossunder_high^34^2.5
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,rsi_neutral^14^65^35&emacd_crossover_signal_2^210^294^189&aroon_diff_crossunder0^89
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,smi_neutral^11^7^30.0^-30.0^EMA&emacd_crossover_signal_2^210^294^189&aroon_diff_crossunder0^59
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,stoch_k_overbought^100^70^50&emacd_crossover_signal_2^210^294^189&bb_price_crossunder_high^34^2.5
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,tsi_overbought^120^108^0.0^EMA&emacd_crossover_signal_2^210^294^189&aroon_diff_crossunder0^59
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,smi_overbought^60^48^0.0^SMA&emacd_crossover_signal_2^210^294^189&bb_price_crossunder_high^34^2.5
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,supertrend_long_period^110.0^2.6999999999999997&emacd_crossover_signal_2^210^294^189&bb_price_crossunder_high^34^2.5
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,tsi_neutral^16^10^30.0^-30.0^SMA&emacd_crossover_signal_2^210^294^189&aroon_diff_crossunder0^59
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,rsi_neutral^90^65^35&emacd_crossover_signal_2^210^294^189&aroon_diff_crossunder0^59
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,rvi_neutral^17^20.0^-20.0^SMA&emacd_crossover_signal_2^210^294^189&roc_crossunder0^59
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,smi_d_overbought^29^26^9^0.0^EMA&emacd_crossover_signal_2^210^294^189&aroon_diff_crossunder0^59
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,ma_atr_long_period^190.0^190.0^1.9999999999999998&emacd_crossover_signal_2^210^294^189&aroon_diff_crossunder0^89
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,smacd_higher_signal^80^208^80&emacd_crossover_signal_2^210^294^189&emacd_histogram_start_decrease^233^466^233
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,smi_d_overbought^29^26^9^0.0^EMA&emacd_crossover_signal_2^210^294^189&aroon_diff_crossunder0^89
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,smacd_histogram_increase^110^154^154&emacd_crossover_signal_2^210^294^189&aroon_diff_crossunder0^109
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,ema_fast_higher_slow^80^208&emacd_crossover_signal_2^210^294^189&roc_crossunder0^89
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,rvi_signal_neutral^50^30^15.0^-15.0^EMA&emacd_crossover_signal_2^210^294^189&roc_crossunder0^89
2026-02-18 03:15:00,2026-06-18,15.05,53.25,10.616,1.86,2.18,5.016,28.635,1.499,109.76,1.0,100.0,100.0,48.836,0.1,kc_neutral^8.0^8.0^1.7&emacd_crossover_signal_2^210^294^189&bb_price_crossunder_high^34^2
