开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-18 03:15:00,2026-06-18,17.646,64.027,2.479,5.401,3.476,25.826,11.855,0.621,1.31,16.0,68.75,2.273,53.122,1.6,kdj_k_higher_d^250^100^225&rsi_fast_crossover_slow^230^598&trailing_stop^34^3.0
2026-02-18 03:15:00,2026-06-18,17.648,64.037,5.322,3.666,3.276,12.033,17.467,0.914,0.819,53.0,50.943,2.015,50.093,5.3,aroon_diff_higher0^80&rvi_crossover_signal^110^77&trailing_stop^34^3.0
2026-02-18 03:15:00,2026-06-18,17.658,64.077,10.615,2.226,2.629,6.037,28.788,1.507,110.847,1.0,100.0,100.0,48.883,0.1,stoch_d_neutral^160^128^112^80^20&second_wave_trend_2^16&bb_price_crossunder_high^34^2
2026-02-18 03:15:00,2026-06-18,17.677,64.16,10.615,2.215,2.646,6.045,28.962,1.516,113.303,1.0,100.0,100.0,48.89,0.1,smacd_higher_signal^80^208^80&kc_price_crossover_high^90.0^108.0^3.6999999999999993&emacd_histogram_start_decrease^233^466^233
2026-02-18 03:15:00,2026-06-18,17.697,64.243,10.615,2.221,2.651,6.052,28.93,1.514,113.122,1.0,100.0,100.0,48.861,0.1,rsi_neutral^14^65^35&bb_price_crossover_high_2^230.0^2.0999999999999996&bb_price_crossunder_high^34^2
2026-02-18 03:15:00,2026-06-18,17.716,64.326,10.615,2.236,2.636,6.06,28.771,1.506,110.545,1.0,100.0,100.0,48.908,0.1,smacd_histogram_increase^140^308^84&adx_plus_crossover_minus^20&bb_price_crossunder_high^34^2.5
2026-02-18 03:15:00,2026-06-18,17.775,64.575,10.615,2.241,2.654,6.084,28.811,1.508,111.572,1.0,100.0,100.0,48.909,0.1,smacd_histogram_increase^110^154^154&emacd_histogram_start_increase_2^140^252^84&bb_price_crossunder_high^34^2.5
2026-02-18 03:15:00,2026-06-18,17.79,64.64,3.257,5.65,3.797,19.848,11.44,0.599,1.407,17.0,58.824,4.372,52.104,1.7,atr_fast_lower_slow^220^308&kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.5
2026-02-18 03:15:00,2026-06-18,17.796,64.666,3.917,4.049,3.342,16.509,15.97,0.836,1.3,35.0,48.571,2.978,49.823,3.5,skew_negative^25^EMA&kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.5
2026-02-18 03:15:00,2026-06-18,17.814,64.741,10.615,2.247,2.662,6.099,28.814,1.508,111.612,1.0,100.0,100.0,48.909,0.1,skew_positive^220^EMA&rvi_crossover0^150^SMA&bb_price_crossunder_high^34^2
2026-02-18 03:15:00,2026-06-18,17.828,64.8,3.796,5.516,3.427,17.072,11.748,0.615,1.128,23.0,60.87,2.164,51.202,2.3,mass_lower1^230^207&kc_price_crossover_low^14.0^17.0^2.5&trailing_stop^34^3.0
2026-02-18 03:15:00,2026-06-18,17.83,64.81,3.913,4.171,3.444,16.564,15.537,0.813,1.361,32.0,50.0,2.927,50.069,3.2,rvi_signal_neutral^50^30^15.0^-15.0^EMA&kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.5
2026-02-18 03:15:00,2026-06-18,17.833,64.824,10.615,2.253,2.657,6.107,28.776,1.506,110.585,1.0,100.0,100.0,48.908,0.1,tsi_higher_signal^10^7^9^SMA&price_crossover_sma_2^200&aroon_diff_crossunder0^109
2026-02-18 03:15:00,2026-06-18,17.873,64.99,10.615,2.248,2.674,6.123,28.906,1.513,112.357,1.0,100.0,100.0,48.925,0.1,atr_fast_lower_slow^220^308&tsi_crossover_signal^220^154^154^SMA&bb_price_crossunder_high^34^2
