total+总收益率%,total+交易胜率%,total+盈亏比,total+最大回撤%,strategy_name
0.0,0.0,0.0,0.0,convexity_lower1^14^EMA&smi_k_crossover_d_2^240^192^168^45&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,stoch_k_overbought^17^14^50&bb_price_crossover_low_2^55.0^2.3&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^14^EMA&adx_crossover_threshold^30.0^45.0&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,atr_fast_lower_slow^20^28&kc_price_crossover_low_2^14.0^17.0^1.5&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^14^EMA&bb_price_crossover_low_2^55.0^2.3&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,price_higher_ema^130&bb_price_crossover_low_2^110.0^1.7&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,roc_higher0^130&bb_price_crossover_low_2^110.0^1.7&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,kc_neutral^16.0^19.0^1.5&bb_price_crossover_high_2^160.0^3.8999999999999995&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,adx_lower_threshold^140.0^5.0&kdj_k_crossover_d_2^230^207^207^20&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,rvi_signal_neutral^210^147^5.0^-5.0^SMA&bb_price_crossover_low^100.0^3.8999999999999995&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^14^EMA&kc_price_crossover_high_2^30.0^12.0^3.8999999999999995&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,tsi_neutral^16^5^10.0^-10.0^EMA&bb_price_crossover_low_2^55.0^2.3&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,kdj_k_neutral^210^105^60^40&bb_price_crossover_low^180.0^3.8999999999999995&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,kdj_k_higher_d^140^112^126&kc_price_crossover_low_2^14.0^17.0^1.5&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,tsi_neutral^16^5^10.0^-10.0^EMA&sma_fast_crossover_slow_2^210^588&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^14^EMA&kc_price_crossover_high^30.0^12.0^3.8999999999999995&bb_price_crossunder_high^34^2
0.0,0.0,0.0,0.0,emacd_higher_signal^200^280^120&bb_price_crossover_low^180.0^3.8999999999999995&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rvi_signal_neutral^100^60^5.0^-5.0^SMA&trix_crossover0^180&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^14^EMA&trix_crossover_signal^130^182&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,stoch_d_neutral^11^4^8^55^45&stoch_k_crossover50^240^72&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,smi_neutral^29^20^5.0^-5.0^SMA&bb_price_crossover_low_2^55.0^2.3&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,adx_lower_threshold^8.0^20.0&sma_fast_crossover_slow_2^210^588&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,tsi_overbought^25^12^0.0^SMA&kc_price_crossover_low_2^25.0^30.0^1.5&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,atr_fast_lower_slow^20^28&bb_price_crossover_low^100.0^3.8999999999999995&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^14^EMA&mass_crossunder1^90^81&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,skew_negative^25^EMA&kc_price_crossover_high_2^16.0^6.0^3.6999999999999993&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,adx_lower_threshold^140.0^5.0&emacd_crossover_signal_3^160^352^176&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^14^EMA&smacd_histogram_start_increase^180^288^144&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,rvi_signal_overbought^90^36^0.0^SMA&bb_price_crossover_low^180.0^3.8999999999999995&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^14^EMA&bb_price_crossover_low^100.0^3.8999999999999995&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,roc_higher0^35&kc_price_crossover_low^18.0^22.0^3.6999999999999993&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,rvi_neutral^23^5.0^-5.0^EMA&bb_price_crossover_low^180.0^3.8999999999999995&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,rsi_overbought^60^50&bb_price_crossover_low_2^110.0^1.7&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,price_higher_sma^40&kc_price_crossover_low^18.0^22.0^3.6999999999999993&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^14^EMA&ema_fast_crossover_slow^110^286&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,stoch_d_neutral^11^4^8^55^45&kc_price_crossover_low_2^14.0^17.0^1.5&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^14^EMA&mass_crossover1^140^42&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,rvi_neutral^23^5.0^-5.0^EMA&rvi_signal_crossover0^250^75^EMA&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,trix_increase^110&kc_price_crossover_low_2^14.0^17.0^1.5&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,skew_positive^150^EMA&bb_price_crossover_low_2^55.0^2.3&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,adx_plus_higher_minus^30&bb_price_crossover_low^180.0^3.8999999999999995&trailing_stop^34^3.5
