开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-18 02:00:00,2026-06-18,15.028,53.136,2.974,4.763,3.484,17.867,11.157,0.584,1.203,28.0,57.143,2.394,46.145,2.8,trix_higher_signal^70.0^70.0&smacd_histogram_start_increase^180^288^144&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,15.092,53.393,2.263,5.552,3.516,23.598,9.616,0.503,1.994,13.0,69.231,6.007,48.019,1.3,adx_plus_higher_minus^30&mass_crossover1^130^65&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,15.232,53.964,2.26,5.603,3.517,23.881,9.631,0.504,1.884,14.0,71.429,5.453,48.015,1.4,adx_plus_higher_minus^12&mass_crossover1^130^65&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,15.263,54.087,1.726,5.438,3.594,31.334,9.947,0.521,1.714,17.0,58.824,6.759,47.201,1.7,adx_plus_higher_minus^12&mass_crossover1^140^42&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,15.263,54.087,1.726,5.438,3.594,31.334,9.947,0.521,1.714,17.0,58.824,6.759,47.201,1.7,adx_plus_higher_minus^30&mass_crossover1^140^42&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,15.314,54.297,2.702,6.356,3.267,20.098,8.543,0.447,1.601,10.0,70.0,3.625,49.56,1.0,stoch_d_neutral^11^4^8^55^45&adx_plus_crossover_minus^190&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,15.348,54.436,1.381,6.411,3.087,39.432,8.491,0.444,1.474,9.0,66.667,12.647,51.593,0.9,skew_negative^25^EMA&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,15.397,54.633,1.736,6.564,3.604,31.462,8.323,0.436,1.633,9.0,77.778,10.153,50.0,0.9,tsi_neutral^190^171^10.0^-10.0^SMA&kdj_k_crossover_d^200^180^100&trailing_stop^34^3.0
2026-02-18 02:00:00,2026-06-18,15.423,54.74,1.739,6.234,3.363,31.478,8.781,0.46,1.862,9.0,77.778,10.17,49.76,0.9,tsi_neutral^190^171^10.0^-10.0^SMA&kdj_k_crossover_d^200^180^100&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,15.544,55.236,2.887,5.789,3.96,19.134,9.542,0.499,1.134,22.0,59.091,3.038,46.086,2.2,emacd_histogram_increase^210^462^294&smacd_histogram_start_increase^180^288^144&trailing_stop^34^3.0
2026-02-18 02:00:00,2026-06-18,15.693,55.845,3.3,5.204,4.025,16.922,10.731,0.562,1.222,27.0,48.148,3.246,46.004,2.7,mass_lower1^230^207&emacd_histogram_start_increase^230^644^230&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,15.729,55.991,2.76,5.546,3.866,20.289,10.096,0.528,1.133,25.0,64.0,2.636,46.088,2.5,tsi_higher_signal^60^54^36^SMA&smacd_histogram_start_increase^180^288^144&trailing_stop^34^3.0
2026-02-18 02:00:00,2026-06-18,15.748,56.072,1.47,7.111,3.648,38.137,7.885,0.413,1.389,10.0,60.0,20.657,50.145,1.0,rvi_signal_neutral^100^60^5.0^-5.0^SMA&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.0
2026-02-18 02:00:00,2026-06-18,15.775,56.181,1.472,6.715,3.397,38.155,8.367,0.438,1.595,10.0,60.0,20.691,49.874,1.0,rvi_signal_neutral^100^60^5.0^-5.0^SMA&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,15.935,56.841,2.586,5.525,3.957,21.984,10.288,0.539,1.072,28.0,60.714,2.454,45.942,2.8,trix_higher_signal^55.0^22.0&smacd_histogram_start_increase^180^288^144&trailing_stop^34^3.0
2026-02-18 02:00:00,2026-06-18,15.946,56.885,1.42,6.417,3.413,40.054,8.865,0.464,1.364,12.0,58.333,8.16,50.062,1.2,trix_higher0^16&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,15.965,56.961,1.449,6.247,3.518,39.297,9.118,0.477,1.329,14.0,57.143,8.242,49.459,1.4,stoch_k_higher_d^100^80^30&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,15.965,56.961,1.449,6.247,3.518,39.297,9.118,0.477,1.329,14.0,57.143,8.242,49.459,1.4,kdj_k_higher_d^80^56^56&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,15.965,56.961,1.449,6.247,3.518,39.297,9.118,0.477,1.329,14.0,57.143,8.242,49.459,1.4,trix_higher_signal^55.0^22.0&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,16.009,57.145,1.928,5.4,3.321,29.641,10.582,0.554,1.709,13.0,69.231,4.032,48.413,1.3,skew_positive^150^EMA&smacd_start_increase^230^552&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,16.046,57.297,1.419,6.599,3.541,40.379,8.682,0.454,1.474,11.0,63.636,6.984,49.938,1.1,tsi_overbought^25^12^0.0^SMA&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,16.11,57.56,1.418,6.553,3.419,40.585,8.783,0.46,1.452,11.0,63.636,7.309,50.189,1.1,smi_overbought^17^12^0.0^SMA&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,16.111,57.567,1.383,6.61,3.476,41.634,8.709,0.456,1.587,10.0,60.0,14.172,50.635,1.0,trix_increase^120&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,16.111,57.567,1.383,6.61,3.476,41.634,8.709,0.456,1.587,10.0,60.0,14.172,50.635,1.0,tsi_higher_signal^190^114^57^EMA&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,16.111,57.567,1.383,6.61,3.476,41.634,8.709,0.456,1.587,10.0,60.0,14.172,50.635,1.0,trix_increase^110&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,16.116,57.586,1.311,7.071,3.6,43.939,8.144,0.426,1.358,9.0,66.667,20.62,51.73,0.9,skew_negative^25^EMA&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.0
2026-02-18 02:00:00,2026-06-18,16.128,57.636,1.447,6.376,3.53,39.823,9.039,0.473,1.4,13.0,61.538,7.652,49.558,1.3,emacd_histogram_increase^210^462^294&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,16.198,57.926,1.383,6.587,3.563,41.893,8.793,0.46,1.543,11.0,63.636,12.209,50.297,1.1,trix_higher_signal^70.0^70.0&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,16.303,58.359,1.416,6.741,3.384,41.217,8.658,0.453,1.482,10.0,70.0,6.385,51.087,1.0,stoch_d_overbought^17^10^12^50&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.5
2026-02-18 02:00:00,2026-06-18,16.31,58.388,1.385,6.949,3.721,42.168,8.402,0.44,1.19,12.0,58.333,10.94,50.494,1.2,trix_higher0^16&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.0
2026-02-18 02:00:00,2026-06-18,16.316,58.413,1.313,7.093,3.79,44.499,8.235,0.431,1.379,10.0,60.0,19.95,51.095,1.0,trix_increase^110&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.0
2026-02-18 02:00:00,2026-06-18,16.316,58.413,1.313,7.093,3.79,44.499,8.235,0.431,1.379,10.0,60.0,19.95,51.095,1.0,trix_increase^120&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.0
