datetime,open,high,low,close,volume,mass_lower1^230^207&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.0,stoch_d_overbought^17^10^12^50&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.0,smi_d_neutral^170^119^85^30.0^-30.0^SMA&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.5,emacd_higher_signal^90^198^63&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.0,tsi_neutral^190^171^10.0^-10.0^SMA&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.5,tsi_neutral^190^171^10.0^-10.0^SMA&stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.0
2026-02-18 02:00:00,306.9,307.2,306.9,307.2,62,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 02:15:00,307.1,307.2,307.1,307.2,29,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 02:30:00,307.2,307.4,307.2,307.3,52,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 02:45:00,307.3,307.4,307.3,307.4,43,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 03:00:00,307.5,307.7,307.4,307.4,19,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 03:15:00,307.4,307.5,307.4,307.5,8,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 03:30:00,307.4,307.4,307.4,307.4,2,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 03:45:00,307.4,307.4,307.4,307.4,1,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 04:00:00,307.5,307.5,307.5,307.5,2,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 04:15:00,307.4,307.4,307.4,307.4,1,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 04:45:00,307.4,307.6,307.4,307.6,16,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 05:00:00,307.5,307.6,307.5,307.5,6,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 05:15:00,307.6,307.6,307.5,307.5,13,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 05:30:00,307.6,307.6,307.4,307.4,4,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 05:45:00,307.5,307.5,307.5,307.5,7,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 06:00:00,307.6,307.8,307.6,307.8,8,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 06:15:00,307.8,308.0,307.8,308.0,129,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 06:30:00,308.0,308.5,308.0,308.4,265,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 06:45:00,308.3,308.3,308.3,308.3,2,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 07:00:00,308.2,308.3,308.1,308.1,95,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 07:15:00,308.1,308.2,307.9,308.2,102,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 07:30:00,308.2,308.3,307.9,307.9,97,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 07:45:00,307.9,307.9,307.5,307.6,44,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 08:00:00,307.7,307.7,307.3,307.3,106,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 08:15:00,307.2,307.3,307.0,307.0,101,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 08:30:00,306.9,307.1,306.5,307.1,109,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 08:45:00,307.1,307.2,306.7,306.8,31,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 09:00:00,306.8,307.1,306.6,306.7,63,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 09:15:00,306.7,307.3,306.7,307.3,65,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 09:30:00,307.2,307.7,307.2,307.5,167,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 09:45:00,307.4,307.8,307.3,307.5,124,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 10:00:00,307.4,307.4,306.6,306.8,264,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 10:15:00,306.8,307.1,306.7,307.1,62,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 10:30:00,307.1,307.3,306.9,307.0,64,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 10:45:00,307.1,307.4,307.0,307.3,79,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 11:00:00,307.2,307.3,306.9,307.1,114,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 11:15:00,307.0,307.2,306.7,307.1,129,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 11:30:00,307.2,307.3,306.9,307.1,51,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 11:45:00,307.2,307.3,307.0,307.3,27,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 12:00:00,307.2,307.2,306.4,306.7,96,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 12:15:00,306.6,306.6,306.2,306.4,66,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 12:30:00,306.5,306.5,306.1,306.2,74,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 12:45:00,306.2,306.6,306.2,306.4,185,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 13:00:00,306.3,306.6,305.9,306.0,218,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 13:15:00,305.9,306.0,305.2,305.3,453,1.0,1.0,1.0,1.0,1.0,1.0
