total+总收益率%,total+交易胜率%,total+盈亏比,total+最大回撤%,strategy_name
0.0,0.0,0.0,0.0,convexity_lower1^10^EMA&stoch_k_crossover_d^220^132^110&bb_price_crossunder_high^34^2.5
0.0,0.0,0.0,0.0,rsi_fast_higher_slow^90^252&bb_price_crossover_low^230.0^3.6999999999999993&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,aroon_diff_higher0^70&kc_price_crossover_low^10.0^10.0^3.4999999999999996&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,stoch_k_overbought^60^36^50&kc_price_crossover_low_2^25.0^10.0^1.5&roc_crossunder0^59
0.0,0.0,0.0,0.0,supertrend_long_period^160.0^1.9&kc_price_crossover_low_2^25.0^10.0^1.5&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,emacd_higher_signal^60^84^48&kdj_d_crossover50^240^144^216&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,tsi_overbought^25^20^0.0^SMA&bb_price_crossover_low^220.0^3.6999999999999993&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,emacd_histogram_increase^220^352^264&bb_price_crossover_low^220.0^3.6999999999999993&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,smacd_increase^90^144&kc_price_crossover_low^10.0^10.0^3.4999999999999996&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,aroon_diff_higher0^80&kdj_k_crossover_d_2^210^168^147^15&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,smi_k_higher_d^50^40^35&bb_price_crossover_low_2^130.0^2.0999999999999996&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,trix_increase^70&bb_price_crossover_low^220.0^3.6999999999999993&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^10^EMA&kc_price_crossover_low_2^25.0^10.0^1.5&roc_crossunder0^59
0.0,0.0,0.0,0.0,convexity_lower1^12^SMA&rvi_crossover_signal^230^161&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,adx_higher_threshold^12.0^40.0&stoch_k_crossover_d_2^230^207^115^15&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,emacd_higher_signal^60^84^48&kc_price_crossover_low_2^80.0^32.0^1.5&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,tsi_higher_signal^90^27^72^SMA&bb_price_crossover_low_2^130.0^2.0999999999999996&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,kdj_d_overbought^40^16^12^50&kc_price_crossover_low_2^80.0^32.0^1.5&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,smacd_increase^90^144&bb_price_crossover_low^220.0^3.6999999999999993&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,aroon_diff_higher0^80&bb_price_crossover_low_2^180.0^1.9&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^12^SMA&bb_price_crossover_low^230.0^3.6999999999999993&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,aroon_diff_higher0^80&kdj_k_crossover_d_2^220^154^154^15&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,aroon_diff_higher0^70&bb_price_crossover_low_2^180.0^1.9&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,emacd_increase^190^456&bb_price_crossover_low^230.0^3.6999999999999993&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,stoch_k_higher_d^240^72^120&adx_crossover_threshold^50.0^5.0&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^12^SMA&bb_price_crossover_low_2^130.0^2.0999999999999996&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^10^EMA&bb_price_crossover_low^220.0^3.6999999999999993&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^12^SMA&smi_k_crossover_d_2^240^120^72^45&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,rsi_neutral^14^65^35&bb_price_crossover_low^220.0^3.6999999999999993&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,stoch_k_neutral^110^77^75^25&kc_price_crossover_low_2^80.0^32.0^1.5&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^10^EMA&kdj_k_crossover50^90^72&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,convexity_lower1^12^SMA&kdj_k_crossover_d^190^171^171&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,roc_higher0^100&bb_price_crossover_low_2^130.0^2.0999999999999996&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,adx_higher_threshold^20.0^40.0&aroon_diff_crossover0^100&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,adx_higher_threshold^20.0^40.0&price_crossover_ema^120&trailing_stop^34^2.5
