total+总收益率%,total+交易胜率%,total+盈亏比,total+最大回撤%,strategy_name
6.716,76.923,8.146,1.274,sma_fast_higher_slow^35^63&ema_fast_crossover_slow^30^72&trailing_stop^34^2.5
6.949,69.231,5.365,1.194,trix_higher_signal^50.0^50.0&ema_fast_crossover_slow^30^72&trailing_stop^34^2.5
7.343,69.231,2.776,1.128,smi_d_neutral^150^75^135^10.0^-10.0^SMA&trix_start_increase^70&trailing_stop^34^2.5
7.726,87.5,11.179,1.292,skew_negative^8^EMA&stoch_d_crossover50^150^120^135&trailing_stop^34^3.5
7.729,46.154,8.932,1.457,stoch_k_higher_d^80^72^72&ema_fast_crossover_slow^35^56&trailing_stop^34^3.0
7.75,76.923,3.835,1.148,trix_increase^70&ema_fast_crossover_slow^35^56&trailing_stop^34^2.5
7.788,71.429,5.02,1.274,smacd_increase^80^128&ema_fast_crossover_slow^35^56&trailing_stop^34^2.5
7.789,58.333,7.873,2.034,stoch_k_overbought^60^36^50&ema_fast_crossover_slow^35^56&trailing_stop^34^3.0
7.823,61.538,5.667,2.029,sma_fast_higher_slow^35^63&ema_fast_crossover_slow^30^72&trailing_stop^34^3.0
8.231,61.538,5.343,1.451,trix_higher_signal^50.0^50.0&ema_fast_crossover_slow^30^72&trailing_stop^34^3.0
8.419,61.538,4.798,1.522,trix_higher_signal^50.0^50.0&tsi_crossover0^50^45^EMA&trailing_stop^34^3.0
8.862,66.667,6.004,2.036,stoch_k_overbought^60^36^50&ema_fast_crossover_slow^35^56&trailing_stop^34^3.5
8.879,75.0,4.734,1.136,kdj_k_higher_d^90^81^63&ema_fast_crossover_slow^35^56&trailing_stop^34^2.5
8.966,69.231,5.4,1.75,kdj_d_overbought^60^30^18^50&tsi_crossover0^80^24^EMA&trailing_stop^34^3.5
9.128,68.75,3.64,1.477,kdj_k_higher_d^90^81^63&tsi_crossover0^80^24^EMA&trailing_stop^34^3.0
9.151,68.421,4.066,1.273,kdj_k_higher_d^70^63^49&ema_fast_crossover_slow^35^56&trailing_stop^34^2.5
9.182,76.923,2.02,1.559,smi_d_neutral^150^75^135^10.0^-10.0^SMA&trix_start_increase^70&trailing_stop^34^3.5
9.51,64.286,5.903,2.031,smacd_increase^80^128&ema_fast_crossover_slow^35^56&trailing_stop^34^3.0
9.602,60.0,5.365,2.029,smi_k_higher_d^50^40^35&ema_fast_crossover_slow^35^56&trailing_stop^34^3.0
9.729,56.25,7.295,1.326,kdj_k_higher_d^90^81^63&ema_fast_crossover_slow^35^56&trailing_stop^34^3.0
9.85,64.706,3.958,1.753,smi_k_higher_d^50^40^35&tsi_crossover0^80^24^EMA&trailing_stop^34^3.0
9.901,73.333,3.08,1.76,stoch_k_overbought^60^36^50&tsi_crossover0^80^24^EMA&trailing_stop^34^3.5
9.98,57.895,4.264,2.025,kdj_k_higher_d^70^63^49&ema_fast_crossover_slow^35^56&trailing_stop^34^3.0
10.398,50.0,3.661,1.703,aroon_diff_higher0^70&price_crossover_ema^120&trailing_stop^34^3.5
10.405,51.852,3.401,1.703,aroon_diff_higher0^70&rsi_crossover50^60&trailing_stop^34^3.5
10.693,73.333,3.297,1.767,aroon_diff_higher0^70&tsi_crossover0^80^24^EMA&trailing_stop^34^3.0
10.907,51.724,3.474,1.804,aroon_diff_higher0^80&price_crossover_ema^120&trailing_stop^34^3.5
10.913,53.333,3.258,1.804,aroon_diff_higher0^80&rsi_crossover50^60&trailing_stop^34^3.5
11.377,73.333,3.165,1.77,aroon_diff_higher0^70&tsi_crossover0^80^24^EMA&trailing_stop^34^3.5
