datetime,open,high,low,close,volume,stoch_k_higher_d^80^72^72&ema_fast_crossover_slow^35^56&trailing_stop^34^3.0,aroon_diff_higher0^80&rsi_crossover50^60&trailing_stop^34^3.5,smi_d_neutral^150^75^135^10.0^-10.0^SMA&trix_start_increase^70&trailing_stop^34^2.5,aroon_diff_higher0^70&tsi_crossover0^80^24^EMA&trailing_stop^34^3.5,sma_fast_higher_slow^35^63&ema_fast_crossover_slow^30^72&trailing_stop^34^2.5,skew_negative^8^EMA&stoch_d_crossover50^150^120^135&trailing_stop^34^3.5,kdj_k_higher_d^90^81^63&ema_fast_crossover_slow^35^56&trailing_stop^34^2.5
2026-02-18 03:15:00,11.4,11.405,11.4,11.405,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 03:30:00,11.405,11.405,11.4025,11.405,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 03:45:00,11.4025,11.405,11.4025,11.405,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 04:00:00,11.405,11.405,11.405,11.405,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 04:15:00,11.4075,11.4075,11.4075,11.4075,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 04:30:00,11.4075,11.41,11.4075,11.41,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 04:45:00,11.405,11.4075,11.405,11.4075,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 05:00:00,11.405,11.405,11.405,11.405,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 05:15:00,11.4025,11.4025,11.3975,11.4,68,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 05:30:00,11.4025,11.4025,11.4025,11.4025,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 05:45:00,11.4025,11.4025,11.3975,11.4025,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 06:00:00,11.405,11.405,11.4,11.4025,72,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 06:15:00,11.4025,11.41,11.4025,11.41,86,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 06:30:00,11.4125,11.415,11.4125,11.4125,79,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 06:45:00,11.4125,11.415,11.41,11.4125,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 07:00:00,11.41,11.4125,11.41,11.4125,38,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 07:15:00,11.4125,11.4125,11.4075,11.41,44,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 07:30:00,11.41,11.415,11.41,11.41,111,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 07:45:00,11.4075,11.4125,11.4,11.4025,166,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 08:00:00,11.405,11.4175,11.405,11.415,88,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 08:15:00,11.4175,11.425,11.4075,11.4075,354,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 08:30:00,11.4075,11.41,11.405,11.4075,118,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 08:45:00,11.405,11.4075,11.4025,11.4075,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 09:00:00,11.4075,11.4175,11.405,11.4175,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 09:15:00,11.415,11.425,11.415,11.42,98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 09:30:00,11.4225,11.43,11.4125,11.415,279,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 09:45:00,11.415,11.4325,11.415,11.4325,358,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 10:00:00,11.4325,11.4375,11.43,11.435,512,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 10:15:00,11.4325,11.435,11.425,11.4275,210,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 10:30:00,11.4275,11.4275,11.4225,11.4225,151,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 10:45:00,11.4225,11.43,11.42,11.4275,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 11:00:00,11.425,11.435,11.4225,11.435,241,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 11:15:00,11.4325,11.435,11.4275,11.4275,91,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 11:30:00,11.4275,11.4325,11.425,11.4275,101,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 11:45:00,11.4275,11.44,11.4275,11.435,221,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 12:00:00,11.4325,11.4375,11.42,11.4225,249,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-18 12:15:00,11.4275,11.4275,11.4125,11.4125,129,1.0,1.0,1.0,1.0,1.0,1.0,1.0
