total+总收益率%,total+交易胜率%,total+盈亏比,total+最大回撤%,strategy_name
0.0,0.0,0.0,0.0,convexity_lower1^20^EMA&smi_k_crossover0^140^98^EMA&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,smi_k_higher_d^14^11^13&kc_price_crossover_low_2^25.0^10.0^2.0999999999999996&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,tsi_higher_signal^70^49^42^SMA&kc_price_crossover_low_2^14.0^17.0^1.5&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,rvi_higher_signal^40^16&smacd_crossover_signal_3^220^616^176&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,convexity_lower1^8^EMA&smacd_crossover_signal^210^504^210&roc_crossunder0^59
0.0,0.0,0.0,0.0,supertrend_long_period^30.0^1.9&bb_price_crossover_low^210.0^3.8999999999999995&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,rvi_signal_overbought^11^3^0.0^SMA&kc_price_crossover_low_2^25.0^10.0^2.0999999999999996&emacd_histogram_start_decrease^233^466^233
0.0,0.0,0.0,0.0,bb_neutral^30.0^1.9&kc_price_crossover_low^14.0^14.0^3.8999999999999995&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,emacd_higher_signal^8^11^5&bb_price_crossover_low_2^35.0^2.3&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,tsi_overbought^16^5^0.0^SMA&bb_price_crossover_low_2^35.0^2.3&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^20^EMA&smacd_crossover_signal_3^220^616^176&aroon_diff_crossunder0^109
0.0,0.0,0.0,0.0,price_higher_sma^140&bb_price_crossover_low_2^200.0^2.0999999999999996&aroon_diff_crossunder0^89
0.0,0.0,0.0,0.0,rvi_signal_neutral^14^7^15.0^-15.0^SMA&emacd_crossover_signal_3^220^440^308&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,stoch_k_neutral^14^13^70^30&emacd_crossover_signal_3^220^440^308&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,tsi_neutral^14^13^20.0^-20.0^SMA&bb_price_crossover_low_2^200.0^2.0999999999999996&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,smacd_increase^140^224&kc_price_crossover_low_2^25.0^10.0^2.0999999999999996&aroon_diff_crossunder0^109
0.0,0.0,0.0,0.0,convexity_lower1^20^EMA&smi_k_crossover_d^230^138^161&trailing_stop^34^2.5
0.0,0.0,0.0,0.0,convexity_lower1^20^EMA&stoch_k_crossover50^170^136&bb_price_crossunder_high^34^2.5
0.0,0.0,0.0,0.0,smi_d_overbought^26^23^18^0.0^EMA&bb_price_crossover_low_2^200.0^2.0999999999999996&trailing_stop^34^3.5
0.0,0.0,0.0,0.0,stoch_k_overbought^50^35^50&kc_price_crossover_low_2^14.0^17.0^1.5&trailing_stop^34^3.0
0.0,0.0,0.0,0.0,aroon_diff_higher0^90&bb_price_crossover_low^230.0^3.4999999999999996&trailing_stop^34^3.0
