开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-18 03:00:00,2026-06-18,15.002,53.05,3.01,4.784,2.479,17.626,11.088,0.58,1.226,10.0,50.0,6.067,49.425,1.0,rsi_overbought^60^50&tsi_crossover_signal^230^115^161^SMA&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.002,53.05,3.01,4.784,2.479,17.626,11.088,0.58,1.226,10.0,50.0,6.067,49.425,1.0,price_higher_sma^140&tsi_crossover_signal^230^115^161^SMA&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.007,53.072,2.324,5.223,2.438,22.837,10.162,0.532,1.218,8.0,62.5,14.5,50.413,0.8,smi_neutral^20^6^25.0^-25.0^SMA&smi_d_crossover0^80^72^56^EMA&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,15.012,53.092,3.388,4.927,2.229,15.669,10.777,0.564,1.156,9.0,77.778,2.242,50.87,0.9,adx_plus_higher_minus^90&smi_k_crossover_d^170^153^153&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.012,53.092,3.388,4.927,2.229,15.669,10.777,0.564,1.156,9.0,77.778,2.242,50.87,0.9,price_higher_sma^140&smi_k_crossover_d_2^170^153^153^45&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.012,53.092,3.388,4.927,2.229,15.669,10.777,0.564,1.156,9.0,77.778,2.242,50.87,0.9,price_higher_sma^140&smi_k_crossover_d^170^153^153&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.012,53.092,3.388,4.927,2.229,15.669,10.777,0.564,1.156,9.0,77.778,2.242,50.87,0.9,adx_plus_higher_minus^90&smi_k_crossover_d_2^170^153^153^45&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.019,53.122,6.638,3.975,2.387,8.003,13.365,0.7,0.622,32.0,59.375,1.64,47.422,3.2,rsi_neutral^8^75^25&smacd_histogram_start_increase_2^140^252^182&trailing_stop^34^2.5
2026-02-18 03:00:00,2026-06-18,15.034,53.181,3.436,4.635,2.074,15.476,11.474,0.601,1.036,11.0,72.727,2.373,51.413,1.1,smi_neutral^200^100^35.0^-35.0^SMA&smi_k_crossover_d^170^153^153&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.034,53.181,3.436,4.635,2.074,15.476,11.474,0.601,1.036,11.0,72.727,2.373,51.413,1.1,smi_neutral^200^100^35.0^-35.0^SMA&smi_k_crossover_d_2^170^153^153^45&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.045,53.227,4.987,3.877,2.59,10.674,13.728,0.719,0.787,29.0,51.724,2.367,46.649,2.9,tsi_overbought^16^5^0.0^SMA&smacd_histogram_start_increase_2^150^210^120&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,15.054,53.263,5.512,3.075,2.16,9.663,17.32,0.907,0.931,33.0,48.485,2.028,47.248,3.3,ma_atr_long_period^50.0^60.0^2.3999999999999995&second_wave_trend_1^18&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.056,53.272,4.573,4.46,2.632,11.65,11.945,0.625,0.632,27.0,51.852,2.862,49.057,2.7,tsi_higher_signal^70^49^42^SMA&smacd_histogram_start_increase_2^150^210^120&trailing_stop^34^2.5
2026-02-18 03:00:00,2026-06-18,15.059,53.282,3.01,4.941,2.512,17.703,10.784,0.564,1.304,9.0,55.556,4.949,49.743,0.9,rvi_overbought^90^0.0^SMA&tsi_crossover_signal^230^115^161^SMA&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.065,53.309,2.711,5.15,2.59,19.661,10.351,0.542,0.697,19.0,57.895,3.414,50.912,1.9,tsi_higher_signal^140^56^56^SMA&price_crossover_sma_2^140&trailing_stop^34^2.5
2026-02-18 03:00:00,2026-06-18,15.071,53.331,5.637,3.588,2.075,9.461,14.863,0.778,1.027,23.0,60.87,1.629,46.888,2.3,stoch_k_higher_d^130^65^91&rsi_crossover50^140&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.075,53.348,3.298,4.23,2.523,16.175,12.612,0.66,0.625,30.0,53.333,2.309,48.605,3.0,ma_atr_long_period^35.0^42.0^2.3999999999999995&smacd_histogram_start_increase_2^150^210^120&trailing_stop^34^2.5
2026-02-18 03:00:00,2026-06-18,15.09,53.408,3.776,4.337,2.684,14.145,12.316,0.645,0.71,27.0,55.556,2.381,47.164,2.7,mass_higher1^30^21&smacd_histogram_start_increase_2^150^210^120&trailing_stop^34^2.5
2026-02-18 03:00:00,2026-06-18,15.091,53.413,1.848,5.694,2.727,28.905,9.381,0.491,1.294,7.0,57.143,20.058,51.333,0.7,rsi_neutral^8^75^25&trix_crossover_signal^180^162&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,15.091,53.413,1.848,5.694,2.727,28.905,9.381,0.491,1.294,7.0,57.143,20.058,51.333,0.7,kdj_k_neutral^11^3^85^15&trix_crossover_signal^180^162&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,15.091,53.413,1.848,5.694,2.727,28.905,9.381,0.491,1.294,7.0,57.143,20.058,51.333,0.7,rvi_neutral^29^25.0^-25.0^EMA&trix_crossover_signal^180^162&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,15.095,53.428,3.782,5.321,2.489,14.128,10.04,0.526,1.0,10.0,50.0,6.878,49.899,1.0,tsi_neutral^14^13^20.0^-20.0^SMA&bb_price_crossover_high_2^220.0^2.3&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,15.102,53.458,5.261,3.693,2.014,10.162,14.474,0.758,1.011,22.0,59.091,1.846,48.416,2.2,kdj_k_higher_d^210^84^63&rsi_crossover50^110&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.105,53.469,4.397,4.336,1.491,12.16,12.331,0.645,1.324,8.0,62.5,3.253,49.24,0.8,rvi_neutral^17^20.0^-20.0^SMA&smacd_crossover_signal^210^504^210&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.108,53.481,1.919,5.524,2.417,27.876,9.682,0.507,1.352,6.0,66.667,27.024,51.117,0.6,mass_lower1^80^72&trix_crossover_signal^180^162&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.108,53.481,1.919,5.524,2.417,27.876,9.682,0.507,1.352,6.0,66.667,27.024,51.117,0.6,adx_plus_higher_minus^6&trix_crossover_signal^180^162&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.108,53.481,1.919,5.524,2.417,27.876,9.682,0.507,1.352,6.0,66.667,27.024,51.117,0.6,ma_atr_long_period^35.0^42.0^2.3999999999999995&trix_crossover_signal^180^162&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.108,53.481,1.919,5.524,2.417,27.876,9.682,0.507,1.352,6.0,66.667,27.024,51.117,0.6,smacd_higher_signal^50^110^65&trix_crossover_signal^180^162&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.108,53.481,1.919,5.524,2.417,27.876,9.682,0.507,1.352,6.0,66.667,27.024,51.117,0.6,ma_atr_long_period^50.0^60.0^2.3999999999999995&trix_crossover_signal^180^162&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.11,53.491,3.471,4.747,2.289,15.411,11.269,0.59,1.16,11.0,72.727,2.383,50.473,1.1,rvi_neutral^29^25.0^-25.0^EMA&smi_k_crossover_d^170^153^153&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.11,53.491,3.471,4.747,2.289,15.411,11.269,0.59,1.16,11.0,72.727,2.383,50.473,1.1,rsi_neutral^8^75^25&smi_k_crossover_d_2^170^153^153^45&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.11,53.491,3.471,4.747,2.289,15.411,11.269,0.59,1.16,11.0,72.727,2.383,50.473,1.1,rsi_neutral^8^75^25&smi_k_crossover_d^170^153^153&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.11,53.491,3.471,4.747,2.289,15.411,11.269,0.59,1.16,11.0,72.727,2.383,50.473,1.1,kc_neutral^8.0^3.0^1.5&smi_k_crossover_d_2^170^153^153^45&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.113,53.502,5.196,4.061,2.696,10.297,13.174,0.69,0.598,37.0,51.351,2.281,46.952,3.7,smi_neutral^200^100^35.0^-35.0^SMA&smacd_histogram_start_increase_2^150^210^120&trailing_stop^34^2.5
2026-02-18 03:00:00,2026-06-18,15.118,53.521,4.955,3.721,2.393,10.802,14.382,0.753,0.898,30.0,50.0,2.417,47.498,3.0,tsi_neutral^14^13^20.0^-20.0^SMA&price_crossover_sma_2^140&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,15.124,53.548,5.019,3.671,2.137,10.668,14.586,0.763,0.879,24.0,54.167,1.852,47.424,2.4,adx_higher_threshold^18.0^25.0&second_wave_trend_2^18&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,15.127,53.559,3.223,4.217,2.667,16.618,12.7,0.665,0.609,32.0,56.25,1.986,48.14,3.2,tsi_higher_signal^140^56^56^SMA&smacd_histogram_start_increase_2^150^210^120&trailing_stop^34^2.5
2026-02-18 03:00:00,2026-06-18,15.128,53.562,2.68,5.273,2.547,19.987,10.157,0.532,1.127,9.0,66.667,7.098,48.81,0.9,kc_neutral^8.0^3.0^1.5&smi_d_crossover0^80^72^56^EMA&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.134,53.587,5.622,3.99,2.401,9.532,13.43,0.703,0.858,26.0,53.846,2.265,46.931,2.6,roc_higher0^14&price_crossover_sma_2^140&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,15.136,53.594,2.626,5.526,2.6,20.412,9.698,0.508,1.346,7.0,57.143,11.718,50.0,0.7,stoch_k_neutral^8^2^65^35&bb_price_crossover_high^230.0^2.0999999999999996&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.15,53.652,2.429,5.077,2.622,22.089,10.569,0.553,1.386,8.0,62.5,9.653,49.183,0.8,ema_fast_higher_slow^35^49&trix_crossover_signal^180^162&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.15,53.652,2.429,5.077,2.622,22.089,10.569,0.553,1.386,8.0,62.5,9.653,49.183,0.8,trix_higher_signal^60.0^24.0&trix_crossover_signal^180^162&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,15.15,53.652,2.429,5.077,2.622,22.089,10.569,0.553,1.386,8.0,62.5,9.653,49.183,0.8,trix_increase^220&trix_crossover_signal^180^162&trailing_stop^34^3.5
