开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-18 03:00:00,2026-06-18,18.433,67.384,3.19,5.141,3.121,21.127,13.108,0.686,0.877,24.0,58.333,2.904,48.088,2.4,smi_d_overbought^40^36^12^0.0^SMA&price_crossover_sma_2^140&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,18.455,67.478,3.226,5.913,3.527,20.914,11.412,0.597,1.417,10.0,70.0,3.451,49.006,1.0,tsi_higher_signal^70^49^42^SMA&stoch_k_crossover_d^230^184^207&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,18.513,67.73,3.629,5.051,3.402,18.663,13.41,0.702,1.091,20.0,65.0,2.091,46.494,2.0,stoch_d_overbought^50^30^45^50&rsi_crossover50^140&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,18.551,67.89,4.551,4.413,3.217,14.916,15.383,0.805,1.018,27.0,55.556,2.265,46.667,2.7,ema_fast_higher_slow^70^112&smacd_histogram_start_increase_2^150^210^120&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,18.563,67.943,3.408,4.76,2.922,19.937,14.273,0.747,1.145,19.0,63.158,2.414,47.641,1.9,stoch_d_neutral^11^8^3^70^30&smacd_histogram_start_increase^150^390^210&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,18.589,68.056,2.842,5.212,3.249,23.947,13.058,0.683,1.428,14.0,64.286,2.822,47.331,1.4,atr_fast_higher_slow^100^180&smacd_histogram_start_increase^150^390^210&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,18.6,68.103,4.341,4.408,3.15,15.688,15.448,0.809,1.189,24.0,50.0,3.07,46.577,2.4,rsi_fast_higher_slow^12^17&price_crossover_sma_2^140&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,18.63,68.233,4.096,5.402,3.295,16.66,12.631,0.661,1.274,15.0,73.333,2.858,48.261,1.5,smacd_increase^140^224&adx_plus_crossover_minus^190&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,18.649,68.315,4.335,4.312,3.158,15.759,15.843,0.829,0.994,28.0,57.143,2.131,46.71,2.8,trix_higher0^50&smacd_histogram_start_increase_2^150^210^120&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,18.67,68.404,3.933,5.729,2.991,17.392,11.939,0.625,1.058,11.0,54.545,5.444,48.789,1.1,smacd_higher_signal^50^110^65&bb_price_crossover_high_2^220.0^2.3&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,18.675,68.428,4.597,4.994,3.348,14.885,13.701,0.717,0.837,27.0,59.259,2.049,46.702,2.7,emacd_increase^14^25&smacd_histogram_start_increase_2^150^210^120&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,18.697,68.524,2.694,5.649,3.329,25.432,12.131,0.635,0.993,18.0,66.667,3.519,48.649,1.8,smacd_increase^140^224&adx_plus_crossover_minus^180&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,18.716,68.605,4.053,4.709,2.998,16.927,14.568,0.763,1.121,21.0,52.381,3.104,47.733,2.1,price_higher_sma^8&smacd_histogram_start_increase^150^390^210&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,18.746,68.735,4.25,4.937,3.177,16.173,13.923,0.729,1.119,19.0,57.895,3.128,48.58,1.9,stoch_k_higher_d^80^72^40&smacd_histogram_start_increase_2^150^210^120&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,18.775,68.861,2.222,5.592,3.564,30.996,12.314,0.645,1.336,14.0,71.429,4.22,48.116,1.4,tsi_higher_signal^140^56^56^SMA&adx_plus_crossover_minus^180&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,18.883,69.329,4.658,6.195,3.456,14.884,11.191,0.586,1.317,10.0,70.0,3.437,48.318,1.0,stoch_k_overbought^50^35^50&tsi_crossover_signal^210^168^63^SMA&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,18.913,69.458,3.712,5.667,2.895,18.713,12.256,0.641,1.076,11.0,54.545,5.867,48.81,1.1,smacd_higher_signal^50^110^65&bb_price_crossover_high^220.0^2.3&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,18.971,69.711,3.895,5.345,2.853,17.9,13.042,0.683,0.994,16.0,62.5,2.258,49.873,1.6,stoch_k_neutral^8^2^65^35&emacd_histogram_start_increase_2^90^126^117&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,18.991,69.796,4.166,5.285,3.266,16.755,13.207,0.691,0.904,21.0,57.143,3.014,48.25,2.1,kdj_d_overbought^40^36^36^50&smacd_histogram_start_increase_2^140^252^182&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,19.001,69.839,4.139,5.167,3.165,16.872,13.516,0.707,0.891,22.0,63.636,2.214,48.152,2.2,emacd_histogram_increase^10^18^12&smacd_histogram_start_increase_2^140^252^182&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,19.093,70.24,4.758,4.887,3.03,14.763,14.374,0.752,1.048,22.0,63.636,2.196,47.598,2.2,smi_d_overbought^26^23^18^0.0^EMA&rsi_crossover50^140&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,19.161,70.537,3.297,4.901,3.296,21.396,14.393,0.753,1.065,22.0,63.636,2.172,47.938,2.2,smacd_higher_signal^70^98^63&smacd_histogram_start_increase_2^150^210^120&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,19.169,70.571,4.163,5.189,3.323,16.953,13.6,0.712,0.881,27.0,55.556,3.034,47.8,2.7,kdj_k_overbought^70^35^50&price_crossover_sma_2^140&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,19.238,70.872,3.225,5.223,3.42,21.974,13.57,0.71,0.865,24.0,62.5,2.448,48.303,2.4,smacd_higher_signal^70^98^63&smacd_histogram_start_increase_2^150^210^120&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,19.286,71.08,3.924,5.961,2.922,18.112,11.924,0.624,1.141,10.0,50.0,7.859,48.854,1.0,rvi_neutral^17^20.0^-20.0^SMA&bb_price_crossover_high_2^220.0^2.3&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,19.291,71.103,3.167,5.354,3.329,22.452,13.28,0.695,0.918,24.0,58.333,3.006,47.898,2.4,stoch_d_overbought^50^30^45^50&price_crossover_sma_2^140&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,19.359,71.402,4.51,5.649,3.372,15.831,12.64,0.662,0.927,22.0,63.636,2.554,48.766,2.2,smacd_increase^140^224&price_crossover_sma_2^140&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,19.405,71.603,3.503,5.163,3.526,20.44,13.87,0.726,0.851,26.0,61.538,2.254,47.953,2.6,stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,19.58,72.371,4.325,5.552,3.35,16.734,13.036,0.682,0.912,23.0,60.87,3.127,48.464,2.3,stoch_k_overbought^50^35^50&price_crossover_sma_2^140&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,19.603,72.471,2.675,6.047,3.355,27.087,11.985,0.627,0.854,20.0,70.0,4.376,49.528,2.0,smacd_higher_signal^70^98^63&price_crossover_sma_2^140&trailing_stop^34^3.0
