开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-19 16:45:00,94.23,480.785,4.46,11.219,9.885,107.795,42.854,2.243,0.316,139.0,53.237,2.115,52.108,13.9,ema_fast_higher_slow^45^81|smi_d_neutral^160^112^144^25.0^-25.0^SMA&rvi_crossover_signal^20^12|emacd_histogram_start_increase^230^368^276&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-19 16:45:00,95.345,489.669,4.164,9.905,9.863,117.584,49.434,2.588,0.291,141.0,51.773,2.251,51.648,14.1,rsi_overbought^130^50|smi_d_neutral^160^112^144^25.0^-25.0^SMA&rvi_crossover_signal^18^13|stoch_k_crossover_d^120^96^36&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-19 16:45:00,91.206,457.13,4.045,9.353,8.194,113.0,48.874,2.558,0.419,75.0,54.667,2.84,52.294,7.5,stoch_d_neutral^210^168^147^80^20|smi_d_neutral^160^112^144^25.0^-25.0^SMA&supertrend_long_signal^40.0^3.3|smacd_crossover_signal^200^480^220&aroon_diff_crossunder0^59|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-19 16:45:00,108.719,602.771,5.55,11.701,11.574,108.614,51.515,2.696,0.418,117.0,51.282,2.984,52.627,11.7,kdj_d_neutral^200^180^180^80^20|smi_d_neutral^160^112^144^25.0^-25.0^SMA&second_wave_trend_2^6|smacd_histogram_start_increase^190^532^114&aroon_diff_crossunder0^59|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-19 16:45:00,101.742,542.226,4.965,10.682,10.851,109.203,50.76,2.657,0.31,147.0,55.102,1.956,51.585,14.7,aroon_diff_higher0^110|smi_d_neutral^160^112^144^25.0^-25.0^SMA&rvi_crossover_signal^20^12|second_wave_trend_1^6&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-19 16:45:00,109.037,605.615,5.534,11.763,11.615,109.429,51.484,2.695,0.417,117.0,51.282,3.003,52.676,11.7,smi_neutral^170^153^30.0^-30.0^SMA|smi_d_neutral^160^112^144^25.0^-25.0^SMA&second_wave_trend_2^6|smacd_histogram_start_increase^190^532^114&aroon_diff_crossunder0^59|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-19 16:45:00,104.237,563.49,5.058,10.839,11.17,111.414,51.988,2.721,0.444,116.0,51.724,2.554,51.96,11.6,tsi_neutral^220^198^15.0^-15.0^SMA|smi_neutral^170^153^30.0^-30.0^SMA&second_wave_trend_2^6|smacd_histogram_start_increase^190^532^114&trailing_stop^34^2.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,93.866,477.907,4.73,10.118,9.801,101.045,47.234,2.472,0.469,84.0,55.952,2.793,52.218,8.4,tsi_neutral^220^198^15.0^-15.0^SMA|smi_d_neutral^160^112^144^25.0^-25.0^SMA&second_wave_trend_2^6|smi_k_crossover0^250^125^SMA&trailing_stop^34^2.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,93.992,478.907,4.73,10.09,9.725,101.257,47.466,2.484,0.47,85.0,56.471,2.738,52.376,8.5,smi_neutral^170^153^30.0^-30.0^SMA|smi_d_neutral^160^112^144^25.0^-25.0^SMA&second_wave_trend_2^6|smi_k_crossover0^250^125^SMA&trailing_stop^34^2.0|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,102.355,547.407,5.029,10.875,11.204,108.855,50.336,2.635,0.313,143.0,53.147,2.169,51.58,14.3,aroon_diff_higher0^110|smi_d_neutral^160^112^144^25.0^-25.0^SMA&rvi_crossover_signal^20^12|smacd_crossover_signal^200^480^220&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.0
