开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-19 16:45:00,19.328,59.722,4.267,4.026,2.916,13.997,14.834,0.776,0.856,38.0,57.895,2.037,51.075,3.8,roc_higher0^18|kdj_d_neutral^8^2^2^60^40&price_crossover_sma^60|stoch_k_crossover_d_2^240^168^72^15&aroon_diff_crossunder0^89|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,22.033,69.494,4.557,3.935,3.314,15.249,17.663,0.925,0.83,59.0,52.542,1.987,50.186,5.9,kdj_d_neutral^8^2^2^60^40|rvi_neutral^50^5.0^-5.0^SMA&rvi_crossover_signal^100^80|price_crossover_sma^60&aroon_diff_crossunder0^89|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,17.486,53.269,3.652,4.265,3.007,14.588,12.489,0.654,0.915,30.0,56.667,2.988,50.47,3.0,price_higher_sma^20|stoch_k_neutral^250^125^60^40&roc_crossover0^40|trix_crossover0^230&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,19.19,59.231,4.195,3.753,2.543,14.119,15.781,0.826,0.91,34.0,58.824,2.268,51.399,3.4,aroon_diff_higher0^25|tsi_neutral^30^27^5.0^-5.0^SMA&roc_crossover0^30|emacd_histogram_start_increase^130^364^104&aroon_diff_crossunder0^89|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,21.469,67.427,4.209,4.403,2.95,16.018,15.314,0.802,0.772,42.0,52.381,2.433,51.218,4.2,price_higher_sma^20|rvi_signal_neutral^8^2^10.0^-10.0^EMA&roc_crossover0^40|trix_crossover0^120&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,16.859,51.112,2.929,4.927,2.641,17.45,10.374,0.543,0.321,43.0,48.837,3.216,52.643,4.3,kc_neutral^55.0^66.0^2.6999999999999997|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|stoch_k_crossover_d_2^210^147^105^15&aroon_diff_crossunder0^89|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-19 16:45:00,20.136,62.602,3.89,4.481,2.967,16.095,13.971,0.731,0.149,125.0,52.0,1.792,50.407,12.5,trix_higher0^6|stoch_k_overbought^20^16^50&adx_plus_crossover_minus^90|price_crossover_ema^20&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-19 16:45:00,17.46,53.182,2.811,3.636,2.298,18.917,14.625,0.766,0.777,32.0,53.125,2.629,50.183,3.2,stoch_d_overbought^17^14^5^50|skew_negative^25^EMA&aroon_diff_crossover0^50|smi_d_crossover0^170^68^119^EMA&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,19.23,59.374,3.711,4.864,3.067,16.001,12.206,0.639,0.344,62.0,50.0,2.736,50.605,6.2,trix_increase^80|rvi_overbought^70^0.0^SMA&emacd_histogram_start_increase^150^360^90|smacd_start_increase^140^364&trailing_stop^34^1.5|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,17.5,53.318,2.39,4.434,2.709,22.306,12.024,0.629,0.216,93.0,51.613,1.816,51.061,9.3,tsi_overbought^16^5^0.0^SMA|rvi_overbought^70^0.0^SMA&price_crossover_ema^20|sma_fast_crossover_slow_3^130^234&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-19 16:45:00,22.066,69.619,4.091,4.537,3.212,17.017,15.343,0.803,0.726,44.0,52.273,3.043,51.07,4.4,aroon_diff_higher0^16|tsi_neutral^30^27^5.0^-5.0^SMA&price_crossover_ema^20|price_crossover_ema^25&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,18.091,55.371,3.372,4.299,3.091,16.423,12.88,0.674,0.85,35.0,60.0,2.26,50.409,3.5,smacd_increase^8^11|stoch_k_neutral^250^125^60^40&emacd_start_increase^60^84|bb_price_crossover_high^25.0^3.8999999999999995&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,17.932,54.817,2.811,3.782,2.356,19.498,14.493,0.759,0.805,30.0,53.333,2.81,50.283,3.0,kdj_k_overbought^26^10^50|skew_negative^25^EMA&aroon_diff_crossover0^50|bb_price_crossover_low_2^55.0^1.9&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,19.481,60.265,2.745,4.177,2.913,21.956,14.429,0.755,0.262,85.0,50.588,2.241,50.648,8.5,ema_fast_higher_slow^6^8|stoch_k_overbought^20^16^50&price_crossover_ema^20|trix_crossover_signal^150^180&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-19 16:45:00,17.348,52.794,2.179,5.29,2.507,24.231,9.98,0.522,0.36,30.0,53.333,4.003,53.446,3.0,rvi_overbought^70^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|stoch_k_crossover_d_2^210^147^105^15&trailing_stop^34^1.5|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,17.517,53.378,2.271,4.493,2.777,23.502,11.88,0.622,0.273,77.0,49.351,2.257,51.552,7.7,trix_higher0^6|rvi_signal_overbought^23^7^0.0^SMA&price_crossover_ema^20|ma_atr_long_signal^18.0^22.0^2.8&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-19 16:45:00,19.781,61.331,2.997,4.166,2.676,20.467,14.722,0.771,0.867,30.0,63.333,2.393,51.577,3.0,kdj_k_overbought^26^10^50|skew_negative^20^EMA&aroon_diff_crossover0^50|sma_fast_crossover_slow^110^264&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,22.77,72.222,3.295,5.005,3.804,21.919,14.431,0.755,0.569,59.0,52.542,2.166,50.249,5.9,stoch_k_higher_d^60^48^30|rvi_neutral^29^5.0^-5.0^EMA&roc_crossover0^30|smacd_histogram_start_increase^100^240^100&aroon_diff_crossunder0^89|trailing_stop^34^2.5
