开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-19 16:45:00,58.933,241.351,5.938,7.335,5.642,40.647,32.905,1.722,0.564,55.0,49.091,3.577,51.249,5.5,supertrend_long_period^14.0^1.9|convexity_higher1^14^SMA&stoch_k_crossover_d^230^207^207|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,58.982,241.632,6.825,8.599,5.926,35.405,28.101,1.471,0.605,45.0,53.333,3.262,51.647,4.5,supertrend_long_period^30.0^2.3|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|ema_fast_crossover_slow^200^480&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,56.207,226.055,5.899,8.019,5.188,38.321,28.189,1.476,0.634,40.0,62.5,2.165,52.395,4.0,emacd_histogram_increase^90^198^81|supertrend_long_period^14.0^1.9&smacd_histogram_start_increase^110^220^99|ema_fast_crossover_slow^200^480&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,54.838,218.537,5.686,7.702,5.194,38.432,28.374,1.485,0.559,49.0,51.02,3.489,52.135,4.9,price_higher_ema^20|rsi_overbought^8^50&smacd_histogram_start_increase^110^220^99|bb_price_crossover_high_2^25.0^3.8999999999999995&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,54.758,218.103,5.728,7.779,5.007,38.077,28.039,1.468,0.582,44.0,52.273,3.326,52.344,4.4,supertrend_long_period^14.0^1.9|rvi_higher_signal^90^45&smacd_histogram_start_increase^110^220^99|smacd_crossover_signal_2^220^308^154&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,54.013,214.063,5.663,7.652,5.01,37.801,27.975,1.464,0.546,46.0,54.348,3.571,52.24,4.6,supertrend_long_period^14.0^1.9|rvi_higher_signal^55^50&smacd_histogram_start_increase^110^220^99|bb_price_crossover_high_2^25.0^3.8999999999999995&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,56.258,226.339,5.938,7.869,5.402,38.119,28.764,1.506,0.544,51.0,52.941,3.257,51.862,5.1,supertrend_long_period^14.0^1.9|convexity_higher1^14^SMA&smacd_histogram_start_increase^110^220^99|bb_price_crossover_high_2^25.0^3.8999999999999995&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,53.73,212.535,5.569,7.8,5.064,38.165,27.248,1.426,0.583,42.0,59.524,2.611,52.824,4.2,price_higher_ema^20|kdj_k_higher_d^8^7^2&smacd_histogram_start_increase^110^220^99|bb_price_crossover_high^25.0^3.8999999999999995&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,56.043,225.149,5.899,7.892,5.214,38.167,28.527,1.493,0.648,41.0,58.537,2.461,52.147,4.1,emacd_increase^50^80|supertrend_long_period^14.0^1.9&smacd_histogram_start_increase^110^220^99|ema_fast_crossover_slow^200^480&trailing_stop^34^2.5|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,56.647,228.494,5.938,7.99,5.576,38.482,28.596,1.497,0.59,48.0,52.083,3.221,51.717,4.8,supertrend_long_period^14.0^1.9|rsi_neutral^250^55^45&smi_k_crossover_d_2^210^189^189^45|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,59.855,246.628,6.825,8.607,6.03,36.138,28.655,1.5,0.596,47.0,53.191,3.226,51.683,4.7,supertrend_long_period^30.0^2.3|convexity_higher1^14^SMA&smacd_histogram_start_increase^110^220^99|ema_fast_crossover_slow^200^480&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,54.943,219.112,5.899,7.687,5.258,37.144,28.503,1.492,0.627,44.0,56.818,2.459,51.874,4.4,emacd_histogram_increase^90^198^81|rsi_fast_higher_slow^20^36&smacd_histogram_start_increase^110^220^99|ema_fast_crossover_slow^190^494&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,55.446,221.863,5.773,7.792,5.022,38.428,28.474,1.49,0.594,42.0,59.524,2.418,52.404,4.2,supertrend_long_period^14.0^1.9|rvi_higher_signal^90^45&smacd_histogram_start_increase^110^220^99|sma_fast_crossover_slow_2^200^560&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,59.988,247.388,6.825,8.633,6.05,36.249,28.657,1.5,0.596,47.0,53.191,3.231,51.683,4.7,supertrend_long_period^30.0^2.3|convexity_higher1^14^SMA&smacd_histogram_start_increase^110^220^99|ema_fast_crossover_slow^190^494&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,56.061,225.249,5.721,7.714,5.236,39.37,29.199,1.528,0.63,45.0,60.0,2.101,52.144,4.5,emacd_increase^50^80|rvi_higher_signal^55^50&smacd_histogram_start_increase^110^220^99|ema_fast_crossover_slow^190^494&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,55.064,219.769,4.501,6.793,4.868,48.832,32.354,1.693,0.568,49.0,55.102,2.734,51.664,4.9,supertrend_long_period^14.0^1.9|rvi_higher_signal^55^50&stoch_k_crossover_d^230^207^207|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,54.745,218.031,5.61,7.685,5.203,38.864,28.37,1.485,0.575,46.0,52.174,3.385,52.011,4.6,supertrend_long_period^14.0^1.9|rvi_higher_signal^55^50&smi_k_crossover_d_2^210^189^189^45|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,55.448,221.872,4.316,6.929,5.031,51.401,32.019,1.676,0.591,46.0,50.0,3.934,51.508,4.6,supertrend_long_period^14.0^1.9|rvi_higher_signal^90^45&stoch_k_crossover_d^230^207^207|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,65.884,282.354,6.085,8.672,6.39,46.403,32.558,1.704,0.574,62.0,54.839,2.58,52.499,6.2,skew_negative^25^EMA|convexity_higher1^6^SMA&sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,63.42,267.486,6.356,8.993,6.081,42.082,29.745,1.557,0.55,53.0,58.491,2.921,52.815,5.3,skew_negative^25^EMA|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|smacd_crossover_signal_2^220^308^154&aroon_diff_crossunder0^109|trailing_stop^34^2.5
