开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18 18:15:00,24.131,78.089,2.108,6.596,4.562,37.044,11.84,0.62,0.859,24.0,66.667,4.173,52.335,2.4,kc_neutral^8.0^8.0^1.7|rvi_neutral^17^20.0^-20.0^SMA&kc_price_crossover_low^20.0^20.0^2.8999999999999995|smacd_crossover_signal_3^210^546^273&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,26.365,86.772,1.863,6.84,5.503,46.577,12.686,0.664,0.535,48.0,68.75,1.94,50.586,4.8,aroon_diff_higher0^80|smacd_histogram_increase^140^308^84&rvi_crossover_signal^100^80|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,24.305,78.755,2.039,6.792,4.559,38.625,11.594,0.607,0.834,28.0,82.143,2.699,50.601,2.8,bb_neutral^12.0^2.0999999999999996|smi_neutral^240^192^30.0^-30.0^EMA&aroon_diff_crossover0^200|bb_price_crossover_low^35.0^3.4999999999999996&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,27.271,90.37,2.64,7.996,4.459,34.229,11.303,0.592,0.687,27.0,77.778,2.011,52.324,2.7,sma_fast_higher_slow^60^96|smi_d_neutral^180^162^126^25.0^-25.0^EMA&kc_price_crossover_low^14.0^17.0^2.5|smacd_histogram_start_increase^230^322^299&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,27.368,90.757,1.87,7.241,5.705,48.539,12.534,0.656,0.345,83.0,62.651,1.871,50.7,8.3,rvi_signal_overbought^60^42^0.0^SMA|adx_higher_threshold^210.0^5.0&rvi_crossover_signal^100^80|price_crossover_sma_2^200&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.0
2026-02-02 01:00:00,2026-06-18 18:15:00,27.76,92.327,2.602,7.766,4.626,35.485,11.889,0.622,0.664,33.0,75.758,1.908,51.876,3.3,sma_fast_higher_slow^60^96|rsi_neutral^90^65^35&bb_price_crossover_low^35.0^3.4999999999999996|smacd_histogram_start_increase^230^322^299&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,26.03,85.455,2.561,6.951,5.049,33.373,12.294,0.644,0.893,24.0,75.0,4.257,52.622,2.4,rvi_neutral^17^20.0^-20.0^SMA|mass_higher1^16^8&kc_price_crossover_low^14.0^17.0^2.5|smacd_crossover_signal_2^190^380^152&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,30.11,101.92,3.026,8.362,6.785,33.686,12.189,0.638,0.488,51.0,66.667,2.305,51.491,5.1,rvi_signal_overbought^60^42^0.0^SMA|smi_d_neutral^180^162^126^25.0^-25.0^EMA&rvi_crossover_signal^110^77|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,25.908,84.977,1.635,6.777,5.48,51.981,12.54,0.656,0.511,50.0,66.0,2.152,50.078,5.0,sma_fast_higher_slow^60^96|smacd_histogram_increase^140^308^84&rvi_crossover_signal^100^80|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,25.093,81.796,1.835,7.983,4.931,44.572,10.246,0.536,0.562,39.0,76.923,2.002,52.242,3.9,sma_fast_higher_slow^60^96|tsi_neutral^160^48^20.0^-20.0^EMA&kc_price_crossover_low^14.0^17.0^2.5|smacd_histogram_start_increase^230^322^299&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,24.913,81.098,2.201,7.598,5.222,36.839,10.674,0.559,0.831,28.0,75.0,2.851,52.414,2.8,kdj_k_neutral^210^189^85^15|rvi_neutral^17^20.0^-20.0^SMA&mass_crossover1^210^189|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,30.526,103.649,3.033,8.412,6.96,34.17,12.322,0.645,0.499,52.0,65.385,2.405,51.508,5.2,rvi_signal_overbought^60^42^0.0^SMA|smi_d_neutral^180^162^126^25.0^-25.0^EMA&rvi_crossover_signal^100^80|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,30.801,104.795,4.228,6.579,5.504,24.787,15.928,0.834,0.693,61.0,59.016,2.04,49.668,6.1,adx_higher_threshold^80.0^5.0|adx_higher_threshold^210.0^5.0&kc_price_crossover_low^14.0^17.0^2.5|smacd_histogram_start_increase^230^322^299&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,28.265,94.365,2.057,6.923,5.732,45.864,13.631,0.713,0.487,57.0,63.158,2.003,49.53,5.7,smacd_histogram_increase^140^308^84|adx_higher_threshold^210.0^5.0&rvi_crossover_signal^100^80|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
