datetime,open,high,low,close,volume,rsi_neutral^180^60^40|mass_lower1^230^207&emacd_histogram_start_increase^220^572^264|smacd_histogram_start_increase^230^506^299&trailing_stop^34^3.0|trailing_stop^34^3.5,sma_fast_higher_slow^55^99|supertrend_long_period^150.0^3.0999999999999996&price_crossover_ema^8|emacd_start_increase^25^55&roc_crossunder0^59|trailing_stop^34^3.5,sma_fast_higher_slow^55^99|supertrend_long_period^150.0^3.0999999999999996&price_crossover_ema^8|emacd_crossover_signal_2^190^266^209&roc_crossunder0^59|trailing_stop^34^3.5,sma_fast_higher_slow^55^99|supertrend_long_period^150.0^3.0999999999999996&price_crossover_ema^8|smacd_histogram_start_increase^230^506^299&roc_crossunder0^59|trailing_stop^34^3.5,sma_fast_higher_slow^55^99|supertrend_long_period^150.0^3.0999999999999996&price_crossover_ema^8|smacd_histogram_start_increase_2^110^154^99&roc_crossunder0^59|trailing_stop^34^3.5,tsi_neutral^190^171^10.0^-10.0^SMA|smi_d_neutral^170^119^85^30.0^-30.0^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299&trailing_stop^34^1.5|trailing_stop^34^3.0,tsi_higher_signal^190^114^57^EMA|tsi_neutral^190^171^10.0^-10.0^SMA&emacd_crossover_signal^140^392^140|aroon_diff_crossover0^210&roc_crossunder0^59|trailing_stop^34^3.5,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299&roc_crossunder0^59|trailing_stop^34^1.5,tsi_higher_signal^190^114^57^EMA|supertrend_long_period^150.0^3.0999999999999996&emacd_crossover_signal_2^200^480^120|bb_price_crossover_low_2^55.0^2.3&roc_crossunder0^59|trailing_stop^34^3.5,tsi_higher_signal^190^114^57^EMA|tsi_neutral^190^171^10.0^-10.0^SMA&emacd_crossover_signal^140^392^140|smacd_crossover_signal^220^484^242&roc_crossunder0^59|trailing_stop^34^3.5,supertrend_long_period^150.0^3.0999999999999996|smi_d_neutral^170^119^85^30.0^-30.0^SMA&stoch_k_crossover_d_2^240^120^72^25|kdj_k_crossover_d_2^250^175^225^30&trailing_stop^34^3.0|trailing_stop^34^3.5,trix_higher_signal^55.0^22.0|mass_lower1^230^207&stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal^220^484^242&trailing_stop^34^3.0|trailing_stop^34^3.5,tsi_neutral^190^171^10.0^-10.0^SMA|smi_d_neutral^170^119^85^30.0^-30.0^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299&roc_crossunder0^59|trailing_stop^34^1.5,tsi_neutral^190^171^10.0^-10.0^SMA|convexity_higher1^8^SMA&stoch_k_crossover_d_2^240^120^72^25|adx_crossover_threshold^45.0^35.0&trailing_stop^34^2.5|trailing_stop^34^3.0,tsi_neutral^190^171^10.0^-10.0^SMA|smi_d_neutral^170^119^85^30.0^-30.0^SMA&stoch_k_crossover_d_2^240^120^72^25|kc_price_crossover_high_2^16.0^6.0^3.6999999999999993&trailing_stop^34^3.0|trailing_stop^34^3.5,smacd_histogram_increase^110^198^110|smi_d_neutral^170^119^85^30.0^-30.0^SMA&smacd_start_increase^230^552|adx_crossover_threshold^45.0^35.0&roc_crossunder0^59|trailing_stop^34^3.5,rsi_neutral^180^60^40|convexity_higher1^8^SMA&stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal^220^484^242&aroon_diff_crossunder0^109|trailing_stop^34^3.5,trix_higher_signal^55.0^22.0|mass_lower1^230^207&stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal^220^484^242&trailing_stop^34^2.5|trailing_stop^34^3.5,tsi_higher_signal^190^114^57^EMA|tsi_neutral^190^171^10.0^-10.0^SMA&stoch_k_crossover_d_2^240^120^72^25|emacd_crossover_signal_2^200^480^120&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0,tsi_neutral^190^171^10.0^-10.0^SMA|convexity_higher1^12^SMA&stoch_d_crossover50^120^72^108|stoch_k_crossover_d_2^240^120^72^25&aroon_diff_crossunder0^109|trailing_stop^34^3.0,smi_d_neutral^170^119^85^30.0^-30.0^SMA|mass_lower1^230^207&stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal^220^484^242&trailing_stop^34^3.0|trailing_stop^34^3.5,rsi_neutral^180^60^40|smi_d_neutral^170^119^85^30.0^-30.0^SMA&stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal^220^484^242&aroon_diff_crossunder0^109|trailing_stop^34^3.5,tsi_neutral^190^171^10.0^-10.0^SMA|smi_d_neutral^170^119^85^30.0^-30.0^SMA&stoch_k_crossover_d_2^240^120^72^25|adx_crossunder_threshold^90.0^20.0&trailing_stop^34^3.0|trailing_stop^34^3.5,convexity_higher1^12^SMA|convexity_higher1^8^SMA&stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal^220^484^242&trailing_stop^34^3.0|trailing_stop^34^3.5,tsi_neutral^190^171^10.0^-10.0^SMA|mass_lower1^230^207&stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal^220^484^242&trailing_stop^34^3.0|trailing_stop^34^3.5,rsi_neutral^180^60^40|mass_lower1^230^207&stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal_2^170^476^238&aroon_diff_crossunder0^109|trailing_stop^34^2.5,rsi_neutral^150^60^40|smi_d_neutral^170^119^85^30.0^-30.0^SMA&stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal^220^484^242&trailing_stop^34^3.0|trailing_stop^34^3.5,emacd_higher_signal^90^198^63|tsi_neutral^190^171^10.0^-10.0^SMA&stoch_k_crossover_d_2^240^120^72^25|emacd_crossover_signal_2^190^266^209&trailing_stop^34^3.0|trailing_stop^34^3.5,bb_neutral^60.0^2.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&stoch_k_crossover_d_2^240^120^72^25|ema_fast_crossover_slow^180^468&trailing_stop^34^3.0|trailing_stop^34^3.5,bb_neutral^60.0^2.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&stoch_k_crossover_d_2^240^120^72^25|ema_fast_crossover_slow^180^468&trailing_stop^34^2.5|trailing_stop^34^3.0,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal^220^484^242&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,294.0,294.5,293.2,293.7,1269.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 01:15:00,293.8,294.1,293.0,293.2,429.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 01:30:00,293.2,293.4,293.1,293.3,51.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 01:45:00,293.3,293.8,293.3,293.8,93.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 02:00:00,293.9,293.9,293.5,293.6,45.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 02:15:00,293.6,293.8,293.6,293.7,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 02:30:00,293.6,293.6,293.5,293.5,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 02:45:00,293.6,293.6,293.4,293.4,80.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 03:00:00,293.3,293.4,293.1,293.4,117.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 03:15:00,293.3,293.3,293.2,293.2,41.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 03:30:00,293.2,293.2,293.0,293.0,136.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 03:45:00,293.0,293.2,293.0,293.0,237.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 04:00:00,293.1,293.1,292.8,292.9,124.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 04:15:00,292.8,292.8,292.7,292.8,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 04:30:00,292.8,292.9,292.8,292.8,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 04:45:00,292.8,292.8,292.6,292.6,23.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 05:00:00,292.6,292.6,292.6,292.6,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 05:15:00,292.7,292.8,292.7,292.7,34.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 05:30:00,292.6,292.6,292.5,292.5,42.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 05:45:00,292.5,292.5,292.3,292.3,113.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
