开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18 18:15:00,37.483,133.931,2.075,9.193,6.53,64.532,14.568,0.763,0.36,77.0,61.039,2.641,48.915,7.7,trix_higher_signal^60.0^24.0|ma_atr_long_period^50.0^60.0^2.3999999999999995&rsi_fast_crossover_slow^30^48|kdj_d_crossover50^170^85^85&aroon_diff_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18 18:15:00,40.512,147.943,3.076,8.599,6.462,48.092,17.206,0.901,0.859,43.0,65.116,3.024,48.778,4.3,trix_higher_signal^60.0^24.0|stoch_d_neutral^220^88^198^80^20&rsi_fast_crossover_slow^30^48|trix_crossover_signal^180^162&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,39.8,144.605,2.866,9.735,6.933,50.462,14.854,0.778,0.365,75.0,62.667,2.665,49.67,7.5,smi_k_higher_d^90^72^63|smi_overbought^60^24^0.0^EMA&rsi_fast_crossover_slow^30^48|rvi_signal_crossover0^230^92^SMA&aroon_diff_crossunder0^89|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18 18:15:00,37.786,135.307,2.348,9.536,6.694,57.636,14.19,0.743,0.397,71.0,60.563,2.838,48.897,7.1,trix_higher_signal^60.0^24.0|ma_atr_long_period^50.0^60.0^2.3999999999999995&rsi_fast_crossover_slow^30^48|smi_d_crossover0^80^72^56^EMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18 18:15:00,39.426,142.86,2.848,10.044,6.991,50.153,14.223,0.744,0.381,67.0,62.687,2.83,50.118,6.7,stoch_k_higher_d^130^65^91|kdj_k_higher_d^210^84^63&rsi_fast_crossover_slow^25^60|rvi_signal_crossover0^230^92^SMA&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,38.004,136.303,2.436,9.525,6.59,55.959,14.31,0.749,0.398,70.0,67.143,2.586,49.172,7.0,stoch_k_higher_d^130^65^91|stoch_d_overbought^90^36^27^50&rsi_fast_crossover_slow^30^48|adx_plus_crossover_minus^190&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,39.552,143.448,2.53,8.905,6.612,56.709,16.109,0.843,0.742,44.0,72.727,2.424,48.278,4.4,stoch_k_higher_d^130^65^91|smi_overbought^60^24^0.0^EMA&rsi_fast_crossover_slow^30^48|smi_d_crossover0^80^72^56^EMA&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,38.178,137.101,2.322,9.148,6.473,59.038,14.987,0.784,0.396,75.0,58.667,2.886,48.817,7.5,trix_higher_signal^60.0^24.0|ma_atr_long_period^50.0^60.0^2.3999999999999995&rsi_fast_crossover_slow^30^48|kdj_d_crossover50^170^85^85&trailing_stop^34^1.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,38.722,139.602,2.639,9.48,6.575,52.895,14.726,0.771,0.393,71.0,59.155,3.175,48.74,7.1,trix_higher0^35|stoch_k_higher_d^130^65^91&rsi_fast_crossover_slow^30^48|kdj_d_crossover50^170^85^85&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,39.635,143.835,2.443,8.664,6.912,58.868,16.601,0.869,0.768,47.0,74.468,2.158,48.082,4.7,trix_higher_signal^60.0^24.0|smi_k_higher_d^90^72^63&rsi_fast_crossover_slow^30^48|smi_d_crossover0^80^72^56^EMA&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,37.95,136.058,2.348,9.554,6.778,57.956,14.24,0.745,0.392,73.0,58.904,3.019,48.457,7.3,trix_higher_signal^60.0^24.0|ma_atr_long_period^35.0^42.0^2.3999999999999995&rsi_fast_crossover_slow^30^48|smi_d_crossover0^80^72^56^EMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18 18:15:00,40.371,147.282,2.988,8.936,6.914,49.285,16.481,0.863,0.943,39.0,64.103,3.468,47.791,3.9,trix_higher_signal^60.0^24.0|ma_atr_long_period^50.0^60.0^2.3999999999999995&rsi_fast_crossover_slow^30^48|smi_d_crossover0^80^72^56^EMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,38.048,136.504,2.314,9.235,6.719,58.984,14.781,0.774,0.402,74.0,56.757,3.164,48.178,7.4,tsi_higher_signal^140^56^56^SMA|ma_atr_long_period^35.0^42.0^2.3999999999999995&rsi_fast_crossover_slow^30^48|kdj_d_crossover50^170^85^85&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,38.193,137.167,2.306,9.296,6.464,59.471,14.756,0.772,0.395,71.0,61.972,2.681,48.964,7.1,trix_higher_signal^60.0^24.0|ma_atr_long_period^50.0^60.0^2.3999999999999995&rsi_fast_crossover_slow^30^48|rvi_signal_crossover0^230^92^SMA&trailing_stop^34^1.5|trailing_stop^34^2.0
2026-02-02 01:00:00,2026-06-18 18:15:00,39.927,145.196,2.601,8.494,6.848,55.823,17.094,0.895,0.869,46.0,60.87,3.526,47.416,4.6,stoch_k_higher_d^130^65^91|smi_k_higher_d^90^72^63&emacd_start_increase^45^90|smi_d_crossover0^80^72^56^EMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,37.864,135.663,2.333,9.424,6.461,58.137,14.395,0.753,0.405,69.0,62.319,2.933,48.637,6.9,ma_atr_long_period^35.0^42.0^2.3999999999999995|stoch_k_higher_d^130^65^91&rsi_fast_crossover_slow^30^48|stoch_d_crossover50^130^52^117&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,39.342,142.472,2.651,8.829,6.728,53.751,16.137,0.845,0.754,44.0,63.636,4.495,49.365,4.4,smacd_histogram_increase^170^340^102|stoch_k_higher_d^130^65^91&rsi_fast_crossover_slow^25^60|kdj_d_crossover50^170^85^85&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,39.213,141.869,2.714,9.78,6.696,52.267,14.505,0.759,0.403,67.0,62.687,2.963,48.81,6.7,ma_atr_long_period^35.0^42.0^2.3999999999999995|stoch_k_higher_d^130^65^91&rsi_fast_crossover_slow^30^48|rvi_signal_crossover0^230^92^SMA&trailing_stop^34^1.5|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,38.035,136.444,2.296,9.371,6.598,59.437,14.56,0.762,0.409,70.0,61.429,2.83,48.702,7.0,tsi_higher_signal^140^56^56^SMA|ma_atr_long_period^50.0^60.0^2.3999999999999995&rsi_fast_crossover_slow^30^48|stoch_d_crossover50^130^52^117&trailing_stop^34^1.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,39.517,143.282,1.802,11.316,7.508,79.519,12.662,0.663,0.44,49.0,81.633,2.014,50.372,4.9,smacd_histogram_increase^170^340^102|stoch_k_higher_d^130^65^91&emacd_start_increase^45^90|kdj_d_crossover50^170^85^85&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
