coin_name,inv0,cl_name,cl_canshu,is_run,cl_id,cl_index
GC2608,15min,stoch_k_higher_d^23^7^16|tsi_neutral^30^27^5.0^-5.0^SMA&mass_crossover1^90^27|emacd_histogram_start_increase^130^364^104&roc_crossunder0^59|trailing_stop^34^3.5,0,1,stoch_k_higher_d^23^7^16|tsi_neutral^30^27^5.0^-5.0^SMA&mass_crossover1^90^27|emacd_histogram_start_increase^130^364^104&roc_crossunder0^59|trailing_stop^34^3.5,stoch_k_higher_d^23^7^16|tsi_neutral^30^27^5.0^-5.0^SMA&mass_crossover1^90^27|emacd_histogram_start_increase^130^364^104&roc_crossunder0^59|trailing_stop^34^3.5
GC2608,15min,rvi_neutral^50^5.0^-5.0^SMA|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|ema_fast_crossover_slow^160^256&aroon_diff_crossunder0^109|trailing_stop^34^3.0,0,1,rvi_neutral^50^5.0^-5.0^SMA|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|ema_fast_crossover_slow^160^256&aroon_diff_crossunder0^109|trailing_stop^34^3.0,rvi_neutral^50^5.0^-5.0^SMA|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|ema_fast_crossover_slow^160^256&aroon_diff_crossunder0^109|trailing_stop^34^3.0
GC2608,15min,stoch_k_higher_d^23^7^16|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|stoch_k_crossover_d_2^210^147^105^15&trailing_stop^34^2.5|trailing_stop^34^3.5,0,1,stoch_k_higher_d^23^7^16|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|stoch_k_crossover_d_2^210^147^105^15&trailing_stop^34^2.5|trailing_stop^34^3.5,stoch_k_higher_d^23^7^16|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|stoch_k_crossover_d_2^210^147^105^15&trailing_stop^34^2.5|trailing_stop^34^3.5
GC2608,15min,roc_higher0^16|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^130^364^104|stoch_k_crossover_d_2^210^147^105^15&roc_crossunder0^59|trailing_stop^34^3.0,0,1,roc_higher0^16|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^130^364^104|stoch_k_crossover_d_2^210^147^105^15&roc_crossunder0^59|trailing_stop^34^3.0,roc_higher0^16|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^130^364^104|stoch_k_crossover_d_2^210^147^105^15&roc_crossunder0^59|trailing_stop^34^3.0
GC2608,15min,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|smacd_crossover_signal_3^120^312^108&trailing_stop^34^3.0|trailing_stop^34^3.5,0,1,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|smacd_crossover_signal_3^120^312^108&trailing_stop^34^3.0|trailing_stop^34^3.5,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|smacd_crossover_signal_3^120^312^108&trailing_stop^34^3.0|trailing_stop^34^3.5
GC2608,15min,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&trix_start_increase^35|emacd_start_increase^55^99&aroon_diff_crossunder0^109|trailing_stop^34^3.0,0,1,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&trix_start_increase^35|emacd_start_increase^55^99&aroon_diff_crossunder0^109|trailing_stop^34^3.0,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&trix_start_increase^35|emacd_start_increase^55^99&aroon_diff_crossunder0^109|trailing_stop^34^3.0
GC2608,15min,tsi_neutral^30^27^5.0^-5.0^SMA|rvi_neutral^29^5.0^-5.0^EMA&emacd_histogram_start_increase^150^360^90|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5,0,1,tsi_neutral^30^27^5.0^-5.0^SMA|rvi_neutral^29^5.0^-5.0^EMA&emacd_histogram_start_increase^150^360^90|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5,tsi_neutral^30^27^5.0^-5.0^SMA|rvi_neutral^29^5.0^-5.0^EMA&emacd_histogram_start_increase^150^360^90|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5
GC2608,15min,aroon_diff_higher0^16|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|kdj_k_crossover_d_2^160^144^144^15&roc_crossunder0^59|trailing_stop^34^2.5,0,1,aroon_diff_higher0^16|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|kdj_k_crossover_d_2^160^144^144^15&roc_crossunder0^59|trailing_stop^34^2.5,aroon_diff_higher0^16|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|kdj_k_crossover_d_2^160^144^144^15&roc_crossunder0^59|trailing_stop^34^2.5
GC2608,15min,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|trix_crossover_signal^150^180&aroon_diff_crossunder0^109|trailing_stop^34^3.0,0,1,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|trix_crossover_signal^150^180&aroon_diff_crossunder0^109|trailing_stop^34^3.0,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|trix_crossover_signal^150^180&aroon_diff_crossunder0^109|trailing_stop^34^3.0
GC2608,15min,rvi_overbought^70^0.0^SMA|convexity_higher1^6^SMA&mass_crossunder1^140^70|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5,0,1,rvi_overbought^70^0.0^SMA|convexity_higher1^6^SMA&mass_crossunder1^140^70|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5,rvi_overbought^70^0.0^SMA|convexity_higher1^6^SMA&mass_crossunder1^140^70|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5
GC2608,15min,rvi_overbought^70^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&stoch_k_crossover_d^80^72^24|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5,0,1,rvi_overbought^70^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&stoch_k_crossover_d^80^72^24|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5,rvi_overbought^70^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&stoch_k_crossover_d^80^72^24|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5
