total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-39.296,40.792,1.266,505.0,56.795,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|second_wave_trend_2^10&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-38.044,40.873,1.266,504.0,55.594,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|second_wave_trend_2^10&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-30.536,42.443,1.209,483.0,45.533,rvi_neutral^8^35.0^-35.0^SMA|rvi_signal_neutral^50^20^25.0^-25.0^EMA&rvi_crossover_signal^18^13|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-30.486,41.296,1.272,494.0,46.031,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|roc_crossover0^55&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-29.264,42.355,1.221,484.0,44.886,rvi_neutral^8^35.0^-35.0^SMA|rvi_signal_neutral^50^20^25.0^-25.0^EMA&rvi_crossover_signal^20^12|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-29.001,41.767,1.255,498.0,45.404,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-28.682,35.96,1.6,495.0,50.146,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|roc_crossover0^55&roc_crossunder0^59|trailing_stop^34^1.5
-27.73,41.683,1.267,499.0,44.771,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-27.429,42.181,1.238,486.0,42.583,rvi_neutral^8^35.0^-35.0^SMA|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-26.967,41.718,1.265,489.0,43.922,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^8^SMA&rvi_crossover_signal^18^13|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-26.695,41.379,1.287,493.0,42.189,kc_neutral^10.0^8.0^1.7|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-26.631,41.684,1.27,487.0,42.749,rvi_higher_signal^8^2|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|smacd_histogram_start_increase^190^532^114&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-26.615,41.718,1.267,489.0,44.011,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^8^SMA&rvi_crossover_signal^20^12|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-26.545,41.283,1.297,499.0,47.524,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^12|rvi_crossover_signal^20^12&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-26.433,41.942,1.255,484.0,42.017,rsi_neutral^11^80^20|rvi_neutral^8^35.0^-35.0^SMA&rvi_crossover_signal^20^12|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-26.39,35.903,1.617,493.0,48.252,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|roc_crossover0^55&roc_crossunder0^59|trailing_stop^34^1.5
-26.157,42.094,1.249,487.0,41.951,rvi_neutral^8^35.0^-35.0^SMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-26.138,41.129,1.303,496.0,43.262,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|roc_crossover0^100&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-26.051,41.129,1.306,496.0,46.179,rvi_neutral^8^35.0^-35.0^SMA|convexity_higher1^12^EMA&price_crossover_ema^12|rvi_crossover_signal^20^12&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.646,42.373,1.236,472.0,41.02,rvi_neutral^8^35.0^-35.0^SMA|adx_lower_threshold^100.0^25.0&rvi_crossover_signal^20^12|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.576,41.365,1.297,498.0,46.457,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^12|rvi_crossover_signal^18^13&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.149,41.856,1.267,485.0,41.412,adx_lower_threshold^100.0^25.0|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.001,42.138,1.25,477.0,40.75,rvi_neutral^8^35.0^-35.0^SMA|convexity_higher1^8^SMA&rvi_crossover_signal^18^13|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.648,42.138,1.251,477.0,40.862,rvi_neutral^8^35.0^-35.0^SMA|convexity_higher1^8^SMA&rvi_crossover_signal^20^12|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.536,36.14,1.61,487.0,47.113,kc_neutral^10.0^8.0^1.7|rvi_signal_neutral^50^20^25.0^-25.0^EMA&rvi_crossover_signal^20^12|roc_crossover0^55&roc_crossunder0^59|trailing_stop^34^1.5
-24.457,42.292,1.244,480.0,42.257,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|kdj_d_crossover50^70^28^21&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-23.998,35.51,1.66,490.0,46.963,convexity_higher1^12^EMA|convexity_higher1^8^SMA&rvi_crossover_signal^20^12|roc_crossover0^55&roc_crossunder0^59|trailing_stop^34^1.5
-23.877,41.77,1.279,486.0,40.795,adx_lower_threshold^100.0^25.0|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-23.86,41.463,1.294,492.0,41.024,convexity_higher1^12^EMA|convexity_higher1^8^SMA&rvi_crossover_signal^18^13|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-23.818,36.082,1.616,485.0,44.853,kc_neutral^10.0^8.0^1.7|rvi_neutral^8^35.0^-35.0^SMA&rvi_crossover_signal^20^12|roc_crossover0^55&roc_crossunder0^59|trailing_stop^34^1.5
-23.742,42.553,1.232,470.0,41.74,rvi_neutral^8^35.0^-35.0^SMA|rvi_signal_neutral^50^20^25.0^-25.0^EMA&rvi_crossover_signal^18^13|kdj_d_crossover50^70^28^21&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-23.624,41.736,1.281,484.0,41.409,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|smi_k_crossover_d_2^140^42^70^15&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-23.507,41.463,1.296,492.0,41.132,convexity_higher1^12^EMA|convexity_higher1^8^SMA&rvi_crossover_signal^20^12|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-23.362,36.025,1.626,483.0,45.441,adx_lower_threshold^100.0^25.0|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|roc_crossover0^55&roc_crossunder0^59|trailing_stop^34^1.5
-23.232,35.569,1.658,492.0,45.47,rsi_neutral^11^80^20|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|roc_crossover0^55&roc_crossunder0^59|trailing_stop^34^1.5
-23.186,42.204,1.256,481.0,41.649,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|kdj_d_crossover50^70^28^21&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.981,40.2,1.374,500.0,43.104,kc_neutral^10.0^8.0^1.7|convexity_higher1^12^EMA&price_crossover_ema^10|rvi_crossover_signal^20^12&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.928,40.6,1.351,500.0,43.445,rsi_neutral^11^80^20|convexity_higher1^12^EMA&price_crossover_ema^10|rvi_crossover_signal^20^12&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.916,40.918,1.334,501.0,44.355,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^10|rvi_crossover_signal^20^12&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.684,36.538,1.593,468.0,45.958,kc_neutral^10.0^8.0^1.7|rvi_signal_neutral^50^20^25.0^-25.0^EMA&rvi_crossover_signal^20^12|rvi_crossover0^130^SMA&roc_crossunder0^59|trailing_stop^34^1.5
-22.409,41.667,1.286,480.0,38.115,rvi_neutral^8^35.0^-35.0^SMA|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|rsi_fast_crossover_slow^60^168&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.117,35.861,1.643,488.0,43.96,rvi_neutral^8^35.0^-35.0^SMA|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|roc_crossover0^55&roc_crossunder0^59|trailing_stop^34^1.5
-21.959,40.681,1.35,499.0,42.321,rsi_neutral^11^80^20|convexity_higher1^12^EMA&price_crossover_ema^10|rvi_crossover_signal^18^13&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-21.947,41.0,1.333,500.0,43.256,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^10|rvi_crossover_signal^18^13&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-21.788,40.281,1.374,499.0,41.801,kc_neutral^10.0^8.0^1.7|convexity_higher1^12^EMA&price_crossover_ema^10|rvi_crossover_signal^18^13&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-21.509,36.268,1.619,477.0,44.296,kc_neutral^10.0^8.0^1.7|adx_lower_threshold^100.0^25.0&rvi_crossover_signal^20^12|roc_crossover0^55&roc_crossunder0^59|trailing_stop^34^1.5
-21.351,42.017,1.275,476.0,41.227,rvi_neutral^8^35.0^-35.0^SMA|rvi_signal_neutral^50^20^25.0^-25.0^EMA&rvi_crossover_signal^20^12|smacd_start_increase^110^308&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-21.294,40.8,1.348,500.0,42.645,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|second_wave_trend_2^6&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-21.149,41.615,1.298,483.0,40.908,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|smacd_histogram_start_increase_2^230^322^184&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-21.138,41.58,1.298,481.0,37.404,rvi_neutral^8^35.0^-35.0^SMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|rsi_fast_crossover_slow^60^168&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-21.092,35.918,1.648,490.0,44.442,kc_neutral^10.0^8.0^1.7|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|roc_crossover0^55&roc_crossunder0^59|trailing_stop^34^1.5
-20.941,41.598,1.301,488.0,38.224,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|emacd_histogram_start_increase^230^368^276&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-20.635,42.283,1.261,473.0,39.733,rvi_neutral^8^35.0^-35.0^SMA|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|kdj_d_crossover50^70^28^21&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-20.529,41.548,1.309,491.0,42.714,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^8^SMA&price_crossover_ema^12|rvi_crossover_signal^20^12&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-20.399,36.0,1.644,475.0,44.677,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|rvi_crossover0^120^SMA&roc_crossunder0^59|trailing_stop^34^1.5
-20.339,42.463,1.254,471.0,39.558,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^8^SMA&rvi_crossover_signal^18^13|kdj_d_crossover50^70^28^21&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-20.178,41.379,1.32,493.0,42.25,rvi_neutral^8^35.0^-35.0^SMA|rvi_signal_neutral^50^20^25.0^-25.0^EMA&price_crossover_ema^10|rvi_crossover_signal^20^12&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-20.083,34.686,1.75,493.0,45.934,rsi_neutral^8^80^20|rsi_neutral^11^80^20&price_crossover_ema^12|rvi_crossover_signal^20^12&roc_crossunder0^59|trailing_stop^34^1.5
-19.986,42.463,1.256,471.0,39.656,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^8^SMA&rvi_crossover_signal^20^12|kdj_d_crossover50^70^28^21&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-19.728,41.529,1.31,484.0,40.191,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|smacd_histogram_start_increase_2^230^322^184&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-19.687,41.212,1.331,495.0,41.418,convexity_higher1^12^EMA|convexity_higher1^8^SMA&price_crossover_ema^12|rvi_crossover_signal^20^12&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-19.634,40.964,1.346,498.0,41.034,rvi_neutral^8^35.0^-35.0^SMA|convexity_higher1^12^EMA&price_crossover_ema^10|rvi_crossover_signal^20^12&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-19.58,41.513,1.313,489.0,37.584,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|emacd_histogram_start_increase^230^368^276&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-19.572,41.929,1.288,477.0,37.638,convexity_higher1^12^EMA|convexity_higher1^8^SMA&rvi_crossover_signal^18^13|smi_k_crossover_d_2^140^42^70^15&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-19.332,41.478,1.315,487.0,38.515,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^8^SMA&rvi_crossover_signal^20^12|roc_crossover0^100&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-19.24,36.306,1.631,471.0,43.289,kc_neutral^10.0^8.0^1.7|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|rvi_crossover0^130^SMA&roc_crossunder0^59|trailing_stop^34^1.5
-19.22,41.929,1.29,477.0,37.768,convexity_higher1^12^EMA|convexity_higher1^8^SMA&rvi_crossover_signal^20^12|smi_k_crossover_d_2^140^42^70^15&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-19.21,41.463,1.319,492.0,41.134,rvi_neutral^8^35.0^-35.0^SMA|rvi_signal_neutral^50^20^25.0^-25.0^EMA&price_crossover_ema^10|rvi_crossover_signal^18^13&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-18.932,41.358,1.322,486.0,38.073,rvi_higher_signal^8^2|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|emacd_histogram_start_increase_2^170^442^102&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-18.812,35.787,1.671,489.0,42.512,kc_neutral^10.0^8.0^1.7|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|roc_crossover0^55&roc_crossunder0^59|trailing_stop^34^1.5
-18.797,40.241,1.391,497.0,39.79,kc_neutral^10.0^8.0^1.7|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|second_wave_trend_2^6&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-18.761,41.322,1.327,484.0,41.695,rvi_neutral^8^35.0^-35.0^SMA|rvi_signal_neutral^50^20^25.0^-25.0^EMA&rvi_crossover_signal^20^12|second_wave_trend_1^6&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-18.691,40.891,1.353,494.0,39.763,rsi_neutral^11^80^20|rvi_neutral^8^35.0^-35.0^SMA&price_crossover_ema^10|rvi_crossover_signal^18^13&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
