开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-01 23:00:00,2026-06-18,86.726,434.123,4.652,9.97,9.021,93.32,43.541,2.279,0.299,156.0,50.641,2.098,51.164,15.6,aroon_diff_higher0^110|stoch_d_neutral^210^168^147^80^20&rvi_crossover_signal^18^13|trix_crossover_signal^150^150&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-18,86.73,434.153,4.197,8.5,8.381,103.438,51.074,2.673,0.311,138.0,50.0,2.591,52.078,13.8,kdj_d_neutral^200^180^180^80^20|smi_d_neutral^160^112^144^25.0^-25.0^SMA&second_wave_trend_2^10|second_wave_trend_2^6&roc_crossunder0^59|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-18,86.77,434.466,4.746,8.995,8.779,91.535,48.301,2.528,0.459,91.0,52.747,2.66,52.066,9.1,stoch_d_neutral^210^168^147^80^20|rvi_signal_neutral^50^20^25.0^-25.0^EMA&second_wave_trend_2^6|smi_k_crossover0^250^125^SMA&trailing_stop^34^2.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,86.788,434.6,4.944,10.017,8.91,87.913,43.385,2.271,0.32,141.0,51.773,2.039,51.859,14.1,trix_higher0^35|smi_d_neutral^160^112^144^25.0^-25.0^SMA&rvi_crossover_signal^18^13|price_crossover_sma^160&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-18,86.805,434.731,5.981,8.778,8.571,72.69,49.523,2.592,0.27,153.0,50.327,2.292,51.48,15.3,roc_higher0^200|smi_d_neutral^160^112^144^25.0^-25.0^SMA&rvi_crossover_signal^20^12|smacd_crossover_signal^200^480^220&aroon_diff_crossunder0^59|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,86.828,434.908,5.091,8.622,8.612,85.431,50.44,2.64,0.231,184.0,50.543,2.007,51.367,18.4,rsi_overbought^130^50|smi_d_neutral^160^112^144^25.0^-25.0^SMA&price_crossover_ema^12|rvi_crossover_signal^18^13&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,86.898,435.447,7.826,7.813,7.593,55.642,55.731,2.917,0.72,78.0,51.282,2.508,51.972,7.8,ema_fast_higher_slow^45^81|smi_d_neutral^160^112^144^25.0^-25.0^SMA&rvi_crossover_signal^18^13|roc_crossover0^55&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,86.915,435.579,5.345,8.51,8.671,81.493,51.184,2.679,0.302,152.0,50.0,2.05,51.362,15.2,roc_higher0^110|smi_d_neutral^160^112^144^25.0^-25.0^SMA&rvi_crossover_signal^20^12|smacd_crossover_signal_3^220^308^154&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-18,86.953,435.866,4.996,8.925,8.872,87.237,48.837,2.556,0.222,171.0,50.292,2.204,51.569,17.1,rsi_overbought^130^50|smi_d_neutral^160^112^144^25.0^-25.0^SMA&rvi_crossover_signal^20^12|smacd_crossover_signal_2^220^352^198&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,86.957,435.897,5.182,8.803,9.034,84.118,49.517,2.592,0.314,130.0,54.615,1.903,51.307,13.0,stoch_d_neutral^210^168^147^80^20|smi_neutral^170^153^30.0^-30.0^SMA&second_wave_trend_2^6|smacd_histogram_start_increase_2^230^322^184&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.0
