total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-38.18,30.311,1.49,386.0,44.457,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossover_ema^20|rvi_crossover_signal^90^63&roc_crossunder0^59|trailing_stop^34^1.5
-34.569,29.974,1.579,387.0,40.909,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossover_ema^20|rvi_crossover_signal^100^80&roc_crossunder0^59|trailing_stop^34^1.5
-34.087,30.366,1.544,382.0,39.087,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossover_ema^20|roc_crossover0^40&roc_crossunder0^59|trailing_stop^34^1.5
-30.654,36.07,1.226,341.0,36.506,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossover_ema^20|rvi_crossover_signal^90^63&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-29.435,36.55,1.206,342.0,33.831,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossover_ema^20|roc_crossover0^40&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-28.813,30.4,1.659,375.0,36.043,convexity_higher1^16^EMA|convexity_higher1^6^SMA&price_crossover_ema^20|roc_crossover0^40&roc_crossunder0^59|trailing_stop^34^1.5
-28.617,31.903,1.545,373.0,37.351,kc_neutral^55.0^66.0^2.6999999999999997|convexity_higher1^16^EMA&price_crossover_ema^20|emacd_histogram_start_increase^130^364^104&roc_crossunder0^59|trailing_stop^34^1.5
-28.576,31.467,1.569,375.0,37.043,kc_neutral^55.0^66.0^2.6999999999999997|convexity_higher1^16^EMA&price_crossover_ema^20|rvi_crossover_signal^90^63&roc_crossunder0^59|trailing_stop^34^1.5
-28.431,31.72,1.561,372.0,37.176,kc_neutral^55.0^66.0^2.6999999999999997|convexity_higher1^16^EMA&price_crossover_ema^20|emacd_histogram_start_increase^150^360^90&roc_crossunder0^59|trailing_stop^34^1.5
-28.195,30.789,1.646,380.0,36.51,convexity_higher1^16^EMA|convexity_higher1^6^SMA&price_crossover_ema^20|rvi_crossover_signal^100^80&roc_crossunder0^59|trailing_stop^34^1.5
-27.682,31.892,1.558,370.0,36.375,price_higher_ema^20|convexity_higher1^16^EMA&price_crossover_ema^20|price_crossover_sma_2^45&roc_crossunder0^59|trailing_stop^34^1.5
-27.523,31.135,1.615,379.0,34.702,kc_neutral^55.0^66.0^2.6999999999999997|convexity_higher1^16^EMA&price_crossover_ema^20|roc_crossover0^40&roc_crossunder0^59|trailing_stop^34^1.5
-27.339,32.703,1.516,370.0,36.097,convexity_higher1^16^EMA|convexity_higher1^6^SMA&price_crossover_ema^20|emacd_histogram_start_increase^130^364^104&roc_crossunder0^59|trailing_stop^34^1.5
-27.056,31.053,1.632,380.0,35.574,kc_neutral^55.0^66.0^2.6999999999999997|convexity_higher1^16^EMA&price_crossover_ema^20|rvi_crossover_signal^100^80&roc_crossunder0^59|trailing_stop^34^1.5
-26.364,32.964,1.494,361.0,33.559,kc_neutral^55.0^66.0^2.6999999999999997|convexity_higher1^16^EMA&price_crossover_ema^20|second_wave_trend_2^220&roc_crossunder0^59|trailing_stop^34^1.5
-26.26,31.267,1.622,371.0,32.782,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossover_ema^20|roc_crossover0^30&roc_crossunder0^59|trailing_stop^34^1.5
-25.235,30.728,1.68,371.0,33.659,kc_neutral^55.0^66.0^2.6999999999999997|convexity_higher1^16^EMA&price_crossover_ema^20|rsi_fast_crossover_slow^30^48&roc_crossunder0^59|trailing_stop^34^1.5
-25.138,30.245,1.717,367.0,34.335,kc_neutral^55.0^66.0^2.6999999999999997|convexity_higher1^16^EMA&price_crossover_ema^20|smacd_start_increase^120^312&roc_crossunder0^59|trailing_stop^34^1.5
-24.783,34.985,1.381,323.0,32.426,convexity_higher1^16^EMA|convexity_higher1^6^SMA&price_crossover_ema^20|rvi_crossover_signal^100^80&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
