开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-18,15.003,45.508,2.464,3.928,2.241,18.469,11.585,0.606,0.204,87.0,50.575,1.837,51.638,8.7,tsi_overbought^16^5^0.0^SMA|rvi_overbought^70^0.0^SMA&price_crossover_ema^20|smi_d_crossover0^170^68^119^EMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.003,45.507,2.582,4.129,2.331,17.626,11.023,0.577,0.169,94.0,54.255,1.616,50.48,9.4,tsi_overbought^16^5^0.0^SMA|rvi_overbought^70^0.0^SMA&price_crossover_ema^20|sma_fast_crossover_slow^110^264&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.011,45.535,3.489,3.507,2.199,13.052,12.982,0.68,0.163,99.0,53.535,1.563,49.573,9.9,smacd_increase^16^42|tsi_higher_signal^55^39^33^EMA&price_crossover_ema^20|ma_atr_long_signal^12.0^14.0^2.1999999999999997&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.013,45.539,7.55,2.65,2.243,6.032,17.184,0.899,0.789,60.0,50.0,1.783,50.194,6.0,rvi_overbought^70^0.0^SMA|convexity_higher1^6^SMA&roc_crossover0^30|emacd_crossover_signal^230^414^276&aroon_diff_crossunder0^89|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.018,45.557,3.658,3.371,1.742,12.453,13.513,0.707,0.177,92.0,53.261,1.557,51.03,9.2,trix_higher0^6|tsi_higher_signal^55^39^33^EMA&mass_crossover1^90^27|price_crossover_ema^20&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.023,45.574,3.441,3.672,2.423,13.244,12.41,0.65,0.18,82.0,56.098,1.745,49.483,8.2,smacd_increase^16^42|kdj_k_higher_d^60^48^42&price_crossover_ema^20|smacd_start_increase^140^364&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.025,45.581,5.591,2.64,1.997,8.153,17.268,0.904,0.507,67.0,46.269,2.077,49.685,6.7,emacd_higher_signal^35^56^24|trix_higher0^6&price_crossover_ema^20|trix_crossover_signal^150^180&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.029,45.595,4.669,2.965,2.18,9.766,15.379,0.805,0.269,102.0,45.098,2.098,50.056,10.2,trix_higher0^6|stoch_k_overbought^20^16^50&price_crossover_ema^20|rvi_crossover0^230^SMA&aroon_diff_crossunder0^109|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.037,45.621,3.216,3.799,2.291,14.186,12.01,0.629,0.271,78.0,46.154,2.26,51.659,7.8,sma_fast_higher_slow^25^35|trix_higher0^6&price_crossover_ema^20|rsi_fast_crossover_slow^30^48&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.041,45.637,2.348,4.122,2.326,19.437,11.072,0.58,0.169,95.0,53.684,1.618,51.331,9.5,tsi_overbought^16^5^0.0^SMA|rvi_overbought^70^0.0^SMA&price_crossover_ema^20|emacd_crossover_signal^210^420^294&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
