开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-01 23:00:00,2026-06-18,17.343,53.586,2.929,5.143,2.772,18.294,10.419,0.545,0.328,42.0,50.0,3.264,52.661,4.2,kc_neutral^55.0^66.0^2.6999999999999997|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|stoch_k_crossover_d_2^210^147^105^15&aroon_diff_crossunder0^89|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.348,53.605,2.179,5.338,2.552,24.603,10.042,0.526,0.362,30.0,53.333,4.003,53.446,3.0,rvi_overbought^70^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|stoch_k_crossover_d_2^210^147^105^15&trailing_stop^34^1.5|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,17.363,53.658,3.604,3.906,2.529,14.887,13.737,0.719,0.196,93.0,51.613,1.902,50.755,9.3,trix_higher0^6|stoch_d_overbought^17^14^5^50&price_crossover_ema^20|sma_fast_crossover_slow_2^110^220&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.373,53.691,3.682,3.99,2.699,14.583,13.457,0.704,0.17,106.0,52.83,1.668,50.127,10.6,trix_higher0^6|stoch_d_overbought^17^14^5^50&price_crossover_ema^20|sma_fast_crossover_slow_3^130^234&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.389,53.748,3.705,3.703,2.495,14.506,14.513,0.76,0.179,118.0,51.695,1.701,50.108,11.8,trix_higher0^6|stoch_k_overbought^20^16^50&adx_plus_crossover_minus^90|price_crossover_ema^20&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.41,53.823,3.462,3.865,2.565,15.545,13.926,0.729,0.169,116.0,50.0,1.834,50.895,11.6,trix_higher0^6|stoch_k_overbought^20^16^50&price_crossover_ema^20|rsi_fast_crossover_slow^25^60&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.46,53.999,2.811,3.669,2.34,19.208,14.716,0.77,0.781,32.0,53.125,2.629,50.183,3.2,stoch_d_overbought^17^14^5^50|skew_negative^25^EMA&aroon_diff_crossover0^50|smi_d_crossover0^170^68^119^EMA&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,17.486,54.088,3.652,4.304,3.061,14.812,12.566,0.658,0.92,30.0,56.667,2.988,50.47,3.0,price_higher_sma^20|stoch_k_neutral^250^125^60^40&roc_crossover0^40|trix_crossover0^230&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,17.495,54.122,3.41,4.275,2.403,15.873,12.661,0.663,0.158,86.0,55.814,1.72,51.121,8.6,trix_higher0^6|tsi_higher_signal^55^39^33^EMA&price_crossover_ema^20|ma_atr_long_signal^12.0^14.0^2.1999999999999997&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.5,54.138,2.39,4.475,2.758,22.649,12.099,0.633,0.217,93.0,51.613,1.816,51.061,9.3,tsi_overbought^16^5^0.0^SMA|rvi_overbought^70^0.0^SMA&price_crossover_ema^20|sma_fast_crossover_slow_3^130^234&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
