datetime,open,high,low,close,volume,roc_higher0^18|kdj_d_neutral^8^2^2^60^40&price_crossover_sma^60|stoch_k_crossover_d_2^240^168^72^15&aroon_diff_crossunder0^89|trailing_stop^34^3.5,kdj_d_neutral^8^2^2^60^40|rvi_neutral^50^5.0^-5.0^SMA&rvi_crossover_signal^100^80|price_crossover_sma^60&aroon_diff_crossunder0^89|trailing_stop^34^3.5,price_higher_sma^20|stoch_k_neutral^250^125^60^40&roc_crossover0^40|trix_crossover0^230&trailing_stop^34^3.0|trailing_stop^34^3.5,aroon_diff_higher0^25|tsi_neutral^30^27^5.0^-5.0^SMA&roc_crossover0^30|emacd_histogram_start_increase^130^364^104&aroon_diff_crossunder0^89|trailing_stop^34^3.5,price_higher_sma^20|rvi_signal_neutral^8^2^10.0^-10.0^EMA&roc_crossover0^40|trix_crossover0^120&trailing_stop^34^3.0|trailing_stop^34^3.5,kc_neutral^55.0^66.0^2.6999999999999997|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|stoch_k_crossover_d_2^210^147^105^15&aroon_diff_crossunder0^89|trailing_stop^34^1.5,trix_higher0^6|stoch_k_overbought^20^16^50&adx_plus_crossover_minus^90|price_crossover_ema^20&bb_price_crossunder_high^34^2|trailing_stop^34^1.5,stoch_d_overbought^17^14^5^50|skew_negative^25^EMA&aroon_diff_crossover0^50|smi_d_crossover0^170^68^119^EMA&trailing_stop^34^3.0|trailing_stop^34^3.5,trix_increase^80|rvi_overbought^70^0.0^SMA&emacd_histogram_start_increase^150^360^90|smacd_start_increase^140^364&trailing_stop^34^1.5|trailing_stop^34^3.5,tsi_overbought^16^5^0.0^SMA|rvi_overbought^70^0.0^SMA&price_crossover_ema^20|sma_fast_crossover_slow_3^130^234&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5,aroon_diff_higher0^16|tsi_neutral^30^27^5.0^-5.0^SMA&price_crossover_ema^20|price_crossover_ema^25&aroon_diff_crossunder0^89|trailing_stop^34^3.0,smacd_increase^8^11|stoch_k_neutral^250^125^60^40&emacd_start_increase^60^84|bb_price_crossover_high^25.0^3.8999999999999995&trailing_stop^34^3.0|trailing_stop^34^3.5,kdj_k_overbought^26^10^50|skew_negative^25^EMA&aroon_diff_crossover0^50|bb_price_crossover_low_2^55.0^1.9&trailing_stop^34^3.0|trailing_stop^34^3.5,ema_fast_higher_slow^6^8|stoch_k_overbought^20^16^50&price_crossover_ema^20|trix_crossover_signal^150^180&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5,rvi_overbought^70^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|stoch_k_crossover_d_2^210^147^105^15&trailing_stop^34^1.5|trailing_stop^34^3.5,trix_higher0^6|rvi_signal_overbought^23^7^0.0^SMA&price_crossover_ema^20|ma_atr_long_signal^18.0^22.0^2.8&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5,kdj_k_overbought^26^10^50|skew_negative^20^EMA&aroon_diff_crossover0^50|sma_fast_crossover_slow^110^264&trailing_stop^34^3.0|trailing_stop^34^3.5,stoch_k_higher_d^60^48^30|rvi_neutral^29^5.0^-5.0^EMA&roc_crossover0^30|smacd_histogram_start_increase^100^240^100&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,4816.0,4880.0,4728.2,4760.3,8499.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-01 23:15:00,4760.5,4780.9,4705.3,4745.0,5006.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-01 23:30:00,4744.0,4806.0,4731.7,4793.5,4048.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-01 23:45:00,4793.8,4796.5,4741.0,4764.7,3510.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 00:00:00,4765.6,4867.9,4763.3,4866.1,4170.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 00:15:00,4867.3,4905.6,4847.7,4867.1,4368.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 00:30:00,4868.4,4871.5,4819.0,4829.5,3387.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 00:45:00,4828.5,4833.0,4783.3,4790.6,3489.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 01:00:00,4791.3,4809.2,4604.3,4667.7,13698.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 01:15:00,4668.9,4734.9,4664.1,4719.8,7603.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 01:30:00,4718.5,4762.0,4686.1,4736.8,4358.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 01:45:00,4739.0,4773.9,4726.0,4764.8,3225.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 02:00:00,4758.7,4774.8,4721.1,4756.9,3480.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 02:15:00,4758.1,4771.8,4739.1,4763.6,2687.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 02:30:00,4763.5,4797.0,4758.9,4788.5,2603.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
