total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-34.576,30.079,1.582,379.0,37.398,rsi_neutral^23^75^25|convexity_higher1^12^EMA&price_crossover_ema^30|mass_crossover1^20^14&roc_crossunder0^59|trailing_stop^34^1.5
-33.723,35.854,1.201,357.0,36.715,tsi_neutral^190^133^25.0^-25.0^SMA|convexity_higher1^12^EMA&price_crossover_ema^30|mass_crossover1^20^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-32.952,30.159,1.602,378.0,35.844,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^30|mass_crossover1^20^14&roc_crossunder0^59|trailing_stop^34^1.5
-32.63,35.775,1.222,355.0,35.672,rsi_neutral^23^75^25|convexity_higher1^12^EMA&price_crossover_ema^30|mass_crossover1^20^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-31.95,30.108,1.602,372.0,34.777,bb_neutral^80.0^2.8999999999999995|tsi_neutral^190^133^25.0^-25.0^SMA&price_crossover_ema^30|mass_crossover1^20^14&roc_crossunder0^59|trailing_stop^34^1.5
-31.006,35.876,1.238,354.0,34.121,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^30|mass_crossover1^20^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-30.818,30.189,1.621,371.0,33.692,bb_neutral^80.0^2.8999999999999995|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|mass_crossover1^20^14&roc_crossunder0^59|trailing_stop^34^1.5
-30.535,31.016,1.563,374.0,33.58,rsi_neutral^23^75^25|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6&roc_crossunder0^59|trailing_stop^34^1.5
-30.535,31.016,1.563,374.0,33.58,tsi_neutral^190^133^25.0^-25.0^SMA|rsi_neutral^23^75^25&price_crossover_ema^30|second_wave_trend_2^6&roc_crossunder0^59|trailing_stop^34^1.5
-30.535,31.016,1.563,374.0,33.58,tsi_neutral^190^133^25.0^-25.0^SMA|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6&roc_crossunder0^59|trailing_stop^34^1.5
-29.817,35.92,1.241,348.0,32.28,bb_neutral^80.0^2.8999999999999995|convexity_higher1^12^EMA&price_crossover_ema^30|mass_crossover1^20^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
