开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-18,15.001,45.499,2.462,4.051,2.868,18.484,11.232,0.588,0.748,31.0,61.29,2.281,48.585,3.1,stoch_k_higher_d^150^45^135|rvi_overbought^40^0.0^EMA&emacd_start_increase^120^288|emacd_crossover_signal^80^176^48&aroon_diff_crossunder0^59|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.002,45.504,4.053,2.695,2.212,11.226,16.885,0.884,0.458,82.0,45.122,2.021,49.207,8.2,supertrend_long_period^10.0^2.6999999999999997|mass_lower1^35^25&price_crossover_sma_2^30|mass_crossunder1^70^35&trailing_stop^34^2.5|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.005,45.515,4.235,3.351,1.867,10.748,13.585,0.711,0.716,26.0,57.692,2.419,50.0,2.6,smi_overbought^8^4^0.0^SMA|rsi_neutral^11^60^40&emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.005,45.512,6.394,2.902,2.512,7.117,15.682,0.821,0.569,83.0,49.398,1.712,49.32,8.3,rvi_signal_overbought^26^13^0.0^EMA|kdj_k_neutral^8^2^85^15&second_wave_trend_2^6|smi_k_crossover_d^80^56^24&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.006,45.517,6.866,2.614,2.472,6.629,17.41,0.911,0.539,90.0,46.667,1.772,49.023,9.0,rvi_higher_signal^70^63|smi_overbought^8^4^0.0^SMA&price_crossover_sma_2^30|smacd_crossover_signal_3^170^272^238&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.007,45.519,5.043,3.797,2.684,9.026,11.989,0.628,0.511,64.0,50.0,2.015,49.953,6.4,tsi_neutral^190^133^25.0^-25.0^SMA|rvi_neutral^29^35.0^-35.0^EMA&mass_crossunder1^80^32|smacd_crossover_signal_2^190^380^190&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.007,45.519,5.043,3.797,2.684,9.026,11.989,0.628,0.511,64.0,50.0,2.015,49.953,6.4,bb_neutral^80.0^2.8999999999999995|tsi_neutral^190^133^25.0^-25.0^SMA&mass_crossunder1^80^32|smacd_crossover_signal_2^190^380^190&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.008,45.523,4.082,2.63,2.536,11.152,17.309,0.906,0.319,161.0,45.963,1.703,49.181,16.1,smi_d_overbought^8^2^4^0.0^SMA|smi_d_neutral^100^90^90^30.0^-30.0^EMA&second_wave_trend_2^6|roc_crossover0^25&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-18,15.008,45.523,4.233,2.621,2.269,10.754,17.369,0.909,0.351,118.0,45.763,1.801,49.613,11.8,supertrend_long_period^10.0^2.6999999999999997|kc_neutral^60.0^24.0^1.9&second_wave_trend_2^6|roc_crossover0^25&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.008,45.522,3.892,3.523,2.477,11.696,12.92,0.676,0.668,48.0,52.083,2.032,49.452,4.8,stoch_k_overbought^50^15^50|tsi_neutral^190^133^25.0^-25.0^SMA&trix_start_increase^90|stoch_d_crossover50^230^92^115&aroon_diff_crossunder0^59|trailing_stop^34^3.0
