开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-01 23:00:00,2026-06-18,23.891,77.674,2.697,5.415,4.128,28.804,14.344,0.751,0.708,41.0,68.293,2.162,49.974,4.1,rvi_signal_neutral^50^45^10.0^-10.0^SMA|mass_higher1^150^60&mass_crossunder1^80^32|emacd_crossover_signal^80^176^48&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,23.903,77.719,3.585,4.215,3.946,21.677,18.44,0.965,0.564,89.0,51.685,1.856,49.498,8.9,emacd_increase^35^56|convexity_higher1^12^EMA&second_wave_trend_2^6|stoch_k_crossover_d^80^48^72&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,23.907,77.735,3.093,5.151,4.15,25.136,15.091,0.79,0.673,49.0,53.061,3.54,50.139,4.9,price_higher_sma^60|skew_negative^180^EMA&emacd_start_increase^120^288|sma_fast_crossover_slow^140^364&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,23.926,77.809,2.156,5.752,4.044,36.093,13.528,0.708,0.6,38.0,57.895,3.823,49.565,3.8,tsi_neutral^190^133^25.0^-25.0^SMA|tsi_neutral^12^4^15.0^-15.0^EMA&emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,23.927,77.813,3.628,4.648,3.742,21.449,16.742,0.876,0.774,49.0,51.02,2.636,49.155,4.9,smi_overbought^8^4^0.0^SMA|bb_neutral^8.0^1.9&stoch_k_crossover_d^80^48^72|smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,23.928,77.818,3.4,5.018,4.147,22.887,15.508,0.812,0.821,43.0,58.14,2.714,49.935,4.3,kdj_d_neutral^11^4^8^70^30|mass_higher1^150^60&second_wave_trend_2^6|emacd_start_increase^120^288&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,23.94,77.863,2.461,5.124,4.011,31.635,15.195,0.795,0.591,53.0,52.83,3.312,50.488,5.3,rvi_higher_signal^70^63|rvi_signal_neutral^250^200^10.0^-10.0^SMA&stoch_k_crossover_d^80^48^72|smi_k_crossover_d_2^60^48^42^15&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,23.967,77.969,2.856,5.056,4.139,27.304,15.421,0.807,0.825,41.0,58.537,2.671,49.571,4.1,rvi_signal_overbought^26^13^0.0^EMA|mass_higher1^150^60&trix_crossover0^10|kdj_k_crossover_d^80^72^72&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,23.975,77.996,3.282,5.245,4.245,23.768,14.87,0.778,0.589,71.0,53.521,2.158,50.164,7.1,kdj_k_neutral^8^2^85^15|kdj_d_neutral^11^4^8^70^30&second_wave_trend_2^6|kdj_k_crossover_d^80^72^72&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,23.979,78.012,2.431,5.726,4.1,32.085,13.624,0.713,1.249,18.0,88.889,18.087,50.747,1.8,emacd_increase^35^56|mass_higher1^150^60&second_wave_trend_1^60|stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,23.985,78.038,2.921,5.467,4.038,26.719,14.273,0.747,0.629,43.0,60.465,3.016,50.791,4.3,rvi_higher_signal^55^50|rvi_signal_neutral^250^200^10.0^-10.0^SMA&stoch_k_crossover_d^80^48^72|smacd_crossover_signal_2^190^380^190&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,23.989,78.052,3.12,4.781,3.989,25.016,16.324,0.854,0.734,52.0,55.769,2.464,49.66,5.2,stoch_k_higher_d^40^24^28|adx_higher_threshold^50.0^10.0&emacd_start_increase^120^288|kdj_k_crossover_d^80^72^72&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,23.99,78.055,2.032,5.317,4.143,38.415,14.681,0.768,1.0,29.0,68.966,3.546,49.631,2.9,mass_higher1^150^60|convexity_higher1^12^EMA&stoch_k_crossover_d^80^48^72|kdj_k_crossover_d^80^72^72&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,23.996,78.079,3.013,5.03,4.084,25.911,15.523,0.813,0.565,60.0,55.0,2.198,50.023,6.0,smi_d_neutral^100^90^90^30.0^-30.0^EMA|convexity_higher1^12^EMA&stoch_k_crossover_d^80^48^72|smacd_crossover_signal_2^190^380^190&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,24.01,78.133,3.903,5.274,3.62,20.017,14.816,0.776,0.932,29.0,65.517,2.616,50.933,2.9,smi_d_overbought^8^2^4^0.0^SMA|kc_neutral^60.0^24.0^1.9&smi_k_crossover_d^80^56^24|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,24.028,78.201,3.108,5.08,3.639,25.16,15.395,0.806,0.878,31.0,58.065,3.591,50.14,3.1,smacd_increase^30^78|stoch_d_neutral^26^23^18^55^45&sma_fast_crossover_slow_3^25^45|tsi_crossover0^210^126^SMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,24.029,78.206,4.006,4.898,3.87,19.523,15.966,0.836,0.703,47.0,55.319,2.698,49.861,4.7,bb_neutral^80.0^2.8999999999999995|stoch_d_neutral^26^23^18^55^45&sma_fast_crossover_slow_3^25^45|stoch_k_crossover_d^80^48^72&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,24.033,78.224,3.225,5.05,3.813,24.257,15.49,0.811,0.651,49.0,53.061,2.726,49.521,4.9,tsi_neutral^12^4^15.0^-15.0^EMA|rsi_neutral^23^75^25&emacd_start_increase^120^288|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,24.037,78.237,2.05,5.536,4.329,38.166,14.133,0.74,0.921,29.0,72.414,2.462,49.228,2.9,kc_neutral^80.0^32.0^3.6999999999999993|mass_higher1^150^60&tsi_crossover_signal^150^105^45^EMA|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,24.041,78.251,2.689,5.284,4.194,29.104,14.808,0.775,0.859,37.0,62.162,2.623,49.255,3.7,smacd_increase^30^78|adx_higher_threshold^50.0^10.0&emacd_crossover_signal^70^182^42|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,24.048,78.281,3.671,4.48,4.045,21.323,17.475,0.915,0.558,80.0,50.0,1.992,49.144,8.0,bb_neutral^80.0^2.8999999999999995|convexity_higher1^12^EMA&mass_crossover1^160^48|stoch_k_crossover_d^80^48^72&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,24.054,78.303,3.881,4.468,4.099,20.177,17.525,0.917,0.72,68.0,52.941,2.12,49.875,6.8,kdj_d_neutral^11^4^8^70^30|adx_higher_threshold^50.0^10.0&second_wave_trend_2^6|emacd_start_increase^120^288&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,24.057,78.314,2.315,5.635,4.31,33.83,13.899,0.727,0.709,35.0,60.0,3.785,50.154,3.5,emacd_increase^35^56|smi_d_overbought^8^2^4^0.0^SMA&stoch_k_crossover_d^80^48^72|stoch_k_crossover50^250^150&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,24.084,78.42,2.115,5.217,4.1,37.081,15.031,0.787,0.752,44.0,56.818,3.282,49.562,4.4,rvi_signal_neutral^250^200^10.0^-10.0^SMA|adx_higher_threshold^50.0^10.0&stoch_k_crossover_d^80^48^72|tsi_crossover_signal^230^138^207^SMA&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,24.089,78.436,4.489,4.326,3.968,17.471,18.133,0.949,0.576,84.0,52.381,1.921,50.079,8.4,smi_d_overbought^8^2^4^0.0^SMA|rvi_signal_overbought^26^13^0.0^EMA&roc_crossover0^25|smi_k_crossover_d^80^56^24&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,24.1,78.479,4.215,4.988,3.791,18.617,15.734,0.824,0.627,56.0,57.143,2.128,49.717,5.6,aroon_diff_higher0^30|trix_higher0^12&emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,24.105,78.498,3.537,5.245,3.697,22.193,14.965,0.783,0.724,42.0,61.905,2.265,50.226,4.2,tsi_neutral^190^133^25.0^-25.0^SMA|kdj_k_neutral^8^2^85^15&stoch_k_crossover50^250^150|emacd_crossover_signal^80^176^48&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,24.108,78.513,3.91,4.685,4.144,20.079,16.758,0.877,0.545,77.0,53.247,1.907,50.91,7.7,smi_d_overbought^8^2^4^0.0^SMA|rsi_neutral^11^60^40&rvi_crossover0^26^SMA|tsi_crossover_signal^150^105^45^EMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
