开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-19 16:45:00,26.813,87.662,3.416,5.63,4.22,25.66,15.569,0.815,0.758,43.0,62.791,2.132,49.441,4.3,bb_neutral^80.0^2.8999999999999995|stoch_k_neutral^17^7^75^25&emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,30.195,101.22,3.044,5.432,5.369,33.256,18.635,0.975,0.522,107.0,52.336,2.015,50.517,10.7,smi_d_overbought^8^2^4^0.0^SMA|stoch_k_neutral^17^7^75^25&second_wave_trend_2^6|rvi_crossover0^26^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,23.539,75.094,2.032,5.135,3.982,36.958,14.625,0.765,0.968,30.0,66.667,3.489,49.529,3.0,mass_higher1^150^60|convexity_higher1^12^EMA&stoch_k_crossover_d^80^48^72|kdj_k_crossover_d^80^72^72&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,23.589,75.283,2.557,5.383,4.042,29.442,13.987,0.732,0.735,35.0,62.857,2.83,49.055,3.5,tsi_neutral^12^4^15.0^-15.0^EMA|rsi_neutral^11^60^40&emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,26.864,87.864,3.023,6.08,4.943,29.061,14.452,0.756,0.641,62.0,58.065,2.216,50.478,6.2,smi_overbought^8^4^0.0^SMA|kdj_d_neutral^11^4^8^70^30&second_wave_trend_2^6|stoch_k_crossover_d^80^48^72&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,28.697,95.141,3.117,5.511,5.297,30.528,17.265,0.904,0.745,68.0,51.471,2.365,50.225,6.8,tsi_neutral^12^4^15.0^-15.0^EMA|smi_d_neutral^100^90^90^30.0^-30.0^EMA&second_wave_trend_2^6|stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,28.243,93.323,3.542,6.137,5.193,26.347,15.207,0.796,0.739,58.0,53.448,2.394,50.55,5.8,rvi_higher_signal^55^50|kdj_d_neutral^11^4^8^70^30&second_wave_trend_2^6|stoch_k_crossover_d^80^48^72&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,24.19,77.549,2.342,5.241,4.163,33.111,14.798,0.775,0.853,35.0,54.286,3.753,49.847,3.5,rvi_higher_signal^70^63|smi_d_overbought^8^2^4^0.0^SMA&stoch_k_crossover_d^80^48^72|smacd_crossover_signal_2^190^380^190&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,23.415,74.629,2.058,6.005,4.565,36.27,12.428,0.651,0.69,48.0,56.25,2.838,50.527,4.8,price_higher_ema^45|smi_overbought^8^4^0.0^SMA&mass_crossunder1^70^35|smi_k_crossover_d^80^56^24&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,27.522,90.456,3.394,5.775,4.365,26.655,15.663,0.82,0.754,44.0,63.636,2.095,49.45,4.4,rsi_neutral^23^75^25|stoch_k_neutral^17^7^75^25&emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,30.193,101.211,3.111,5.531,5.34,32.532,18.298,0.958,0.707,75.0,50.667,2.313,50.53,7.5,bb_neutral^80.0^2.8999999999999995|tsi_neutral^12^4^15.0^-15.0^EMA&second_wave_trend_2^6|stoch_k_crossover_d^80^48^72&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,23.908,76.484,2.035,5.531,4.138,37.59,13.828,0.724,1.064,24.0,75.0,2.649,50.357,2.4,smi_d_neutral^100^90^90^30.0^-30.0^EMA|mass_higher1^150^60&stoch_k_crossover_d^80^48^72|smacd_crossover_signal_2^190^380^190&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,30.124,100.927,3.337,5.436,5.378,30.244,18.565,0.972,0.528,99.0,49.495,2.432,49.666,9.9,emacd_increase^35^56|smi_d_overbought^8^2^4^0.0^SMA&price_crossover_sma_2^30|stoch_k_crossover_d^80^48^72&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,24.802,79.88,2.44,5.373,4.446,32.732,14.868,0.778,1.02,32.0,68.75,2.433,49.581,3.2,mass_higher1^180^54|convexity_higher1^12^EMA&stoch_k_crossover_d^80^48^72|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,26.711,87.262,3.549,5.769,4.1,24.59,15.127,0.792,0.827,39.0,61.538,2.559,50.683,3.9,stoch_k_higher_d^40^24^28|kc_neutral^60.0^24.0^1.9&kdj_k_crossover_d^80^72^72|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,27.545,90.545,3.394,5.819,4.338,26.681,15.561,0.815,0.72,45.0,62.222,2.264,49.602,4.5,tsi_neutral^190^133^25.0^-25.0^SMA|stoch_k_neutral^17^7^75^25&emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,25.103,81.032,2.594,5.768,4.923,31.239,14.049,0.735,0.718,56.0,51.786,2.867,49.169,5.6,rsi_overbought^23^50|convexity_higher1^12^EMA&smacd_histogram_start_increase_2^200^440^260|smi_k_crossover_d_2^60^48^42^15&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,24.144,77.377,2.375,5.003,4.055,32.583,15.465,0.81,0.775,43.0,55.814,2.823,50.0,4.3,emacd_increase^35^56|convexity_higher1^12^EMA&stoch_k_crossover_d^80^48^72|smacd_crossover_signal_2^190^380^190&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,24.166,77.458,2.26,5.384,4.376,34.274,14.387,0.753,0.991,30.0,70.0,2.164,48.901,3.0,bb_neutral^80.0^2.8999999999999995|mass_higher1^150^60&emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,24.466,78.598,2.821,5.141,3.68,27.857,15.289,0.8,0.795,35.0,54.286,3.993,50.382,3.5,smacd_increase^30^78|stoch_d_neutral^26^23^18^55^45&sma_fast_crossover_slow_3^25^45|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^109|trailing_stop^34^3.0
