total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-38.484,33.451,1.468,284.0,45.308,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^160^128|price_crossover_ema^80&roc_crossunder0^89|trailing_stop^34^1.5
-34.046,34.043,1.488,282.0,40.266,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^230^92|rsi_crossover50^40&roc_crossunder0^89|trailing_stop^34^1.5
-31.029,35.714,1.416,294.0,40.431,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^160^128|price_crossover_ema^80&roc_crossunder0^59|trailing_stop^34^1.5
-30.358,35.154,1.461,293.0,39.951,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^160^128|price_crossover_ema^70&roc_crossunder0^59|trailing_stop^34^1.5
-27.998,36.486,1.405,296.0,37.783,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^230^92|rsi_crossover50^40&roc_crossunder0^59|trailing_stop^34^1.5
-26.237,36.177,1.442,293.0,36.354,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^230^92|price_crossover_ema^70&roc_crossunder0^59|trailing_stop^34^1.5
-25.159,36.949,1.406,295.0,35.416,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^230^92|price_crossover_ema^80&roc_crossunder0^59|trailing_stop^34^1.5
-24.853,31.418,1.799,261.0,35.097,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^230^92|smacd_histogram_start_increase^150^420^120&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-23.75,39.015,1.289,264.0,32.558,bb_neutral^30.0^3.6999999999999993|convexity_higher1^6^SMA&price_crossover_ema^80|emacd_start_increase^130^182&roc_crossunder0^59|trailing_stop^34^1.5
-23.452,46.277,0.959,188.0,35.405,bb_neutral^30.0^3.6999999999999993|convexity_higher1^6^SMA&price_crossover_ema^70|emacd_start_increase^130^182&bb_price_crossunder_high^34^2|trailing_stop^34^2.5
-23.366,46.561,0.949,189.0,35.324,convexity_higher1^14^SMA|convexity_higher1^6^SMA&price_crossover_ema^70|emacd_start_increase^130^182&bb_price_crossunder_high^34^2|trailing_stop^34^2.5
-23.096,36.525,1.455,282.0,34.982,convexity_higher1^14^SMA|convexity_higher1^6^SMA&rvi_crossover_signal^160^128|rsi_crossover50^40&roc_crossunder0^59|trailing_stop^34^1.5
-22.733,42.381,1.134,210.0,33.603,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&price_crossover_ema^70|emacd_start_increase^130^182&bb_price_crossunder_high^34^2|trailing_stop^34^2.0
-22.376,35.273,1.556,275.0,33.731,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^160^128|price_crossover_ema^80&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-22.171,37.906,1.375,277.0,31.599,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rsi_crossover50^40|emacd_start_increase^130^182&roc_crossunder0^59|trailing_stop^34^1.5
-21.095,35.74,1.543,277.0,32.091,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^160^128|price_crossover_ema^70&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-20.728,42.056,1.17,214.0,37.424,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&price_crossover_ema^70|smacd_histogram_start_increase^150^420^120&bb_price_crossunder_high^34^2|trailing_stop^34^2.0
-20.524,38.406,1.361,276.0,30.747,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&price_crossover_ema^80|emacd_start_increase^130^182&roc_crossunder0^59|trailing_stop^34^1.5
-20.462,33.462,1.715,260.0,31.806,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^230^92|price_crossover_ema^70&aroon_diff_crossunder0^59|trailing_stop^34^1.5
-20.291,51.205,0.814,166.0,42.251,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&price_crossover_ema^70|smacd_histogram_start_increase^110^220^99&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
-20.113,36.299,1.503,281.0,30.79,convexity_higher1^14^SMA|convexity_higher1^6^SMA&rvi_crossover_signal^160^128|price_crossover_ema^70&roc_crossunder0^59|trailing_stop^34^1.5
-19.87,36.029,1.505,272.0,29.203,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^230^92|price_crossover_sma^140&roc_crossunder0^59|trailing_stop^34^1.5
-19.382,36.742,1.455,264.0,25.15,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&price_crossover_ema^70|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^1.5
-18.935,45.361,1.042,194.0,32.662,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&price_crossover_ema^70|smacd_histogram_start_increase^110^220^99&bb_price_crossunder_high^34^2|trailing_stop^34^2.5
-18.904,43.902,1.096,205.0,28.858,bb_neutral^30.0^3.6999999999999993|convexity_higher1^6^SMA&price_crossover_ema^70|emacd_start_increase^130^182&bb_price_crossunder_high^34^2|trailing_stop^34^2.0
-18.456,47.778,0.946,180.0,34.925,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&price_crossover_ema^70|smacd_histogram_start_increase^110^220^99&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
-18.455,48.864,0.897,176.0,31.047,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&price_crossover_ema^70|emacd_start_increase^130^182&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
-18.377,36.33,1.53,267.0,29.068,convexity_higher1^14^SMA|convexity_higher1^6^SMA&rvi_crossover_signal^160^128|price_crossover_ema^70&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-17.972,52.174,0.79,161.0,33.885,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&price_crossover_ema^70|emacd_start_increase^130^182&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
-17.673,37.809,1.436,283.0,31.58,convexity_higher1^14^SMA|convexity_higher1^6^SMA&rvi_crossover_signal^230^92|rsi_crossover50^40&roc_crossunder0^59|trailing_stop^34^1.5
-16.728,39.286,1.356,252.0,32.222,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&price_crossover_ema^70|emacd_start_increase^130^182&roc_crossunder0^59|trailing_stop^34^2.0
-16.68,44.949,1.062,198.0,36.949,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&price_crossover_sma^70|smacd_histogram_start_increase^150^420^120&bb_price_crossunder_high^34^2|trailing_stop^34^2.0
-16.438,37.367,1.476,281.0,28.33,convexity_higher1^14^SMA|convexity_higher1^6^SMA&rvi_crossover_signal^230^92|price_crossover_ema^70&roc_crossunder0^59|trailing_stop^34^1.5
-16.115,39.516,1.343,248.0,31.553,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&price_crossover_ema^80|emacd_start_increase^130^182&roc_crossunder0^59|trailing_stop^34^2.0
-15.774,34.909,1.662,275.0,29.481,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^230^92|price_crossover_ema^70&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-15.742,34.432,1.696,273.0,31.184,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^230^92|price_crossover_ema^80&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-15.733,38.298,1.427,282.0,31.689,convexity_higher1^14^SMA|convexity_higher1^6^SMA&rvi_crossover_signal^230^92|price_crossover_ema^80&roc_crossunder0^59|trailing_stop^34^1.5
-15.242,34.94,1.667,249.0,29.19,convexity_higher1^14^SMA|convexity_higher1^6^SMA&rvi_crossover_signal^230^92|price_crossover_ema^70&aroon_diff_crossunder0^109|trailing_stop^34^1.5
-15.234,51.572,0.836,159.0,36.963,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&price_crossover_ema^70|trix_start_increase^35&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
-14.673,50.932,0.855,161.0,36.742,bb_neutral^30.0^3.6999999999999993|convexity_higher1^6^SMA&rvi_crossover_signal^160^128|price_crossover_ema^70&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
-14.673,50.932,0.855,161.0,36.742,convexity_higher1^14^SMA|convexity_higher1^6^SMA&rvi_crossover_signal^160^128|price_crossover_ema^70&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
-14.117,55.634,0.696,142.0,39.652,price_higher_ema^20|convexity_higher1^14^SMA&price_crossover_ema^70|emacd_start_increase^130^182&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
-14.076,38.0,1.446,250.0,24.188,kc_neutral^160.0^128.0^3.8999999999999995|convexity_higher1^6^SMA&price_crossover_ema^70|emacd_start_increase^130^182&roc_crossunder0^59|trailing_stop^34^1.5
-13.996,34.63,1.697,257.0,27.645,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&price_crossover_ema^70|emacd_start_increase^110^198&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
