开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-01 23:00:00,2026-06-18,56.138,230.51,5.703,8.52,5.393,40.422,27.056,1.416,0.664,35.0,62.857,2.948,52.597,3.5,emacd_histogram_increase^90^198^81|supertrend_long_period^30.0^2.3&smacd_histogram_start_increase^110^220^99|tsi_crossover_signal^220^154^132^SMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,56.14,230.52,5.882,6.576,5.264,39.192,35.055,1.835,0.719,51.0,60.784,1.975,51.833,5.1,price_higher_ema^20|bb_neutral^30.0^3.6999999999999993&stoch_k_crossover_d^230^207^207|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,56.141,230.527,5.899,7.656,5.355,39.079,30.11,1.576,0.599,50.0,58.0,2.198,52.497,5.0,price_higher_sma^18|bb_neutral^30.0^3.6999999999999993&smi_k_crossover_d^250^150^225|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,56.144,230.542,5.663,8.259,5.299,40.711,27.915,1.461,0.58,41.0,56.098,4.272,52.892,4.1,supertrend_long_period^14.0^1.9|rvi_higher_signal^90^45&smacd_histogram_start_increase^110^220^99|bb_price_crossover_high^25.0^3.8999999999999995&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,56.146,230.555,7.817,6.535,5.599,29.495,35.279,1.847,0.497,88.0,51.136,2.032,51.154,8.8,price_higher_sma^18|rvi_higher_signal^55^50&price_crossover_sma^140|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,56.152,230.59,5.805,7.794,5.45,39.721,29.584,1.549,0.561,54.0,50.0,3.168,51.915,5.4,rvi_higher_signal^55^50|convexity_higher1^14^SMA&smacd_histogram_start_increase^110^220^99|smacd_crossover_signal_2^220^308^154&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,56.167,230.676,5.688,8.053,5.344,40.558,28.645,1.499,0.637,42.0,54.762,2.788,52.541,4.2,price_higher_ema^20|supertrend_long_period^14.0^1.9&smacd_histogram_start_increase^110^220^99|ema_fast_crossover_slow^190^494&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,56.171,230.696,7.613,7.007,5.447,30.304,32.922,1.723,0.55,70.0,52.857,2.304,51.646,7.0,convexity_higher1^14^SMA|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|smacd_crossover_signal_3^190^380^133&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,56.183,230.767,5.899,7.857,5.362,39.12,29.372,1.537,0.664,43.0,58.14,2.306,52.302,4.3,emacd_increase^50^80|rsi_fast_higher_slow^20^36&smacd_histogram_start_increase^110^220^99|ema_fast_crossover_slow^190^494&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,56.184,230.769,5.002,8.6,5.624,46.138,26.832,1.404,0.611,41.0,56.098,3.259,52.898,4.1,price_higher_ema^20|kdj_k_higher_d^8^7^2&smacd_histogram_start_increase^110^220^99|ema_fast_crossover_slow^200^480&aroon_diff_crossunder0^109|trailing_stop^34^2.5
