total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-26.912,34.722,1.137,288.0,29.06,convexity_higher1^14^EMA|convexity_higher1^8^EMA&price_crossover_ema^60|emacd_histogram_start_increase^35^98^35&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-26.882,34.237,1.16,295.0,28.815,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^25^50&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-26.877,32.281,1.262,285.0,28.267,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rvi_crossover_signal^190^76|emacd_histogram_start_increase^35^98^35&roc_crossunder0^59|trailing_stop^34^1.5
-26.554,29.181,1.455,281.0,28.923,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rvi_crossover_signal^190^76|emacd_histogram_start_increase^35^98^35&roc_crossunder0^89|trailing_stop^34^1.5
-26.372,27.698,1.581,278.0,28.311,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rvi_crossover_signal^210^84|emacd_histogram_start_increase^35^98^35&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-25.994,36.0,1.123,300.0,29.027,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.882,32.534,1.307,292.0,28.956,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14&roc_crossunder0^59|trailing_stop^34^1.5
-25.604,34.694,1.165,294.0,27.63,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^30^42&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.828,33.813,1.226,278.0,27.841,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|smacd_histogram_start_increase^160^256^192&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.794,27.881,1.599,269.0,26.179,adx_lower_threshold^160.0^15.0|convexity_higher1^14^EMA&rvi_crossover_signal^190^76|emacd_histogram_start_increase^35^98^35&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-24.701,33.333,1.227,279.0,27.08,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|smacd_histogram_start_increase_2^150^390^90&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.673,28.159,1.592,277.0,26.993,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rvi_crossover_signal^190^76|emacd_histogram_start_increase^40^64^48&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-24.66,34.164,1.223,281.0,26.46,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|second_wave_trend_2^55&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.603,38.931,1.003,262.0,27.965,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14&bb_price_crossunder_high^34^2|trailing_stop^34^2.0
-24.174,27.547,1.635,265.0,25.852,adx_lower_threshold^160.0^15.0|convexity_higher1^8^EMA&rvi_crossover_signal^190^76|emacd_histogram_start_increase^35^98^35&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-24.053,27.652,1.628,264.0,25.484,adx_lower_threshold^160.0^15.0|convexity_higher1^14^EMA&rvi_crossover_signal^210^84|emacd_histogram_start_increase^35^98^35&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-23.726,32.841,1.285,271.0,25.371,adx_lower_threshold^160.0^15.0|convexity_higher1^14^EMA&rvi_crossover_signal^190^76|emacd_histogram_start_increase^35^98^35&roc_crossunder0^59|trailing_stop^34^1.5
