开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18,15.003,45.539,3.578,3.636,3.189,12.727,12.524,0.656,0.945,55.0,45.455,2.557,40.435,5.5,stoch_d_overbought^250^150^225^50|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|smacd_histogram_start_increase_2^160^416^96&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.005,45.547,2.638,4.693,3.033,17.267,9.705,0.508,1.086,29.0,48.276,3.599,41.96,2.9,smacd_increase^80^224|smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^35^98^35|smacd_histogram_start_increase_2^160^416^96&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.008,45.557,3.565,3.829,3.261,12.78,11.899,0.623,0.743,62.0,45.161,2.472,40.491,6.2,smi_d_overbought^230^161^207^0.0^SMA|adx_lower_threshold^160.0^15.0&emacd_histogram_start_increase^40^64^48|mass_crossover1^200^140&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.009,45.562,2.099,4.656,3.334,21.703,9.786,0.512,0.646,51.0,60.784,2.073,42.131,5.1,stoch_d_overbought^250^150^225^50|atr_fast_higher_slow^20^48&emacd_histogram_start_increase^40^64^48|roc_crossover0^150&roc_crossunder0^89|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.01,45.564,2.559,3.898,3.191,17.809,11.689,0.612,0.951,52.0,46.154,2.617,40.735,5.2,emacd_increase^12^17|stoch_d_overbought^250^150^225^50&emacd_histogram_start_increase^40^64^48|roc_crossover0^150&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.012,45.57,1.67,5.344,3.929,27.294,8.528,0.446,0.596,43.0,72.093,1.51,41.542,4.3,smi_d_overbought^230^161^207^0.0^SMA|adx_lower_threshold^160.0^15.0&smacd_start_increase^90^252|second_wave_trend_1^10&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.012,45.57,3.45,4.262,3.281,13.211,10.692,0.56,0.766,54.0,48.148,2.621,41.102,5.4,trix_higher0^230|smi_overbought^230^184^0.0^SMA&emacd_histogram_start_increase^40^64^48|mass_crossover1^200^140&trailing_stop^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.015,45.58,2.973,3.874,3.182,15.334,11.765,0.616,0.875,57.0,47.368,2.408,40.793,5.7,smi_overbought^230^184^0.0^SMA|adx_lower_threshold^160.0^15.0&emacd_histogram_start_increase^40^64^48|roc_crossover0^150&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.018,45.591,2.327,5.061,3.228,19.594,9.008,0.471,0.77,31.0,54.839,3.028,43.111,3.1,smacd_increase^80^224|smi_d_overbought^230^161^207^0.0^SMA&rsi_fast_crossover_slow^25^50|second_wave_trend_1^10&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.018,45.591,2.853,5.01,3.181,15.98,9.1,0.476,0.811,33.0,57.576,2.777,41.899,3.3,smacd_increase^80^224|smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^40^64^48|price_crossover_sma_2^160&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.02,45.597,2.6,4.45,3.383,17.534,10.246,0.536,0.565,64.0,46.875,2.88,41.629,6.4,stoch_d_overbought^250^150^225^50|smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^35^98^35|smacd_histogram_start_increase^230^506^299&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.021,45.602,3.926,4.326,3.207,11.615,10.541,0.552,0.971,40.0,50.0,2.642,41.455,4.0,sma_fast_higher_slow^220^484|smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^40^64^48|bb_price_crossover_low^210.0^3.8999999999999995&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.023,45.608,3.608,3.802,3.266,12.642,11.995,0.628,0.744,63.0,46.032,2.384,40.508,6.3,smi_d_overbought^230^161^207^0.0^SMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^40^64^48|mass_crossover1^200^140&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.023,45.608,2.017,5.102,3.203,22.608,8.939,0.468,0.403,62.0,51.613,2.671,41.761,6.2,smi_d_overbought^230^161^207^0.0^SMA|bb_neutral^10.0^1.5&emacd_start_increase^60^96|price_crossover_sma_2^150&aroon_diff_crossunder0^109|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,15.024,45.613,2.282,4.297,3.343,19.992,10.616,0.556,0.758,51.0,45.098,3.301,41.806,5.1,stoch_d_overbought^250^150^225^50|atr_fast_higher_slow^25^35&emacd_histogram_start_increase^35^98^35|roc_crossover0^150&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.026,45.618,2.63,4.483,2.827,17.342,10.175,0.533,0.941,36.0,52.778,2.467,41.87,3.6,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&rvi_crossover_signal^190^76|emacd_histogram_start_increase^40^64^48&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.027,45.622,2.169,4.721,3.151,21.036,9.664,0.506,0.926,34.0,52.941,2.804,41.127,3.4,smi_d_overbought^230^161^207^0.0^SMA|kdj_k_neutral^17^8^60^40&rvi_crossover_signal^210^84|emacd_histogram_start_increase^35^98^35&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.031,45.634,1.179,5.832,3.366,38.699,7.825,0.41,0.436,44.0,61.364,2.653,42.211,4.4,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^60^96|roc_crossover0^150&roc_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,15.034,45.645,1.918,5.093,3.178,23.802,8.961,0.469,0.697,43.0,48.837,2.927,42.626,4.3,smi_d_overbought^230^161^207^0.0^SMA|bb_neutral^10.0^1.5&emacd_start_increase^60^96|rsi_crossover50^130&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.036,45.651,1.985,4.649,3.206,22.996,9.82,0.514,0.725,41.0,46.341,3.539,41.208,4.1,smi_d_overbought^230^161^207^0.0^SMA|bb_neutral^10.0^1.5&emacd_start_increase^55^110|second_wave_trend_1^10&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.036,45.652,1.206,5.876,3.356,37.85,7.769,0.407,0.416,44.0,61.364,2.542,42.731,4.4,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^60^96|roc_crossover0^150&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,15.036,45.652,1.206,5.876,3.356,37.85,7.769,0.407,0.416,44.0,61.364,2.542,42.731,4.4,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^55^110|roc_crossover0^150&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
