开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-02 01:00:00,2026-06-18,16.551,50.859,1.786,5.413,3.575,28.472,9.395,0.492,1.243,27.0,66.667,3.326,40.77,2.7,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&rsi_fast_crossover_slow^30^42|price_crossover_sma_2^150&aroon_diff_crossunder0^89|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,16.571,50.928,2.074,5.786,3.49,24.556,8.803,0.461,1.211,18.0,50.0,5.377,44.63,1.8,smi_d_overbought^230^161^207^0.0^SMA|kdj_d_neutral^200^180^180^60^40&emacd_histogram_start_increase^40^64^48|smacd_start_increase^90^252&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.587,50.986,1.936,6.495,4.144,26.337,7.85,0.411,0.866,23.0,73.913,2.424,43.262,2.3,tsi_higher_signal^80^72^24^SMA|smi_d_overbought^230^161^207^0.0^SMA&roc_crossover0^140|price_crossover_sma^130&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.591,50.997,1.987,5.507,3.546,25.664,9.261,0.485,1.125,27.0,66.667,2.214,41.395,2.7,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^60^96|price_crossover_sma_2^150&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,16.597,51.02,1.835,5.659,3.287,27.798,9.016,0.472,0.864,31.0,67.742,2.182,41.943,3.1,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^60^96|price_crossover_sma_2^160&trailing_stop^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,16.603,51.039,2.11,5.339,3.346,24.194,9.559,0.5,1.028,28.0,67.857,1.851,42.116,2.8,tsi_higher_signal^80^72^24^SMA|smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^40^64^48|price_crossover_sma_2^150&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.604,51.042,1.398,6.147,3.846,36.514,8.303,0.435,1.076,20.0,70.0,4.63,42.643,2.0,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&smacd_start_increase^90^252|mass_crossover1^200^140&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.614,51.078,2.006,5.379,3.494,25.465,9.495,0.497,1.084,29.0,65.517,2.388,41.849,2.9,emacd_increase^12^17|smi_d_overbought^230^161^207^0.0^SMA&price_crossover_ema^90|second_wave_trend_1^8&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.625,51.117,2.029,5.416,3.69,25.197,9.438,0.494,0.795,39.0,53.846,3.018,41.862,3.9,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^40^64^48|price_crossover_sma^130&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.636,51.153,1.806,5.736,3.448,28.325,8.918,0.467,0.89,23.0,52.174,5.12,44.872,2.3,smi_overbought^230^184^0.0^SMA|kdj_d_neutral^200^180^180^60^40&emacd_histogram_start_increase^40^64^48|kc_price_crossover_low^16.0^16.0^3.8999999999999995&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.644,51.181,1.485,6.154,4.396,34.476,8.317,0.435,0.473,48.0,68.75,2.627,43.378,4.8,smi_d_overbought^230^161^207^0.0^SMA|adx_lower_threshold^160.0^15.0&price_crossover_ema^90|second_wave_trend_1^10&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.656,51.223,1.993,5.822,3.757,25.707,8.798,0.461,0.828,31.0,58.065,2.949,42.296,3.1,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^60^96|rsi_crossover50^130&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.657,51.226,2.061,5.363,3.427,24.849,9.552,0.5,1.199,27.0,62.963,2.805,41.869,2.7,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&rsi_fast_crossover_slow^30^42|second_wave_trend_1^8&aroon_diff_crossunder0^109|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,16.669,51.268,1.944,5.306,3.462,26.377,9.663,0.506,1.117,28.0,57.143,3.232,42.065,2.8,smacd_higher_signal^70^112^56|smi_overbought^230^184^0.0^SMA&emacd_histogram_start_increase^35^98^35|smacd_crossover_signal_2^130^182^91&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.678,51.302,1.975,5.516,3.616,25.974,9.3,0.487,1.086,28.0,64.286,2.555,42.336,2.8,smi_d_overbought^230^161^207^0.0^SMA|tsi_neutral^12^10^25.0^-25.0^SMA&price_crossover_ema^90|second_wave_trend_1^8&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,16.716,51.432,1.936,5.506,3.723,26.572,9.34,0.489,0.746,41.0,60.976,2.435,41.953,4.1,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^40^64^48|smacd_histogram_start_increase_2^150^390^90&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,16.723,51.457,2.072,5.825,3.528,24.838,8.833,0.462,1.382,16.0,62.5,3.317,44.617,1.6,smi_d_overbought^230^161^207^0.0^SMA|kdj_d_neutral^200^180^180^60^40&emacd_histogram_start_increase^40^64^48|price_crossover_sma_2^150&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,16.746,51.537,2.038,6.132,3.652,25.292,8.405,0.44,0.693,33.0,63.636,2.74,42.277,3.3,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^60^96|roc_crossover0^150&trailing_stop^34^2.0|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.749,51.549,2.222,5.681,3.812,23.199,9.074,0.475,0.895,32.0,59.375,3.228,42.042,3.2,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^55^110|price_crossover_sma_2^150&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,16.752,51.558,2.107,5.308,3.75,24.468,9.713,0.508,1.016,35.0,65.714,2.092,41.463,3.5,smi_d_overbought^230^161^207^0.0^SMA|adx_lower_threshold^160.0^15.0&price_crossover_ema^90|roc_crossover0^150&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.759,51.583,2.039,5.089,3.563,25.292,10.137,0.531,1.141,32.0,50.0,3.615,41.294,3.2,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^40^64^48|kc_price_crossover_high^10.0^10.0^2.8999999999999995&aroon_diff_crossunder0^89|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,16.762,51.593,1.443,6.014,3.694,35.744,8.579,0.449,0.843,27.0,59.259,5.281,42.553,2.7,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&smacd_start_increase^90^252|second_wave_trend_1^8&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.766,51.609,2.201,6.14,4.469,23.447,8.405,0.44,0.819,35.0,57.143,3.463,40.746,3.5,smi_d_overbought^230^161^207^0.0^SMA|bb_neutral^10.0^1.5&roc_crossover0^150|smacd_start_increase^90^252&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.768,51.614,1.5,5.721,3.471,34.416,9.022,0.472,1.195,23.0,69.565,2.733,41.703,2.3,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&rsi_fast_crossover_slow^25^50|mass_crossover1^200^140&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,16.77,51.623,1.848,5.228,3.841,27.93,9.875,0.517,0.825,45.0,51.111,3.229,41.001,4.5,smi_d_overbought^230^161^207^0.0^SMA|adx_lower_threshold^160.0^15.0&price_crossover_ema^90|smacd_start_increase^90^252&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
