开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18 18:15:00,17.715,54.562,1.717,6.005,3.928,31.776,9.086,0.476,0.857,33.0,51.515,5.135,41.945,3.3,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^55^110|smacd_start_increase^90^252&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,19.558,61.106,2.093,6.492,4.226,29.192,9.412,0.493,1.075,27.0,70.37,2.452,42.422,2.7,smacd_higher_signal^70^112^56|smi_d_overbought^230^161^207^0.0^SMA&smacd_start_increase^90^252|mass_crossover1^200^140&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,17.282,53.049,1.489,5.815,3.668,35.625,9.124,0.478,1.008,29.0,65.517,2.746,41.581,2.9,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^55^110|price_crossover_sma_2^150&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,17.106,52.436,1.583,6.203,4.501,33.123,8.453,0.442,0.519,47.0,70.213,2.834,42.716,4.7,smi_d_overbought^230^161^207^0.0^SMA|adx_lower_threshold^160.0^15.0&price_crossover_ema^90|second_wave_trend_1^10&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,18.179,56.193,1.872,6.353,3.664,30.021,8.845,0.463,0.883,30.0,76.667,1.883,42.608,3.0,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&rsi_fast_crossover_slow^30^42|roc_crossover0^140&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,16.762,51.242,1.443,5.99,3.661,35.502,8.555,0.448,0.839,27.0,59.259,5.281,42.553,2.7,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&smacd_start_increase^90^252|second_wave_trend_1^8&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,17.129,52.517,1.378,6.079,3.748,38.117,8.639,0.452,0.446,53.0,54.717,3.46,42.347,5.3,smi_d_overbought^230^161^207^0.0^SMA|bb_neutral^10.0^1.5&emacd_start_increase^60^96|roc_crossover0^150&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,20.117,63.125,2.062,6.884,4.701,30.614,9.17,0.48,0.925,31.0,54.839,4.605,42.367,3.1,smacd_increase^80^224|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^60^96|smacd_start_increase^90^252&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,20.068,62.948,2.045,6.227,4.343,30.775,10.109,0.529,1.214,30.0,66.667,2.852,41.841,3.0,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^40^64^48|price_crossover_sma^130&aroon_diff_crossunder0^109|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,17.992,55.535,1.695,6.094,3.643,32.758,9.113,0.477,0.927,28.0,53.571,4.741,42.073,2.8,smacd_increase^80^224|smi_d_overbought^230^161^207^0.0^SMA&smacd_start_increase^90^252|second_wave_trend_1^10&roc_crossunder0^59|trailing_stop^34^3.0
