total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-23.072,37.898,1.214,314.0,29.33,kc_neutral^8.0^8.0^1.7|kc_neutral^20.0^8.0^1.9&price_crossover_ema^12|kc_price_crossover_high_2^100.0^60.0^3.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.934,37.539,1.23,317.0,28.582,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&price_crossover_ema^12|kc_price_crossover_high^90.0^108.0^3.6999999999999993&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-20.479,37.224,1.31,317.0,27.638,kc_neutral^8.0^8.0^1.7|rsi_neutral^14^65^35&price_crossover_ema^12|second_wave_trend_2^16&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-19.541,37.342,1.318,316.0,26.863,bb_neutral^12.0^2.0999999999999996|rsi_neutral^14^65^35&price_crossover_ema^12|second_wave_trend_2^16&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-18.528,33.529,1.578,340.0,24.851,kc_neutral^20.0^8.0^1.9|rsi_neutral^90^65^35&price_crossover_ema^12|second_wave_trend_2^16&roc_crossunder0^59|trailing_stop^34^1.5
-18.524,38.141,1.286,312.0,25.891,rsi_neutral^90^65^35|smi_neutral^11^7^30.0^-30.0^EMA&price_crossover_ema^12|second_wave_trend_2^16&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-18.407,38.019,1.297,313.0,25.807,rsi_neutral^14^65^35|smi_neutral^11^7^30.0^-30.0^EMA&price_crossover_ema^12|second_wave_trend_2^16&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-17.962,37.778,1.32,315.0,25.428,bb_neutral^10.0^2.5|rsi_neutral^14^65^35&price_crossover_ema^12|second_wave_trend_2^16&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-17.217,33.728,1.589,338.0,23.642,rsi_neutral^90^65^35|rsi_neutral^14^65^35&price_crossover_ema^12|second_wave_trend_2^16&roc_crossunder0^59|trailing_stop^34^1.5
-15.857,42.857,1.084,266.0,24.777,kc_neutral^8.0^8.0^1.7|kc_neutral^20.0^8.0^1.9&price_crossover_ema^12|kc_price_crossover_high_2^100.0^60.0^3.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^2.0
-13.852,37.338,1.424,308.0,20.873,kc_neutral^8.0^8.0^1.7|rsi_neutral^14^65^35&price_crossover_ema^12|second_wave_trend_2^16&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-13.678,37.582,1.41,306.0,20.297,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&price_crossover_ema^12|second_wave_trend_2^16&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-13.678,37.582,1.41,306.0,20.297,kc_neutral^20.0^8.0^1.9|rsi_neutral^90^65^35&price_crossover_ema^12|second_wave_trend_2^16&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-13.194,37.705,1.411,305.0,19.849,rsi_neutral^90^65^35|rsi_neutral^14^65^35&price_crossover_ema^12|second_wave_trend_2^16&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-12.879,40.532,1.233,301.0,17.55,bb_neutral^10.0^2.5|rsi_neutral^90^65^35&price_crossover_ema^12|rvi_crossover_signal^110^77&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-12.766,40.728,1.227,302.0,18.228,kc_neutral^20.0^8.0^1.9|rsi_neutral^90^65^35&price_crossover_ema^12|rvi_crossover_signal^110^77&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-12.462,40.594,1.238,303.0,17.595,rsi_neutral^90^65^35|adx_higher_threshold^80.0^5.0&price_crossover_ema^12|rvi_crossover_signal^110^77&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-12.209,40.728,1.235,302.0,18.324,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&price_crossover_ema^12|rvi_crossover_signal^110^77&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
