开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18,15.002,45.536,3.323,3.31,2.649,13.703,13.755,0.72,0.276,127.0,47.244,1.674,48.445,12.7,rvi_signal_overbought^60^42^0.0^SMA|smi_neutral^240^192^30.0^-30.0^EMA&price_crossover_ema^12|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,15.003,45.54,1.487,6.099,3.206,30.627,7.467,0.391,1.536,9.0,88.889,6.586,54.082,0.9,kdj_k_higher_d^250^100^225|rvi_neutral^17^20.0^-20.0^SMA&ma_atr_long_signal^10.0^10.0^2.3999999999999995|kc_price_crossover_low^14.0^17.0^2.5&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.005,45.548,6.153,3.574,2.507,7.403,12.746,0.667,0.429,80.0,50.0,1.913,50.029,8.0,smi_neutral^240^192^30.0^-30.0^EMA|smi_d_neutral^100^60^30^20.0^-20.0^SMA&rvi_crossover_signal^110^77|rsi_fast_crossover_slow^60^156&trailing_stop^34^1.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.005,45.545,3.761,4.872,2.728,12.111,9.348,0.489,0.507,40.0,55.0,2.373,51.193,4.0,rvi_signal_overbought^40^32^0.0^EMA|smi_d_neutral^180^162^126^25.0^-25.0^EMA&price_crossover_ema^120|kc_price_crossover_low^14.0^17.0^2.5&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.006,45.55,2.401,4.13,2.579,18.97,11.03,0.577,0.345,52.0,61.538,1.532,52.75,5.2,rvi_signal_overbought^60^42^0.0^SMA|rvi_neutral^17^20.0^-20.0^SMA&rvi_crossover0^170^EMA|smacd_crossover_signal_3^210^546^273&bb_price_crossunder_high^34^2|trailing_stop^34^2.0
2026-02-02 01:00:00,2026-06-18,15.007,45.555,6.264,2.866,2.519,7.272,15.897,0.832,0.296,158.0,46.203,1.584,47.89,15.8,smi_d_neutral^180^162^126^25.0^-25.0^EMA|adx_higher_threshold^210.0^5.0&price_crossover_ema^12|kc_price_crossover_low^20.0^20.0^2.8999999999999995&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,15.009,45.562,6.46,3.148,2.527,7.053,14.471,0.757,0.307,122.0,45.902,1.804,48.547,12.2,rvi_signal_overbought^60^42^0.0^SMA|smi_neutral^240^192^30.0^-30.0^EMA&rsi_crossover50^8|rvi_crossover_signal^110^77&roc_crossunder0^89|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,15.009,45.561,2.381,4.55,2.73,19.138,10.014,0.524,0.583,24.0,62.5,3.051,51.873,2.4,kdj_k_higher_d^250^100^225|smi_neutral^240^192^30.0^-30.0^EMA&smacd_histogram_start_increase_2^180^504^126|tsi_crossover_signal^200^180^160^SMA&aroon_diff_crossunder0^89|trailing_stop^34^2.0
2026-02-02 01:00:00,2026-06-18,15.009,45.562,3.604,3.512,2.428,12.641,12.972,0.679,0.927,28.0,67.857,1.815,50.621,2.8,smi_k_higher_d^150^75^135|rvi_signal_overbought^60^42^0.0^SMA&smacd_histogram_start_increase_2^180^504^126|smacd_crossover_signal_3^210^546^273&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.009,45.56,1.496,5.857,2.706,30.452,7.778,0.407,0.428,22.0,77.273,2.357,55.46,2.2,rvi_signal_overbought^60^42^0.0^SMA|kc_neutral^20.0^8.0^1.9&sma_fast_crossover_slow_3^190^456|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.009,45.561,1.22,6.63,3.334,37.356,6.872,0.36,0.949,14.0,85.714,3.832,53.414,1.4,aroon_diff_higher0^80|rvi_neutral^17^20.0^-20.0^SMA&mass_crossover1^210^189|kc_price_crossover_low^14.0^17.0^2.5&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.009,45.56,3.298,4.26,2.811,13.815,10.695,0.56,0.543,43.0,60.465,1.548,49.612,4.3,rsi_neutral^14^65^35|rvi_neutral^8^35.0^-35.0^EMA&bb_price_crossover_high_2^160.0^1.9|smacd_histogram_start_increase_2^180^504^126&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.013,45.575,3.948,3.885,2.4,11.543,11.732,0.614,0.919,20.0,60.0,2.619,49.89,2.0,emacd_increase^10^18|smi_k_higher_d^150^75^135&trix_crossover0^220|smacd_start_increase^220^352&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.013,45.575,4.234,4.128,2.482,10.765,11.041,0.578,0.468,40.0,55.0,2.152,50.377,4.0,kdj_k_overbought^80^56^50|smi_neutral^240^192^30.0^-30.0^EMA&supertrend_long_signal^200.0^2.8999999999999995|aroon_diff_crossover0^200&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.013,45.574,3.692,3.762,2.842,12.344,12.113,0.634,0.282,120.0,46.667,1.867,48.126,12.0,sma_fast_higher_slow^60^96|stoch_d_overbought^70^28^63^50&rvi_crossover_signal^100^80|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,15.014,45.576,1.82,5.98,3.187,25.041,7.621,0.399,0.758,17.0,76.471,1.578,53.365,1.7,smi_neutral^240^192^30.0^-30.0^EMA|rvi_neutral^17^20.0^-20.0^SMA&kc_price_crossover_low^14.0^17.0^2.5|adx_crossover_threshold^55.0^30.0&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.015,45.579,2.226,5.661,2.595,20.478,8.052,0.421,0.574,20.0,80.0,1.536,54.561,2.0,sma_fast_higher_slow^60^96|rvi_neutral^17^20.0^-20.0^SMA&mass_crossover1^230^161|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.016,45.583,3.09,4.011,2.905,14.752,11.366,0.595,0.268,104.0,49.038,1.793,48.156,10.4,rvi_signal_overbought^60^42^0.0^SMA|tsi_neutral^160^48^20.0^-20.0^EMA&rvi_crossover_signal^110^77|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
