开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-02 01:00:00,2026-06-18,24.15,78.736,2.167,6.584,5.016,36.339,11.96,0.626,0.374,88.0,51.136,2.514,50.122,8.8,aroon_diff_higher0^80|smi_neutral^240^192^30.0^-30.0^EMA&emacd_start_increase^200^320|rvi_crossover_signal^100^80&roc_crossunder0^89|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,24.158,78.767,2.084,6.205,4.915,37.799,12.695,0.664,0.495,52.0,61.538,2.222,50.274,5.2,smacd_histogram_increase^140^308^84|stoch_d_overbought^70^28^63^50&rvi_crossover_signal^100^80|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,24.185,78.873,2.875,6.324,4.827,27.43,12.471,0.653,0.698,43.0,67.442,1.884,50.403,4.3,kdj_k_overbought^70^56^50|bb_neutral^12.0^2.0999999999999996&smacd_histogram_start_increase_2^180^504^126|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,24.19,78.893,3.621,5.205,4.238,21.786,15.156,0.793,1.303,32.0,59.375,3.965,50.919,3.2,kc_neutral^8.0^8.0^1.7|rvi_neutral^17^20.0^-20.0^SMA&smacd_crossover_signal^180^360^216|kc_price_crossover_low^14.0^17.0^2.5&aroon_diff_crossunder0^89|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,24.208,78.96,3.907,7.083,4.967,20.21,11.148,0.583,0.438,66.0,60.606,2.008,50.454,6.6,rvi_signal_overbought^40^32^0.0^EMA|smi_d_neutral^180^162^126^25.0^-25.0^EMA&rvi_crossover_signal^110^77|price_crossover_sma_2^230&trailing_stop^34^1.5|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,24.212,78.975,2.376,5.927,4.424,33.237,13.324,0.697,0.537,49.0,57.143,2.343,50.115,4.9,stoch_d_overbought^30^27^27^50|mass_higher1^16^8&bb_price_crossover_high^230.0^2.0999999999999996|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,24.22,79.009,2.609,6.49,4.868,30.278,12.174,0.637,0.308,71.0,61.972,2.009,52.03,7.1,rvi_signal_overbought^60^42^0.0^SMA|smi_neutral^240^192^30.0^-30.0^EMA&rvi_crossover_signal^100^80|bb_price_crossover_low^35.0^3.4999999999999996&bb_price_crossunder_high^34^2|trailing_stop^34^2.0
2026-02-02 01:00:00,2026-06-18,24.236,79.069,3.22,5.507,4.178,24.553,14.357,0.751,0.669,47.0,61.702,1.937,50.096,4.7,smi_neutral^11^7^30.0^-30.0^EMA|adx_higher_threshold^210.0^5.0&kc_price_crossover_low^14.0^17.0^2.5|smacd_histogram_start_increase^230^322^299&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,24.242,79.091,2.261,5.368,3.801,34.981,14.733,0.771,0.491,63.0,55.556,2.195,50.326,6.3,mass_higher1^16^8|adx_higher_threshold^210.0^5.0&bb_price_crossover_high^230.0^2.0999999999999996|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,24.247,79.11,2.725,6.338,4.944,29.032,12.482,0.653,0.404,90.0,53.333,2.206,50.055,9.0,rvi_overbought^70^0.0^SMA|smi_neutral^240^192^30.0^-30.0^EMA&emacd_start_increase^200^320|rvi_crossover_signal^100^80&trailing_stop^34^1.5|trailing_stop^34^2.0
