total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-41.101,34.031,1.108,382.0,41.478,convexity_higher1^12^SMA|convexity_higher1^8^SMA&price_crossover_sma^6|roc_crossover0^220&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-40.051,33.42,1.159,383.0,40.434,convexity_higher1^12^SMA|convexity_higher1^8^SMA&price_crossover_sma^6|price_crossover_sma_2^220&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-39.606,33.681,1.15,383.0,40.052,convexity_higher1^12^SMA|convexity_higher1^8^SMA&price_crossover_sma^6|rsi_fast_crossover_slow^16^32&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-39.095,33.77,1.157,382.0,39.111,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|second_wave_trend_2^10&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-39.008,33.333,1.183,384.0,39.13,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|price_crossover_sma_2^220&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-38.533,33.509,1.169,379.0,38.656,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^8^SMA&price_crossover_sma^6|price_crossover_sma_2^220&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-38.425,35.45,1.079,378.0,38.859,convexity_higher1^12^SMA|convexity_higher1^8^SMA&rsi_crossover50^8|price_crossover_sma^6&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-38.275,33.773,1.166,379.0,38.935,convexity_higher1^12^SMA|convexity_higher1^8^SMA&price_crossover_sma^6|second_wave_trend_2^18&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-38.075,33.858,1.162,381.0,38.261,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|rsi_fast_crossover_slow^16^32&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-37.441,35.544,1.085,377.0,37.609,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&rsi_crossover50^8|price_crossover_sma^6&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-37.28,34.037,1.164,379.0,37.406,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|emacd_start_increase^25^55&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-37.196,33.862,1.176,378.0,37.594,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|second_wave_trend_2^18&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-36.874,35.561,1.089,374.0,37.043,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^8^SMA&rsi_crossover50^8|price_crossover_sma^6&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-36.874,34.127,1.166,378.0,37.0,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|price_crossover_sma_2^210&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-36.425,34.908,1.135,381.0,36.509,convexity_higher1^12^SMA|convexity_higher1^8^SMA&price_crossover_sma^6|rvi_crossover_signal^45^41&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-35.421,35.2,1.131,375.0,36.046,bb_neutral^60.0^2.8999999999999995|kc_neutral^16.0^19.0^3.8999999999999995&price_crossover_ema^6|price_crossover_sma^6&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
