开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18,15.006,45.551,3.13,4.673,2.634,14.555,9.747,0.51,0.811,28.0,50.0,3.978,46.448,2.8,supertrend_long_period^8.0^3.6999999999999993|adx_higher_threshold^25.0^20.0&rvi_crossover_signal^45^41|smacd_histogram_start_increase^230^506^299&trailing_stop^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.009,45.561,3.53,4.441,3.129,12.909,10.258,0.537,0.846,37.0,45.946,4.191,47.002,3.7,trix_higher_signal^55.0^22.0|skew_positive^140^EMA&smacd_start_increase^200^560|smacd_histogram_start_increase_2^90^198^54&trailing_stop^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.011,45.566,2.163,5.001,2.985,21.062,9.111,0.477,0.972,20.0,60.0,4.769,47.352,2.0,mass_lower1^230^207|convexity_higher1^8^SMA&smacd_histogram_start_increase^230^506^299|aroon_diff_crossover0^210&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.02,45.598,1.129,6.448,3.496,40.381,7.072,0.37,1.074,14.0,71.429,7.795,48.859,1.4,smi_d_neutral^170^119^85^30.0^-30.0^SMA|mass_lower1^230^207&stoch_k_crossover_d_2^240^120^72^25|emacd_crossover_signal^180^360^108&trailing_stop^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.024,45.612,3.211,4.008,2.532,14.206,11.379,0.596,0.321,86.0,45.349,2.486,46.311,8.6,smacd_increase^20^52|ma_atr_long_period^160.0^160.0^2.8&price_crossover_sma^6|rvi_crossover_signal^45^41&roc_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,15.026,45.619,1.752,5.247,2.735,26.042,8.694,0.455,1.623,12.0,75.0,3.67,48.808,1.2,rvi_overbought^120^0.0^SMA|tsi_neutral^190^171^10.0^-10.0^SMA&kdj_k_crossover_d^200^180^100|aroon_diff_crossover0^210&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.03,45.632,1.808,5.298,2.874,25.242,8.612,0.451,1.769,12.0,66.667,4.926,48.004,1.2,ma_atr_long_period^14.0^17.0^1.5999999999999999|skew_positive^150^EMA&emacd_crossover_signal^180^360^108|emacd_crossover_signal_2^190^266^209&aroon_diff_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.034,45.647,4.231,3.469,2.895,10.789,13.157,0.689,0.981,57.0,47.368,2.208,43.827,5.7,mass_higher1^45^41|mass_lower1^230^207&price_crossover_ema^6|kdj_k_crossover_d_2^230^207^207^20&aroon_diff_crossunder0^89|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.039,45.663,1.067,7.197,3.657,42.783,6.345,0.332,0.473,26.0,76.923,6.418,49.508,2.6,tsi_neutral^190^171^10.0^-10.0^SMA|smi_d_neutral^170^119^85^30.0^-30.0^SMA&smacd_histogram_start_increase^230^506^299|emacd_crossover_signal_2^190^266^209&aroon_diff_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,15.042,45.673,3.482,3.814,2.893,13.118,11.975,0.627,1.051,41.0,46.341,2.621,45.902,4.1,ma_atr_long_period^14.0^17.0^1.5999999999999999|mass_lower1^230^207&price_crossover_ema^6|smacd_histogram_start_increase_2^110^154^99&aroon_diff_crossunder0^109|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.044,45.68,1.93,5.61,2.705,23.669,8.143,0.426,1.915,9.0,77.778,4.087,49.18,0.9,supertrend_long_period^8.0^3.6999999999999993|rvi_overbought^120^0.0^SMA&kdj_k_crossover_d^200^180^100|kc_price_crossover_high^16.0^6.0^3.6999999999999993&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.051,45.704,1.775,4.898,2.965,25.746,9.332,0.488,1.443,17.0,52.941,4.531,47.862,1.7,mass_lower1^230^207|skew_positive^150^EMA&smacd_start_increase^200^560|kdj_k_crossover_d^200^180^100&aroon_diff_crossunder0^109|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.06,45.733,1.617,5.249,3.337,28.276,8.712,0.456,1.097,20.0,55.0,5.423,46.182,2.0,tsi_neutral^190^171^10.0^-10.0^SMA|convexity_higher1^8^SMA&smacd_histogram_start_increase^230^506^299|smacd_crossover_signal^220^484^242&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.064,45.748,2.554,5.593,2.93,17.911,8.18,0.428,1.382,15.0,66.667,3.75,48.491,1.5,convexity_higher1^12^SMA|convexity_higher1^8^SMA&emacd_crossover_signal_2^200^480^120|smacd_crossover_signal^220^484^242&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.065,45.751,1.667,5.558,2.797,27.447,8.232,0.431,1.509,13.0,53.846,8.47,49.588,1.3,smacd_histogram_increase^110^198^110|convexity_higher1^12^SMA&smacd_start_increase^230^552|bb_price_crossover_low^180.0^3.8999999999999995&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.076,45.788,1.819,5.837,3.147,25.179,7.844,0.411,0.726,26.0,57.692,5.847,48.556,2.6,rsi_neutral^150^60^40|smi_d_neutral^170^119^85^30.0^-30.0^SMA&smacd_histogram_start_increase^230^506^299|emacd_crossover_signal_2^190^266^209&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.081,45.804,0.9,7.319,3.777,50.885,6.258,0.328,0.47,25.0,80.0,6.542,49.313,2.5,tsi_neutral^190^171^10.0^-10.0^SMA|smi_d_neutral^170^119^85^30.0^-30.0^SMA&smacd_histogram_start_increase^230^506^299|emacd_crossover_signal_2^200^480^120&roc_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,15.086,45.821,1.911,5.304,2.911,23.975,8.638,0.452,1.692,13.0,69.231,5.396,47.706,1.3,tsi_higher_signal^190^114^57^EMA|tsi_overbought^25^12^0.0^SMA&emacd_crossover_signal^140^392^140|smacd_crossover_signal^220^484^242&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.101,45.875,2.806,4.217,2.982,16.349,10.878,0.569,0.945,39.0,46.154,3.482,45.484,3.9,convexity_higher1^12^SMA|convexity_higher1^8^SMA&smacd_start_increase^230^552|stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.103,45.879,3.418,4.045,2.91,13.423,11.343,0.594,0.801,50.0,50.0,2.26,45.894,5.0,supertrend_long_period^150.0^3.0999999999999996|tsi_neutral^190^171^10.0^-10.0^SMA&rvi_crossover_signal^55^33|trix_start_increase^190&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.104,45.882,2.889,4.167,2.833,15.883,11.01,0.576,0.897,39.0,48.718,3.118,46.424,3.9,sma_fast_higher_slow^70^98|supertrend_long_period^150.0^3.0999999999999996&emacd_start_increase^25^55|sma_fast_crossover_slow^170^442&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.106,45.891,1.635,5.874,3.13,28.069,7.812,0.409,0.708,26.0,61.538,4.745,48.684,2.6,tsi_neutral^190^171^10.0^-10.0^SMA|convexity_higher1^12^SMA&smacd_histogram_start_increase^230^506^299|emacd_crossover_signal_2^190^266^209&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.11,45.903,1.972,5.27,2.793,23.273,8.711,0.456,1.42,14.0,50.0,5.171,49.137,1.4,smacd_histogram_increase^110^198^110|rvi_higher_signal^230^207&emacd_histogram_start_increase_2^190^456^247|stoch_k_crossover_d_2^250^200^225^30&aroon_diff_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.113,45.915,3.74,3.77,2.9,12.276,12.18,0.638,1.093,41.0,48.78,2.728,45.205,4.1,ma_atr_long_period^14.0^17.0^1.5999999999999999|bb_neutral^50.0^1.5&rvi_crossover_signal^45^41|smacd_histogram_start_increase^180^288^144&aroon_diff_crossunder0^109|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.114,45.917,4.31,4.085,2.708,10.654,11.24,0.588,0.673,49.0,48.98,2.847,46.972,4.9,sma_fast_higher_slow^70^98|ma_atr_long_period^14.0^17.0^1.5999999999999999&rvi_crossover_signal^45^41|smacd_histogram_start_increase_2^110^154^99&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.116,45.925,1.288,6.956,3.011,35.652,6.603,0.346,1.803,6.0,83.333,44.423,51.866,0.6,rvi_overbought^120^0.0^SMA|tsi_neutral^190^171^10.0^-10.0^SMA&stoch_k_crossover_d_2^240^120^72^25|kc_price_crossover_high^16.0^6.0^3.6999999999999993&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.117,45.929,1.686,5.651,3.048,27.234,8.127,0.425,0.718,25.0,48.0,5.485,48.819,2.5,smacd_histogram_increase^110^198^110|mass_lower1^230^207&emacd_histogram_start_increase^220^572^264|emacd_crossover_signal^180^360^108&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.12,45.937,2.239,4.916,3.164,20.514,9.344,0.489,0.689,37.0,45.946,3.917,46.556,3.7,supertrend_long_period^8.0^3.6999999999999993|mass_lower1^230^207&smacd_histogram_start_increase_2^110^154^99|stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.121,45.94,1.926,5.321,2.898,23.856,8.633,0.452,1.803,12.0,66.667,7.191,48.321,1.2,stoch_k_overbought^17^14^50|tsi_neutral^190^171^10.0^-10.0^SMA&emacd_crossover_signal^140^392^140|emacd_crossover_signal_2^190^266^209&aroon_diff_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.123,45.949,1.47,5.663,3.182,31.266,8.114,0.425,1.067,19.0,52.632,6.222,48.756,1.9,smacd_histogram_increase^110^198^110|convexity_higher1^12^SMA&smacd_start_increase^230^552|stoch_k_crossover_d_2^240^120^72^25&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.127,45.963,1.447,6.566,3.654,31.772,7.0,0.366,0.406,40.0,60.0,2.958,47.95,4.0,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,15.132,45.978,3.271,4.565,2.409,14.056,10.072,0.527,0.947,23.0,52.174,4.107,48.007,2.3,ma_atr_long_period^14.0^17.0^1.5999999999999999|tsi_neutral^190^171^10.0^-10.0^SMA&adx_plus_crossover_minus^190|aroon_diff_crossover0^210&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.136,45.993,3.689,3.537,2.376,12.468,13.004,0.681,0.602,60.0,48.333,2.307,46.842,6.0,smacd_increase^20^52|ma_atr_long_period^160.0^160.0^2.8&price_crossover_ema^6|emacd_start_increase^25^55&trailing_stop^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.138,46.001,1.658,5.806,3.391,27.745,7.924,0.415,0.783,24.0,50.0,5.061,47.154,2.4,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&smacd_histogram_start_increase^230^506^299|smacd_crossover_signal^220^484^242&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.143,46.018,3.546,3.969,2.829,12.978,11.593,0.607,0.906,42.0,45.238,3.118,46.288,4.2,sma_fast_higher_slow^70^98|ma_atr_long_period^14.0^17.0^1.5999999999999999&rvi_crossover_signal^55^33|smacd_histogram_start_increase_2^110^154^99&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.149,46.036,2.735,4.212,2.874,16.832,10.929,0.572,1.093,32.0,46.875,3.371,46.251,3.2,trix_higher_signal^55.0^22.0|ma_atr_long_period^14.0^17.0^1.5999999999999999&smacd_histogram_start_increase_2^90^198^54|stoch_k_crossover50^220^88&aroon_diff_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.152,46.046,1.37,5.597,2.742,33.619,8.227,0.431,1.316,15.0,80.0,9.741,49.182,1.5,bb_neutral^60.0^2.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&smacd_crossover_signal^220^484^242|trix_crossover_signal^160^96&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.154,46.055,1.681,5.753,3.093,27.394,8.005,0.419,0.695,26.0,57.692,3.068,49.609,2.6,smacd_higher_signal^90^198^117|mass_lower1^230^207&emacd_histogram_start_increase^230^644^230|smacd_crossover_signal^220^484^242&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.157,46.065,2.173,5.231,3.027,21.196,8.806,0.461,1.341,17.0,52.941,3.944,47.522,1.7,smacd_histogram_increase^110^198^110|tsi_neutral^190^171^10.0^-10.0^SMA&adx_plus_crossover_minus^190|aroon_diff_crossover0^210&aroon_diff_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.167,46.097,1.861,5.208,2.881,24.772,8.852,0.463,0.814,28.0,57.143,4.237,48.007,2.8,tsi_neutral^190^171^10.0^-10.0^SMA|skew_positive^150^EMA&smacd_start_increase^200^560|smacd_histogram_start_increase^230^506^299&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.17,46.11,4.828,3.514,2.704,9.55,13.12,0.687,0.563,86.0,45.349,2.3,45.689,8.6,sma_fast_higher_slow^70^98|convexity_higher1^8^SMA&rvi_crossover_signal^55^33|smacd_histogram_start_increase_2^110^154^99&roc_crossunder0^59|trailing_stop^34^3.0
