开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-02 01:00:00,2026-06-18,16.321,50.062,1.851,6.292,3.627,27.044,7.956,0.416,1.388,13.0,69.231,4.073,48.322,1.3,bb_neutral^60.0^2.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&stoch_k_crossover_d_2^240^120^72^25|emacd_crossover_signal_2^200^480^120&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.325,50.076,1.948,5.667,3.095,25.711,8.837,0.463,1.046,22.0,54.545,5.296,47.677,2.2,rsi_neutral^180^60^40|smi_d_neutral^170^119^85^30.0^-30.0^SMA&smacd_histogram_start_increase^230^506^299|emacd_crossover_signal_2^200^480^120&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,16.333,50.103,2.052,5.711,3.214,24.413,8.772,0.459,1.382,16.0,62.5,3.543,48.266,1.6,smacd_histogram_increase^110^198^110|ma_atr_long_period^14.0^17.0^1.5999999999999999&adx_plus_crossover_minus^190|aroon_diff_crossover0^210&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,16.382,50.271,1.506,6.176,3.446,33.389,8.14,0.426,0.92,19.0,57.895,6.459,48.499,1.9,tsi_higher_signal^60^54^36^SMA|supertrend_long_period^150.0^3.0999999999999996&emacd_histogram_start_increase_2^190^456^247|smacd_histogram_start_increase^230^506^299&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,16.468,50.57,2.125,6.095,3.488,23.798,8.296,0.434,1.318,15.0,60.0,5.276,48.571,1.5,tsi_neutral^190^171^10.0^-10.0^SMA|rsi_neutral^150^60^40&stoch_k_crossover_d_2^240^120^72^25|emacd_crossover_signal^180^360^108&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.493,50.658,2.125,5.824,3.406,23.839,8.698,0.455,1.145,18.0,50.0,6.81,48.286,1.8,rsi_neutral^150^60^40|smi_d_neutral^170^119^85^30.0^-30.0^SMA&stoch_k_crossover_d_2^240^120^72^25|emacd_crossover_signal^180^360^108&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.503,50.693,1.35,7.452,4.138,37.557,6.802,0.356,0.416,38.0,65.789,3.408,47.765,3.8,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299&roc_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,16.527,50.775,1.447,6.4,3.344,35.08,7.934,0.415,1.249,12.0,58.333,13.512,50.067,1.2,rsi_neutral^180^60^40|smi_d_neutral^170^119^85^30.0^-30.0^SMA&stoch_k_crossover_d_2^240^120^72^25|adx_crossover_threshold^45.0^35.0&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.54,50.823,1.972,6.093,3.913,25.777,8.342,0.437,1.091,18.0,55.556,6.035,46.66,1.8,kc_neutral^16.0^19.0^3.8999999999999995|mass_lower1^230^207&smacd_histogram_start_increase^230^506^299|emacd_crossover_signal_2^200^480^120&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,16.566,50.911,2.117,5.21,3.086,24.052,9.772,0.511,0.946,29.0,55.172,4.313,47.02,2.9,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&smacd_start_increase^230^552|stoch_d_crossover50^120^72^108&trailing_stop^34^3.0|trailing_stop^34^3.5
