开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18 18:15:00,20.984,66.287,2.701,6.186,5.034,24.542,10.716,0.561,0.936,41.0,53.659,3.373,46.154,4.1,rsi_neutral^180^60^40|mass_lower1^230^207&emacd_histogram_start_increase^220^572^264|smacd_histogram_start_increase^230^506^299&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,21.058,66.559,2.371,5.93,4.075,28.077,11.225,0.588,0.901,39.0,48.718,4.743,47.429,3.9,sma_fast_higher_slow^55^99|supertrend_long_period^150.0^3.0999999999999996&price_crossover_ema^8|emacd_start_increase^25^55&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,20.562,64.743,2.19,5.909,4.026,29.563,10.957,0.574,0.954,36.0,50.0,4.803,47.575,3.6,sma_fast_higher_slow^55^99|supertrend_long_period^150.0^3.0999999999999996&price_crossover_ema^8|emacd_crossover_signal_2^190^266^209&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,20.75,65.431,2.193,5.959,4.057,29.834,10.98,0.575,0.916,37.0,45.946,5.37,47.453,3.7,sma_fast_higher_slow^55^99|supertrend_long_period^150.0^3.0999999999999996&price_crossover_ema^8|smacd_histogram_start_increase^230^506^299&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,21.086,66.661,2.191,6.083,4.146,30.43,10.959,0.574,0.946,36.0,52.778,4.474,47.493,3.6,sma_fast_higher_slow^55^99|supertrend_long_period^150.0^3.0999999999999996&price_crossover_ema^8|smacd_histogram_start_increase_2^110^154^99&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,16.539,50.472,1.669,7.243,4.021,30.246,6.968,0.365,0.472,35.0,68.571,3.078,47.81,3.5,tsi_neutral^190^171^10.0^-10.0^SMA|smi_d_neutral^170^119^85^30.0^-30.0^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,16.737,51.157,1.54,5.94,3.209,33.227,8.612,0.451,1.671,13.0,84.615,6.354,48.799,1.3,tsi_higher_signal^190^114^57^EMA|tsi_neutral^190^171^10.0^-10.0^SMA&emacd_crossover_signal^140^392^140|aroon_diff_crossover0^210&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,16.105,48.984,1.35,7.19,3.935,36.291,6.812,0.357,0.405,39.0,64.103,3.237,47.71,3.9,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299&roc_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18 18:15:00,17.335,53.233,1.63,6.681,3.335,32.652,7.968,0.417,1.827,10.0,80.0,5.253,49.231,1.0,tsi_higher_signal^190^114^57^EMA|supertrend_long_period^150.0^3.0999999999999996&emacd_crossover_signal_2^200^480^120|bb_price_crossover_low_2^55.0^2.3&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,16.853,51.557,1.547,6.006,3.226,33.319,8.584,0.449,1.946,11.0,81.818,14.35,48.78,1.1,tsi_higher_signal^190^114^57^EMA|tsi_neutral^190^171^10.0^-10.0^SMA&emacd_crossover_signal^140^392^140|smacd_crossover_signal^220^484^242&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,17.205,52.78,1.447,6.446,3.457,36.465,8.188,0.429,1.33,12.0,66.667,16.88,49.686,1.2,supertrend_long_period^150.0^3.0999999999999996|smi_d_neutral^170^119^85^30.0^-30.0^SMA&stoch_k_crossover_d_2^240^120^72^25|kdj_k_crossover_d_2^250^175^225^30&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,17.686,54.459,1.448,6.95,4.112,37.619,7.836,0.41,1.333,13.0,61.538,18.237,48.552,1.3,trix_higher_signal^55.0^22.0|mass_lower1^230^207&stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal^220^484^242&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,17.181,52.697,1.349,7.805,4.203,39.068,6.752,0.353,0.421,36.0,69.444,3.737,48.143,3.6,tsi_neutral^190^171^10.0^-10.0^SMA|smi_d_neutral^170^119^85^30.0^-30.0^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299&roc_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18 18:15:00,16.911,51.757,1.307,6.969,3.626,39.588,7.427,0.389,1.178,11.0,90.909,8.799,50.543,1.1,tsi_neutral^190^171^10.0^-10.0^SMA|convexity_higher1^8^SMA&stoch_k_crossover_d_2^240^120^72^25|adx_crossover_threshold^45.0^35.0&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,17.332,53.224,1.311,6.815,3.493,40.61,7.809,0.409,1.627,9.0,77.778,8.066,50.617,0.9,tsi_neutral^190^171^10.0^-10.0^SMA|smi_d_neutral^170^119^85^30.0^-30.0^SMA&stoch_k_crossover_d_2^240^120^72^25|kc_price_crossover_high_2^16.0^6.0^3.6999999999999993&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,16.847,51.539,1.173,6.807,3.064,43.928,7.571,0.396,1.801,9.0,77.778,24.526,51.549,0.9,smacd_histogram_increase^110^198^110|smi_d_neutral^170^119^85^30.0^-30.0^SMA&smacd_start_increase^230^552|adx_crossover_threshold^45.0^35.0&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,22.099,70.411,1.636,7.325,4.661,43.04,9.612,0.503,1.493,18.0,72.222,6.058,47.982,1.8,rsi_neutral^180^60^40|convexity_higher1^8^SMA&stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal^220^484^242&aroon_diff_crossunder0^109|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,17.382,53.398,1.125,7.145,4.078,47.455,7.474,0.391,1.039,14.0,85.714,20.892,49.309,1.4,trix_higher_signal^55.0^22.0|mass_lower1^230^207&stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal^220^484^242&trailing_stop^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,17.84,54.999,1.219,7.061,3.924,45.131,7.789,0.408,1.663,10.0,80.0,11.577,49.034,1.0,tsi_higher_signal^190^114^57^EMA|tsi_neutral^190^171^10.0^-10.0^SMA&stoch_k_crossover_d_2^240^120^72^25|emacd_crossover_signal_2^200^480^120&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,20.887,65.932,1.463,7.051,4.47,45.06,9.351,0.489,1.208,20.0,65.0,8.717,48.462,2.0,tsi_neutral^190^171^10.0^-10.0^SMA|convexity_higher1^12^SMA&stoch_d_crossover50^120^72^108|stoch_k_crossover_d_2^240^120^72^25&aroon_diff_crossunder0^109|trailing_stop^34^3.0
