total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-25.721,36.207,0.998,290.0,29.211,rvi_higher_signal^8^2|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|rvi_crossover_signal^200^180&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.637,31.769,1.184,277.0,29.478,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^18&roc_crossunder0^59|trailing_stop^34^1.5
-25.591,36.237,0.963,287.0,27.74,rvi_higher_signal^8^2|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|kc_price_crossover_high^40.0^16.0^3.0999999999999996&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.973,30.657,1.286,274.0,28.821,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^18&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-23.949,31.636,1.257,275.0,28.057,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-23.58,36.713,1.011,286.0,26.196,rvi_higher_signal^8^2|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^18&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-23.482,31.022,1.283,274.0,26.923,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16&roc_crossunder0^89|trailing_stop^34^1.5
-23.265,29.961,1.331,257.0,27.14,rsi_neutral^14^65^35|convexity_higher1^6^SMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^18&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-23.019,35.0,1.104,280.0,26.662,rvi_higher_signal^8^2|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|price_crossover_ema^120&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.483,35.587,1.091,281.0,26.031,rvi_higher_signal^8^2|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|rsi_crossover50^60&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.358,32.584,1.26,267.0,26.34,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16&aroon_diff_crossunder0^59|trailing_stop^34^1.5
-22.025,35.294,1.086,272.0,25.65,convexity_higher1^16^EMA|convexity_higher1^6^SMA&rsi_fast_crossover_slow^18^29|price_crossover_ema^120&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-21.912,35.662,1.071,272.0,25.43,convexity_higher1^16^EMA|convexity_higher1^6^SMA&rsi_fast_crossover_slow^18^29|rsi_crossover50^60&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-21.644,38.732,0.977,284.0,25.69,rvi_neutral^40^15.0^-15.0^EMA|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-21.483,30.469,1.332,256.0,24.954,rsi_neutral^14^65^35|convexity_higher1^6^SMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16&roc_crossunder0^89|trailing_stop^34^1.5
-21.452,30.588,1.339,255.0,25.655,kc_neutral^35.0^14.0^2.5|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|mass_crossunder1^18^5&roc_crossunder0^59|trailing_stop^34^1.5
-21.282,33.08,1.258,263.0,24.906,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16&trailing_stop^34^1.5|trailing_stop^34^3.0
-21.282,33.08,1.258,263.0,24.906,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16&trailing_stop^34^1.5|trailing_stop^34^3.5
-21.282,33.08,1.258,263.0,24.906,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16&trailing_stop^34^1.5|trailing_stop^34^2.5
-21.282,33.08,1.258,263.0,24.906,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16&trailing_stop^34^1.5|trailing_stop^34^2.0
