total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
3.207,88.235,4.605,17.0,0.452,aroon_diff_higher0^80|stoch_k_higher_d^80^72^72&emacd_crossover_signal^110^264^66|emacd_crossover_signal_3^190^456^247&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
3.342,50.0,4.539,18.0,0.743,stoch_d_neutral^180^162^126^60^40|mass_lower1^10^9&emacd_histogram_start_increase^70^154^56|stoch_d_crossover50^160^128^112&bb_price_crossunder_high^34^2|trailing_stop^34^2.0
3.965,90.476,2.414,21.0,0.51,tsi_higher_signal^90^27^72^SMA|kdj_k_higher_d^90^81^63&ema_fast_crossover_slow^35^56|emacd_crossover_signal_3^190^456^247&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
3.969,73.684,4.386,19.0,0.648,stoch_k_higher_d^80^72^72|skew_positive^140^EMA&price_crossover_ema^130|bb_price_crossover_low^230.0^3.6999999999999993&bb_price_crossunder_high^34^2|trailing_stop^34^2.5
4.232,100.0,100.0,10.0,0.425,kc_neutral^35.0^14.0^2.5|smi_d_neutral^160^80^144^30.0^-30.0^SMA&mass_crossover1^220^88|adx_crossunder_threshold^190.0^10.0&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
4.551,50.0,2.291,42.0,1.318,smacd_increase^90^144|convexity_higher1^6^SMA&price_crossover_ema^130|smi_d_crossover0^230^207^207^EMA&bb_price_crossunder_high^34^2|trailing_stop^34^2.0
4.661,68.421,3.513,19.0,0.601,kdj_k_higher_d^90^81^63|convexity_higher1^16^EMA&ema_fast_crossover_slow^35^56|tsi_crossover0^80^24^EMA&bb_price_crossunder_high^34^2|trailing_stop^34^2.5
4.668,80.952,2.037,21.0,0.597,smacd_increase^80^128|kdj_d_neutral^140^126^98^75^25&ema_fast_crossover_slow^35^56|emacd_crossover_signal_3^190^456^247&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
4.681,70.588,4.32,17.0,0.636,aroon_diff_higher0^70|convexity_higher1^6^SMA&tsi_crossover0^80^24^EMA|kdj_k_crossover_d_2^220^154^154^15&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
4.777,66.667,2.276,27.0,0.633,kdj_k_higher_d^90^81^63|convexity_higher1^16^EMA&tsi_crossover0^80^24^EMA|emacd_crossover_signal_3^190^456^247&bb_price_crossunder_high^34^2|trailing_stop^34^2.5
4.863,88.889,3.489,18.0,0.597,smacd_increase^80^128|kdj_k_higher_d^90^81^63&ema_fast_crossover_slow^35^56|emacd_crossover_signal_3^190^456^247&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
4.871,82.609,2.627,23.0,0.736,sma_fast_higher_slow^35^63|convexity_higher1^16^EMA&tsi_crossover0^80^24^EMA|emacd_crossover_signal_3^190^456^247&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
4.919,89.474,4.301,19.0,0.735,sma_fast_higher_slow^35^63|kc_neutral^35.0^14.0^2.5&tsi_crossover0^80^24^EMA|emacd_crossover_signal_3^190^456^247&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
