开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18 18:15:00,7.288,20.661,1.233,3.504,1.745,16.756,5.896,0.309,0.913,12.0,50.0,9.013,45.788,1.2,smi_k_higher_d^90^45^27|stoch_d_neutral^180^162^126^60^40&ema_fast_crossover_slow^35^56|adx_crossunder_threshold^190.0^10.0&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,8.409,24.056,1.807,3.803,2.094,13.312,6.326,0.331,1.281,12.0,58.333,14.515,46.084,1.2,aroon_diff_higher0^80|stoch_k_higher_d^80^72^72&ema_fast_crossover_slow^35^56|stoch_d_crossover50^160^128^112&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,13.009,38.611,2.599,3.949,3.52,14.855,9.777,0.512,1.062,46.0,52.174,2.661,45.484,4.6,smacd_increase^80^128|kdj_k_neutral^240^144^80^20&mass_crossunder1^18^5|price_crossover_ema^120&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,3.342,9.173,0.743,1.907,1.129,12.351,4.812,0.252,0.395,18.0,50.0,4.539,42.655,1.8,stoch_d_neutral^180^162^126^60^40|mass_lower1^10^9&emacd_histogram_start_increase^70^154^56|stoch_d_crossover50^160^128^112&bb_price_crossunder_high^34^2|trailing_stop^34^2.0
2026-02-02 01:00:00,2026-06-18 18:15:00,13.983,41.822,3.624,4.164,3.538,11.54,10.043,0.526,1.006,37.0,54.054,2.727,45.121,3.7,stoch_d_neutral^180^162^126^60^40|smi_d_neutral^150^75^135^10.0^-10.0^SMA&mass_crossunder1^18^5|price_crossover_ema^120&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,12.972,38.49,2.54,3.618,3.247,15.156,10.639,0.557,0.947,48.0,52.083,2.473,44.901,4.8,bb_neutral^12.0^1.5|convexity_higher1^16^EMA&tsi_crossover0^80^24^EMA|smacd_histogram_start_increase_2^140^392^84&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,13.239,39.366,3.739,4.028,3.345,10.528,9.774,0.512,0.996,38.0,55.263,2.739,45.151,3.8,bb_neutral^12.0^1.5|stoch_d_neutral^180^162^126^60^40&mass_crossunder1^18^5|rsi_crossover50^60&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,13.836,41.336,2.941,4.34,3.776,14.055,9.525,0.499,0.899,39.0,51.282,3.51,45.106,3.9,stoch_d_neutral^180^162^126^60^40|rvi_neutral^23^15.0^-15.0^EMA&mass_crossunder1^18^5|rsi_crossover50^60&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,14.365,43.096,3.015,4.4,3.974,14.294,9.794,0.513,0.944,38.0,50.0,3.715,44.774,3.8,stoch_d_neutral^180^162^126^60^40|rvi_neutral^23^15.0^-15.0^EMA&mass_crossunder1^18^5|rsi_crossover50^60&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,14.532,43.653,3.216,4.43,4.004,13.575,9.853,0.516,1.013,36.0,50.0,3.746,44.909,3.6,stoch_d_neutral^180^162^126^60^40|rvi_neutral^23^15.0^-15.0^EMA&mass_crossunder1^18^5|rsi_crossover50^60&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,12.86,38.124,2.276,4.046,3.403,16.749,9.424,0.493,0.97,35.0,51.429,3.201,45.481,3.5,kc_neutral^35.0^14.0^2.5|stoch_d_neutral^180^162^126^60^40&emacd_histogram_start_increase^70^154^56|rsi_crossover50^60&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,13.425,39.977,2.538,3.791,3.355,15.75,10.546,0.552,0.967,46.0,52.174,2.67,45.016,4.6,bb_neutral^12.0^1.5|kc_neutral^35.0^14.0^2.5&tsi_crossover0^80^24^EMA|smacd_histogram_start_increase_2^140^392^84&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,7.048,19.942,1.384,3.193,1.563,14.412,6.245,0.327,1.244,10.0,60.0,14.752,44.839,1.0,stoch_k_higher_d^80^72^72|mass_higher1^25^20&ema_fast_crossover_slow^35^56|bb_price_crossover_low_2^180.0^1.9&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,7.029,19.885,1.047,4.034,2.123,18.998,4.929,0.258,0.422,26.0,80.769,2.086,48.08,2.6,smacd_higher_signal^45^99^63|convexity_higher1^16^EMA&mass_crossover1^220^88|tsi_crossover0^50^45^EMA&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,4.97,13.827,0.632,3.379,1.696,21.868,4.092,0.214,0.315,27.0,70.37,2.103,47.406,2.7,kdj_k_higher_d^90^81^63|convexity_higher1^16^EMA&tsi_crossover0^80^24^EMA|emacd_crossover_signal_3^190^456^247&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,13.204,39.249,2.447,4.146,3.493,16.042,9.467,0.496,1.07,32.0,53.125,3.273,45.721,3.2,kc_neutral^35.0^14.0^2.5|stoch_d_neutral^180^162^126^60^40&emacd_histogram_start_increase^70^154^56|price_crossover_ema^130&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,4.777,13.268,0.633,3.278,1.654,20.945,4.048,0.212,0.308,27.0,66.667,2.276,46.988,2.7,kdj_k_higher_d^90^81^63|convexity_higher1^16^EMA&tsi_crossover0^80^24^EMA|emacd_crossover_signal_3^190^456^247&bb_price_crossunder_high^34^2|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,12.925,38.336,2.153,4.597,3.422,17.802,8.339,0.436,0.717,35.0,68.571,1.945,45.004,3.5,aroon_diff_higher0^80|convexity_higher1^16^EMA&ema_fast_crossover_slow^35^56|smacd_start_increase^210^294&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,4.668,12.954,0.597,3.294,1.272,21.684,3.933,0.206,0.219,21.0,80.952,2.037,49.345,2.1,smacd_increase^80^128|kdj_d_neutral^140^126^98^75^25&ema_fast_crossover_slow^35^56|emacd_crossover_signal_3^190^456^247&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,4.681,12.99,0.636,2.556,1.278,20.434,5.083,0.266,0.31,17.0,70.588,4.32,46.388,1.7,aroon_diff_higher0^70|convexity_higher1^6^SMA&tsi_crossover0^80^24^EMA|kdj_k_crossover_d_2^220^154^154^15&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
