total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-17.822,38.127,1.314,299.0,25.11,bb_neutral^140.0^2.5|adx_lower_threshold^55.0^35.0&roc_crossover0^18|rvi_crossover_signal^45^32&roc_crossunder0^89|trailing_stop^34^1.5
-17.54,38.961,1.269,308.0,25.838,kc_neutral^8.0^3.0^1.5|kdj_k_neutral^17^8^85^15&second_wave_trend_2^25|rvi_crossover_signal^45^32&roc_crossunder0^89|trailing_stop^34^1.5
-17.296,38.158,1.316,304.0,26.215,rsi_neutral^8^75^25|kdj_k_neutral^11^3^85^15&second_wave_trend_2^25|rvi_crossover_signal^45^32&roc_crossunder0^89|trailing_stop^34^1.5
-17.093,38.585,1.305,311.0,27.316,rsi_neutral^90^70^30|convexity_higher1^10^EMA&second_wave_trend_2^25|rvi_crossover_signal^45^32&roc_crossunder0^89|trailing_stop^34^1.5
-17.08,38.079,1.322,302.0,25.374,kdj_k_neutral^17^8^85^15|kdj_k_neutral^11^3^85^15&second_wave_trend_2^25|rvi_crossover_signal^45^32&roc_crossunder0^89|trailing_stop^34^1.5
-15.654,39.228,1.291,311.0,26.018,rsi_neutral^90^70^30|adx_lower_threshold^55.0^35.0&second_wave_trend_2^25|rvi_crossover_signal^45^32&roc_crossunder0^89|trailing_stop^34^1.5
-15.448,38.562,1.327,306.0,26.269,kc_neutral^8.0^3.0^1.5|convexity_higher1^8^SMA&second_wave_trend_2^25|rvi_crossover_signal^45^32&roc_crossunder0^89|trailing_stop^34^1.5
-15.431,39.672,1.263,305.0,24.453,kdj_k_neutral^17^8^85^15|adx_lower_threshold^55.0^35.0&second_wave_trend_2^25|rvi_crossover_signal^45^32&roc_crossunder0^89|trailing_stop^34^1.5
-15.427,39.355,1.287,310.0,25.962,rvi_neutral^29^25.0^-25.0^EMA|adx_lower_threshold^55.0^35.0&second_wave_trend_2^25|rvi_crossover_signal^45^32&roc_crossunder0^89|trailing_stop^34^1.5
-15.326,38.961,1.308,308.0,26.159,rsi_neutral^8^75^25|rvi_neutral^29^25.0^-25.0^EMA&second_wave_trend_2^25|rvi_crossover_signal^45^32&roc_crossunder0^89|trailing_stop^34^1.5
-15.309,38.835,1.315,309.0,25.985,kc_neutral^8.0^3.0^1.5|rsi_neutral^8^75^25&second_wave_trend_2^25|rvi_crossover_signal^45^32&roc_crossunder0^89|trailing_stop^34^1.5
-14.471,39.414,1.295,307.0,25.298,rsi_neutral^8^75^25|adx_lower_threshold^55.0^35.0&second_wave_trend_2^25|rvi_crossover_signal^45^32&roc_crossunder0^89|trailing_stop^34^1.5
-13.983,40.85,1.232,306.0,18.497,kc_neutral^8.0^3.0^1.5|kdj_k_neutral^11^3^85^15&second_wave_trend_2^25|rvi_crossover_signal^45^32&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-13.921,36.102,1.509,313.0,22.145,kc_neutral^8.0^3.0^1.5|convexity_higher1^10^EMA&second_wave_trend_2^25|rvi_crossover_signal^45^32&roc_crossunder0^59|trailing_stop^34^1.5
-13.794,40.514,1.255,311.0,19.669,kc_neutral^8.0^3.0^1.5|convexity_higher1^10^EMA&second_wave_trend_2^25|rvi_crossover_signal^40^36&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-13.74,40.594,1.248,303.0,18.278,kdj_k_neutral^17^8^85^15|convexity_higher1^10^EMA&second_wave_trend_2^25|rvi_crossover_signal^45^32&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-13.738,40.789,1.237,304.0,18.162,kc_neutral^8.0^3.0^1.5|kdj_k_neutral^17^8^85^15&second_wave_trend_2^25|rvi_crossover_signal^45^32&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-13.644,39.542,1.302,306.0,24.72,bb_neutral^140.0^2.5|adx_lower_threshold^55.0^35.0&second_wave_trend_2^25|rvi_crossover_signal^45^32&roc_crossunder0^89|trailing_stop^34^1.5
-13.284,36.422,1.5,313.0,21.701,kc_neutral^8.0^3.0^1.5|rvi_neutral^29^25.0^-25.0^EMA&second_wave_trend_2^25|rvi_crossover_signal^45^32&roc_crossunder0^59|trailing_stop^34^1.5
-13.165,40.468,1.26,299.0,17.7,kdj_k_neutral^17^8^85^15|kdj_k_neutral^11^3^85^15&second_wave_trend_2^25|rvi_crossover_signal^45^32&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-13.157,41.967,1.193,305.0,22.362,rsi_neutral^8^75^25|adx_lower_threshold^55.0^35.0&second_wave_trend_2^18|rvi_crossover_signal^45^32&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-13.15,40.895,1.246,313.0,19.515,kc_neutral^8.0^3.0^1.5|convexity_higher1^10^EMA&second_wave_trend_2^25|rvi_crossover_signal^45^32&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-12.839,36.538,1.499,312.0,21.608,kc_neutral^8.0^3.0^1.5|rsi_neutral^90^70^30&second_wave_trend_2^25|rvi_crossover_signal^45^32&roc_crossunder0^59|trailing_stop^34^1.5
-12.666,40.777,1.258,309.0,19.249,rsi_neutral^90^70^30|convexity_higher1^10^EMA&second_wave_trend_2^25|rvi_crossover_signal^40^36&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-12.658,41.06,1.239,302.0,17.756,rsi_neutral^90^70^30|kdj_k_neutral^17^8^85^15&second_wave_trend_2^25|rvi_crossover_signal^45^32&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-12.654,36.334,1.516,311.0,20.751,kc_neutral^8.0^3.0^1.5|convexity_higher1^10^EMA&second_wave_trend_2^25|rvi_crossover_signal^40^36&roc_crossunder0^59|trailing_stop^34^1.5
-12.338,36.808,1.485,307.0,19.135,kc_neutral^8.0^3.0^1.5|kdj_k_neutral^17^8^85^15&second_wave_trend_2^25|rvi_crossover_signal^45^32&roc_crossunder0^59|trailing_stop^34^1.5
-12.084,36.013,1.554,311.0,22.483,kc_neutral^8.0^3.0^1.5|convexity_higher1^10^EMA&second_wave_trend_2^18|rvi_crossover_signal^45^32&roc_crossunder0^59|trailing_stop^34^1.5
-12.083,41.391,1.226,302.0,17.677,rsi_neutral^90^70^30|adx_lower_threshold^55.0^35.0&rvi_crossover_signal^45^32|emacd_histogram_start_increase^80^160^112&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-12.07,41.158,1.248,311.0,19.107,rsi_neutral^90^70^30|convexity_higher1^10^EMA&second_wave_trend_2^25|rvi_crossover_signal^45^32&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-12.067,41.346,1.238,312.0,18.995,kc_neutral^8.0^3.0^1.5|rsi_neutral^90^70^30&second_wave_trend_2^25|rvi_crossover_signal^45^32&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
