开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-02 01:00:00,2026-06-18,36.717,131.546,2.469,8.938,6.21,53.281,14.718,0.77,0.372,75.0,61.333,2.515,49.277,7.5,smi_k_higher_d^90^72^63|smi_d_overbought^26^23^18^0.0^EMA&rsi_fast_crossover_slow^30^48|stoch_d_crossover50^130^52^117&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,36.729,131.601,5.504,7.166,6.264,23.91,18.365,0.961,0.813,58.0,50.0,3.35,46.538,5.8,tsi_higher_signal^140^56^56^SMA|kdj_k_neutral^17^8^85^15&rsi_fast_crossover_slow^30^48|smi_d_crossover0^80^72^56^EMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,36.731,131.608,2.435,9.025,6.333,54.054,14.582,0.763,0.375,73.0,57.534,2.941,48.858,7.3,ma_atr_long_period^35.0^42.0^2.3999999999999995|smi_k_higher_d^90^72^63&rsi_fast_crossover_slow^25^60|kdj_d_crossover50^170^85^85&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,36.734,131.621,4.515,7.028,6.074,29.152,18.729,0.98,0.82,60.0,55.0,2.795,46.68,6.0,trix_higher_signal^60.0^24.0|kdj_k_neutral^17^8^85^15&rsi_fast_crossover_slow^30^48|trix_crossover_signal^180^162&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,36.736,131.631,3.228,8.586,6.348,40.78,15.331,0.802,1.006,30.0,66.667,3.125,48.764,3.0,smacd_histogram_increase^170^340^102|smi_overbought^60^24^0.0^EMA&rsi_fast_crossover_slow^30^48|smi_k_crossover0^140^98^EMA&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,36.737,131.634,2.468,8.977,6.027,53.327,14.664,0.768,0.374,71.0,60.563,2.718,48.556,7.1,ma_atr_long_period^50.0^60.0^2.3999999999999995|stoch_k_higher_d^130^65^91&rsi_fast_crossover_slow^30^48|bb_price_crossover_high^220.0^2.3&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,36.739,131.643,2.616,9.04,6.267,50.327,14.562,0.762,0.395,69.0,60.87,2.723,49.223,6.9,tsi_higher_signal^140^56^56^SMA|smi_k_higher_d^90^72^63&rsi_fast_crossover_slow^30^48|smi_d_crossover0^80^72^56^EMA&trailing_stop^34^1.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,36.741,131.655,3.006,8.111,6.101,43.793,16.231,0.85,0.878,41.0,65.854,2.588,47.731,4.1,trix_higher0^35|trix_higher_signal^60.0^24.0&rsi_fast_crossover_slow^30^48|stoch_d_crossover50^130^52^117&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,36.742,131.661,3.332,8.211,6.138,39.512,16.035,0.839,0.906,37.0,67.568,2.653,47.685,3.7,trix_higher_signal^60.0^24.0|stoch_d_overbought^90^36^27^50&rsi_fast_crossover_slow^25^60|rvi_signal_crossover0^230^92^SMA&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,36.747,131.679,2.379,10.192,7.12,55.344,12.92,0.676,0.492,47.0,76.596,2.012,48.387,4.7,kc_neutral^8.0^3.0^1.5|kdj_k_neutral^17^8^85^15&smacd_histogram_start_increase_2^150^210^120|smi_k_crossover0^210^63^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,36.75,131.697,2.197,8.698,6.383,59.952,15.141,0.793,0.36,87.0,64.368,2.132,48.518,8.7,smi_k_higher_d^90^72^63|kdj_k_neutral^11^3^85^15&rsi_fast_crossover_slow^30^48|adx_plus_crossover_minus^190&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,36.757,131.727,4.779,7.065,6.042,27.564,18.645,0.976,0.783,62.0,56.452,2.44,46.572,6.2,trix_higher_signal^60.0^24.0|adx_lower_threshold^55.0^35.0&rsi_fast_crossover_slow^30^48|smacd_crossover_signal^210^504^210&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,36.758,131.731,2.112,9.14,6.266,62.376,14.412,0.754,0.357,73.0,63.014,2.582,48.532,7.3,ma_atr_long_period^50.0^60.0^2.3999999999999995|stoch_k_higher_d^130^65^91&rsi_fast_crossover_slow^25^60|mass_crossover1^220^132&aroon_diff_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,36.76,131.739,2.511,8.867,6.034,52.458,14.857,0.778,0.391,75.0,62.667,2.336,48.52,7.5,trix_higher_signal^60.0^24.0|ma_atr_long_period^35.0^42.0^2.3999999999999995&rsi_fast_crossover_slow^30^48|smi_k_crossover_d^230^138^161&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,36.774,131.803,2.176,9.09,6.63,60.582,14.5,0.759,0.41,76.0,60.526,2.697,48.028,7.6,tsi_higher_signal^140^56^56^SMA|ma_atr_long_period^35.0^42.0^2.3999999999999995&adx_plus_crossover_minus^180|rsi_fast_crossover_slow^30^48&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,36.777,131.818,2.991,9.12,6.331,44.068,14.454,0.757,0.361,75.0,58.667,2.787,49.217,7.5,smi_k_higher_d^90^72^63|kdj_k_overbought^70^35^50&rsi_fast_crossover_slow^30^48|smi_d_crossover0^80^72^56^EMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,36.79,131.876,3.89,8.173,6.166,33.902,16.135,0.845,0.931,38.0,63.158,3.192,47.605,3.8,ema_fast_higher_slow^35^49|stoch_k_higher_d^80^72^40&rsi_fast_crossover_slow^30^48|smi_k_crossover0^140^98^EMA&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,36.791,131.882,3.504,8.476,6.261,37.639,15.56,0.814,0.347,89.0,57.303,2.495,48.271,8.9,smi_k_higher_d^90^72^63|kc_neutral^8.0^3.0^1.5&rsi_fast_crossover_slow^30^48|kdj_d_crossover50^170^85^85&trailing_stop^34^1.5|trailing_stop^34^3.0
