开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-19 16:45:00,108.404,599.968,5.332,11.711,11.814,112.523,51.23,2.681,0.312,136.0,55.147,2.652,52.037,13.6,kdj_d_neutral^200^180^180^80^20|smi_d_neutral^160^112^144^25.0^-25.0^SMA&second_wave_trend_2^6|rvi_crossover0^130^SMA|trix_crossover_signal^150^150&roc_crossunder0^59|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-19 16:45:00,100.356,530.602,3.939,10.771,10.333,134.705,49.264,2.579,0.314,117.0,52.991,3.145,52.212,11.7,smi_neutral^170^153^30.0^-30.0^SMA|smi_d_neutral^160^112^144^25.0^-25.0^SMA&second_wave_trend_2^6|kdj_k_crossover_d^230^115^69|trix_crossover_signal^150^150&roc_crossunder0^59|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-19 16:45:00,102.887,551.928,3.974,11.003,11.127,138.896,50.16,2.625,0.296,142.0,53.521,2.159,51.895,14.2,rsi_overbought^140^50|smi_d_neutral^160^112^144^25.0^-25.0^SMA&rvi_crossover_signal^20^12|kdj_d_crossover50^70^28^21|tsi_crossover_signal^220^198^176^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-19 16:45:00,103.624,558.226,4.142,10.781,10.855,134.756,51.777,2.71,0.316,153.0,55.556,1.888,51.664,15.3,aroon_diff_higher0^110|smi_d_neutral^160^112^144^25.0^-25.0^SMA&price_crossover_ema^10|rvi_crossover_signal^18^13|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-19 16:45:00,103.246,554.994,4.055,10.93,10.986,136.873,50.779,2.658,0.304,144.0,54.167,2.069,51.858,14.4,rsi_overbought^140^50|smi_d_neutral^160^112^144^25.0^-25.0^SMA&price_crossover_ema^10|rvi_crossover_signal^18^13|rvi_crossover_signal^20^12&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-19 16:45:00,103.223,554.798,4.143,10.983,10.998,133.921,50.515,2.644,0.323,137.0,56.934,1.878,52.265,13.7,ema_fast_higher_slow^45^81|smi_d_neutral^160^112^144^25.0^-25.0^SMA&rvi_crossover_signal^18^13|roc_crossover0^55|smacd_crossover_signal_2^220^352^198&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-19 16:45:00,105.023,570.274,4.9,11.63,10.675,116.391,49.034,2.567,0.439,81.0,54.321,3.501,52.901,8.1,stoch_d_neutral^210^168^147^80^20|rvi_signal_neutral^250^200^5.0^-5.0^SMA&emacd_start_increase^160^384|sma_fast_crossover_slow^200^440|tsi_crossover_signal^220^198^176^SMA&trailing_stop^34^2.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,100.061,528.142,3.805,10.805,10.865,138.793,48.881,2.559,0.448,100.0,54.0,3.051,52.066,10.0,kc_neutral^35.0^35.0^2.8999999999999995|smi_d_neutral^160^112^144^25.0^-25.0^SMA&second_wave_trend_2^6|kdj_d_crossover50^70^28^21|smacd_histogram_start_increase_2^230^322^184&aroon_diff_crossunder0^59|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-19 16:45:00,103.396,556.275,3.808,10.736,10.851,146.083,51.812,2.712,0.319,153.0,55.556,1.874,51.6,15.3,aroon_diff_higher0^110|smi_d_neutral^160^112^144^25.0^-25.0^SMA&price_crossover_ema^12|rvi_crossover_signal^18^13|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-19 16:45:00,111.566,628.463,4.922,12.215,12.522,127.695,51.452,2.693,0.457,110.0,52.727,2.749,52.282,11.0,tsi_neutral^220^198^15.0^-15.0^SMA|smi_d_neutral^160^112^144^25.0^-25.0^SMA&second_wave_trend_2^6|ma_atr_long_signal^10.0^12.0^2.5999999999999996|smacd_histogram_start_increase^190^532^114&trailing_stop^34^2.0|trailing_stop^34^3.5
