开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-19 16:45:00,65.422,279.538,6.356,8.317,5.882,43.978,33.61,1.759,0.58,50.0,58.0,3.045,52.383,5.0,skew_negative^25^EMA|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|ema_fast_crossover_slow^190^494|adx_crossover_threshold^180.0^20.0&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,75.209,341.986,7.271,8.416,8.298,47.037,40.635,2.127,0.357,155.0,50.323,2.151,50.591,15.5,convexity_higher1^14^SMA|convexity_higher1^6^SMA&price_crossover_sma^140|smacd_start_increase^180^360|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^89|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-19 16:45:00,60.913,252.739,5.934,8.445,6.005,42.594,29.929,1.567,0.557,55.0,56.364,2.711,51.736,5.5,supertrend_long_period^14.0^1.9|convexity_higher1^14^SMA&smi_k_crossover_d^250^150^225|smacd_histogram_start_increase^110^220^99|tsi_crossover_signal^220^154^132^SMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,62.537,262.252,7.061,8.877,6.229,37.143,29.543,1.546,0.562,53.0,52.83,3.041,52.167,5.3,supertrend_long_period^14.0^1.9|convexity_higher1^14^SMA&smacd_histogram_start_increase^110^220^99|ema_fast_crossover_slow^190^494|stoch_d_crossover50^200^140^60&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,65.732,281.425,6.368,8.3,6.193,44.194,33.905,1.775,0.572,54.0,57.407,3.013,52.585,5.4,mass_higher1^8^7|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|tsi_crossover_signal^220^154^132^SMA|kdj_k_crossover50^240^216&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,71.26,316.074,7.613,8.557,7.273,41.519,36.94,1.934,0.525,77.0,49.351,3.188,51.409,7.7,convexity_higher1^14^SMA|convexity_higher1^6^SMA&smi_k_crossover_d^250^150^225|smacd_histogram_start_increase^110^220^99|adx_crossover_threshold^180.0^20.0&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,61.078,253.696,5.428,7.729,5.7,46.738,32.825,1.718,0.568,51.0,52.941,3.374,51.626,5.1,supertrend_long_period^14.0^1.9|rvi_higher_signal^55^50&stoch_k_crossover_d^230^207^207|smacd_histogram_start_increase^110^220^99|stoch_d_crossover50^210^84^105&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,62.958,264.739,5.938,9.022,6.37,44.586,29.344,1.536,0.584,50.0,54.0,3.333,51.927,5.0,supertrend_long_period^14.0^1.9|convexity_higher1^14^SMA&smacd_histogram_start_increase^110^220^99|kdj_k_crossover_d_2^20^18^18^15|adx_crossover_threshold^180.0^20.0&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,74.457,336.973,7.827,9.006,7.804,43.051,37.417,1.958,0.525,80.0,51.25,2.895,51.501,8.0,convexity_higher1^14^SMA|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|tsi_crossover_signal^220^154^132^SMA|bb_price_crossover_low_2^200.0^2.5&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,62.494,261.997,5.938,8.807,6.209,44.124,29.75,1.557,0.591,51.0,58.824,2.354,52.218,5.1,supertrend_long_period^14.0^1.9|convexity_higher1^14^SMA&emacd_crossover_signal_2^220^572^198|smacd_histogram_start_increase^110^220^99|ema_fast_crossover_slow^190^494&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,74.515,337.357,7.827,8.969,7.841,43.1,37.614,1.969,0.515,83.0,51.807,2.768,51.458,8.3,convexity_higher1^14^SMA|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|tsi_crossover_signal^220^154^132^SMA|stoch_d_crossover50^210^84^105&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,73.623,331.461,7.827,8.826,7.725,42.347,37.555,1.966,0.521,82.0,52.439,2.739,51.335,8.2,bb_neutral^30.0^3.6999999999999993|convexity_higher1^6^SMA&emacd_crossover_signal_2^220^572^198|smacd_histogram_start_increase^110^220^99|tsi_crossover_signal^220^154^132^SMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,75.899,346.614,7.827,9.191,8.017,44.283,37.713,1.974,0.511,84.0,51.19,2.844,51.595,8.4,convexity_higher1^14^SMA|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|tsi_crossover_signal^220^154^132^SMA|stoch_d_crossover50^200^140^60&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,75.964,347.052,7.827,9.027,7.978,44.339,38.447,2.012,0.519,85.0,51.765,2.725,51.533,8.5,bb_neutral^30.0^3.6999999999999993|convexity_higher1^6^SMA&smi_k_crossover_d_2^210^189^189^45|smacd_histogram_start_increase^110^220^99|tsi_crossover_signal^220^154^132^SMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,74.35,336.267,7.827,8.894,7.852,42.961,37.81,1.979,0.52,83.0,50.602,2.91,51.196,8.3,bb_neutral^30.0^3.6999999999999993|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|tsi_crossover_signal^220^154^132^SMA|kdj_k_crossover_d_2^80^72^56^15&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,63.69,269.1,5.938,8.858,6.213,45.321,30.38,1.59,0.571,52.0,59.615,2.536,52.276,5.2,supertrend_long_period^14.0^1.9|convexity_higher1^14^SMA&smacd_histogram_start_increase^110^220^99|bb_price_crossover_high_2^25.0^3.8999999999999995|kdj_k_crossover_d_2^20^18^18^15&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,65.778,281.706,6.368,8.527,6.354,44.238,33.036,1.729,0.568,52.0,53.846,3.863,52.187,5.2,mass_higher1^8^7|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|tsi_crossover_signal^220^154^132^SMA|smi_k_crossover0^210^105^EMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,70.798,313.107,7.613,8.986,7.427,41.13,34.845,1.824,0.548,77.0,53.247,2.427,51.765,7.7,convexity_higher1^14^SMA|convexity_higher1^6^SMA&smi_k_crossover_d^250^150^225|smacd_histogram_start_increase^110^220^99|smi_k_crossover0^210^105^EMA&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,61.059,253.587,5.609,8.721,6.076,45.21,29.079,1.522,0.612,45.0,57.778,2.666,51.905,4.5,rvi_higher_signal^55^50|smi_overbought^17^5^0.0^EMA&smi_k_crossover_d_2^210^189^189^45|smacd_histogram_start_increase^110^220^99|ema_fast_crossover_slow^190^494&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,62.901,264.402,4.94,7.794,5.966,53.518,33.923,1.776,0.592,54.0,57.407,2.416,51.736,5.4,price_higher_ema^20|bb_neutral^30.0^3.6999999999999993&smi_k_crossover_d_2^250^150^225^30|stoch_k_crossover_d^230^207^207|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^89|trailing_stop^34^2.5
