total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-31.396,41.487,1.269,511.0,49.587,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^12|rvi_crossover_signal^18^13|smacd_histogram_start_increase^190^532^114&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-31.297,42.323,1.22,508.0,46.357,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|rvi_crossover0^130^SMA|smacd_histogram_start_increase^190^532^114&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-30.785,41.961,1.241,510.0,46.31,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|emacd_histogram_start_increase_2^190^532^209|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-29.172,42.24,1.235,509.0,45.036,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|rvi_crossover0^130^SMA|smacd_histogram_start_increase^190^532^114&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-29.169,42.043,1.243,509.0,44.675,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|emacd_histogram_start_increase_2^190^532^209|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-29.141,42.51,1.216,494.0,44.649,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|kdj_d_crossover50^70^28^21|smacd_histogram_start_increase^190^532^114&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-28.811,42.394,1.224,493.0,42.727,rvi_neutral^8^35.0^-35.0^SMA|rvi_signal_neutral^50^20^25.0^-25.0^EMA&rvi_crossover_signal^18^13|roc_crossover0^55|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-27.493,41.279,1.298,516.0,48.376,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^12|rvi_crossover_signal^20^12|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-27.134,42.285,1.24,499.0,43.538,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^8^SMA&rvi_crossover_signal^20^12|rvi_crossover0^130^SMA|smacd_histogram_start_increase^190^532^114&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-27.016,42.424,1.231,495.0,43.339,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|kdj_d_crossover50^70^28^21|smacd_histogram_start_increase^190^532^114&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-26.848,42.116,1.248,501.0,43.418,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^8^SMA&rvi_crossover_signal^18^13|emacd_histogram_start_increase_2^190^532^209|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-26.524,41.359,1.297,515.0,47.318,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^12|rvi_crossover_signal^18^13|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-26.495,42.116,1.25,501.0,43.51,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^8^SMA&rvi_crossover_signal^20^12|emacd_histogram_start_increase_2^190^532^209|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-26.43,36.6,1.571,500.0,48.603,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|roc_crossover0^55|rvi_crossover0^130^SMA&roc_crossunder0^59|trailing_stop^34^1.5
-25.968,41.847,1.269,509.0,42.648,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|roc_crossover0^55|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.472,41.569,1.289,510.0,46.269,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^12|rvi_crossover_signal^20^12|emacd_histogram_start_increase_2^190^532^209&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.337,41.131,1.315,513.0,45.369,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|second_wave_trend_2^6|smacd_histogram_start_increase^190^532^114&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.244,42.178,1.253,505.0,43.564,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|price_crossover_sma^160|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.503,41.65,1.288,509.0,45.184,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^12|rvi_crossover_signal^18^13|emacd_histogram_start_increase_2^190^532^209&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.456,36.939,1.555,490.0,46.066,rvi_neutral^8^35.0^-35.0^SMA|rvi_signal_neutral^50^20^25.0^-25.0^EMA&rvi_crossover_signal^20^12|roc_crossover0^55|rvi_crossover0^130^SMA&roc_crossunder0^59|trailing_stop^34^1.5
-24.137,36.546,1.588,498.0,46.702,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|roc_crossover0^55|rvi_crossover0^130^SMA&roc_crossunder0^59|trailing_stop^34^1.5
-24.053,42.68,1.229,485.0,41.118,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^8^SMA&rvi_crossover_signal^20^12|kdj_d_crossover50^70^28^21|smacd_histogram_start_increase^190^532^114&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-23.466,35.872,1.64,499.0,47.006,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|roc_crossover0^55|emacd_start_increase^160^384&roc_crossunder0^59|trailing_stop^34^1.5
-23.182,41.211,1.317,512.0,41.728,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|rvi_crossover0^130^SMA|smacd_histogram_start_increase^70^112^70&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-23.149,36.842,1.573,494.0,46.354,kc_neutral^10.0^8.0^1.7|rvi_signal_neutral^50^20^25.0^-25.0^EMA&rvi_crossover_signal^20^12|roc_crossover0^55|rvi_crossover0^130^SMA&roc_crossunder0^59|trailing_stop^34^1.5
-23.08,42.032,1.271,502.0,38.294,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|emacd_histogram_start_increase^230^368^276|smacd_histogram_start_increase^190^532^114&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.842,36.473,1.6,499.0,45.798,rsi_neutral^11^80^20|convexity_higher1^12^EMA&rvi_crossover_signal^20^12|roc_crossover0^55|rvi_crossover0^130^SMA&roc_crossunder0^59|trailing_stop^34^1.5
-22.449,41.406,1.313,512.0,45.262,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^12|rvi_crossover_signal^20^12|roc_crossover0^100&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.25,41.006,1.336,517.0,44.596,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^10|rvi_crossover_signal^20^12|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.152,40.891,1.34,516.0,43.612,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&rvi_crossover_signal^18^13|second_wave_trend_2^6|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-21.282,41.085,1.335,516.0,43.512,rvi_signal_neutral^50^20^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^10|rvi_crossover_signal^18^13|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-20.988,41.468,1.311,504.0,38.294,convexity_higher1^12^EMA|convexity_higher1^8^SMA&rvi_crossover_signal^18^13|roc_crossover0^55|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
