开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-01 23:00:00,2026-06-18,96.315,510.932,5.936,9.709,10.134,86.081,52.626,2.755,0.316,163.0,52.147,1.896,51.616,16.3,roc_higher0^110|smi_d_neutral^160^112^144^25.0^-25.0^SMA&price_crossover_ema^12|rvi_crossover_signal^20^12|kdj_k_crossover50^80^40&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-18,96.32,510.975,5.687,10.328,9.489,89.843,49.473,2.59,0.409,82.0,59.756,2.331,51.933,8.2,kc_neutral^10.0^8.0^1.7|tsi_neutral^220^198^15.0^-15.0^SMA&supertrend_long_signal^70.0^3.6999999999999993|smi_k_crossover_d_2^120^48^36^15|smacd_crossover_signal^200^480^220&trailing_stop^34^2.0|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,96.328,511.04,5.369,9.729,9.422,95.189,52.529,2.75,0.425,106.0,50.0,2.55,51.642,10.6,rsi_overbought^140^50|smi_d_neutral^160^112^144^25.0^-25.0^SMA&price_crossover_ema^10|smacd_crossover_signal^200^480^220|tsi_crossover_signal^230^184^207^SMA&trailing_stop^34^2.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,96.331,511.071,5.671,10.684,9.631,90.122,47.833,2.504,0.453,72.0,52.778,2.96,52.996,7.2,smi_d_neutral^160^112^144^25.0^-25.0^SMA|convexity_higher1^8^SMA&smacd_histogram_start_increase^190^532^114|sma_fast_crossover_slow^200^440|smacd_crossover_signal_3^220^308^154&trailing_stop^34^2.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,96.336,511.108,5.04,9.886,10.153,101.415,51.702,2.706,0.308,152.0,53.947,1.943,51.872,15.2,ma_atr_long_period^70.0^70.0^1.9999999999999998|smi_d_neutral^160^112^144^25.0^-25.0^SMA&price_crossover_ema^10|rvi_crossover_signal^20^12|rvi_crossover0^130^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-18,96.346,511.196,8.144,9.507,9.34,62.77,53.768,2.814,0.458,118.0,52.542,2.226,51.979,11.8,smi_d_neutral^160^112^144^25.0^-25.0^SMA|rvi_signal_neutral^50^20^25.0^-25.0^EMA&emacd_histogram_start_increase_2^190^532^209|second_wave_trend_2^6|rvi_crossover0^130^SMA&trailing_stop^34^2.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,96.41,511.73,6.926,10.148,9.553,73.882,50.427,2.639,0.482,80.0,56.25,2.586,52.513,8.0,bb_neutral^18.0^1.9|smi_d_neutral^160^112^144^25.0^-25.0^SMA&price_crossover_sma^110|supertrend_long_signal^70.0^3.6999999999999993|smacd_crossover_signal^200^480^220&trailing_stop^34^2.0|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,96.43,511.896,6.303,9.955,9.761,81.209,51.423,2.692,0.4,108.0,56.481,2.152,51.751,10.8,smi_d_neutral^160^112^144^25.0^-25.0^SMA|rvi_signal_neutral^250^200^5.0^-5.0^SMA&second_wave_trend_2^6|supertrend_long_signal^70.0^3.6999999999999993|smacd_crossover_signal^200^480^220&aroon_diff_crossunder0^109|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-18,96.432,511.913,5.526,9.995,9.972,92.642,51.215,2.681,0.278,158.0,50.633,2.334,51.809,15.8,rsi_overbought^140^50|smi_d_neutral^160^112^144^25.0^-25.0^SMA&rvi_crossover_signal^18^13|rvi_crossover0^130^SMA|smacd_crossover_signal_2^220^352^198&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,96.439,511.967,5.335,10.398,10.444,95.956,49.237,2.577,0.226,171.0,50.292,2.337,51.757,17.1,rsi_overbought^140^50|smi_d_neutral^160^112^144^25.0^-25.0^SMA&rvi_crossover_signal^18^13|rvi_crossover_signal^20^12|smacd_crossover_signal^200^480^220&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
